State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,167,MANIKTALA,1,SANJAY PRAJAPATI,Bahujan Samaj Party,0,12,12
S25,167,MANIKTALA,1,SHRREYA PANDE,All India Trinamool Congress,0,2555,2555
S25,167,MANIKTALA,1,SUGATO ROY CHAUDHURI,Indian National Congress,0,70,70
S25,167,MANIKTALA,1,TAPAS ROY,Bharatiya Janata Party,0,3031,3031
S25,167,MANIKTALA,1,MOUSUMI GHOSH,Communist Party of India,0,401,401
S25,167,MANIKTALA,1,PRANATI PAUL,Amra Bangalee,0,10,10
S25,167,MANIKTALA,1,SUBIR SAMANTA,Socialist Unity Centre Of India (COMMUNIST),0,6,6
S25,167,MANIKTALA,1,PINTU PYNE,Independent,0,2,2
S25,167,MANIKTALA,1,PRATIMA SAHA,Independent,0,3,3
S25,167,MANIKTALA,1,RICKY PAUL,Independent,0,4,4
S25,167,MANIKTALA,1,SHYAMAL GUHA,Independent,0,5,5
S25,167,MANIKTALA,1,SUBHAM MAJUMDAR,Independent,0,9,9
S25,167,MANIKTALA,1,TAPAS ROY,Independent,0,27,27
S25,167,MANIKTALA,1,NOTA,None of the Above,0,56,56
S25,167,MANIKTALA,2,SANJAY PRAJAPATI,Bahujan Samaj Party,12,18,30
S25,167,MANIKTALA,2,SHRREYA PANDE,All India Trinamool Congress,2555,2682,5237
S25,167,MANIKTALA,2,SUGATO ROY CHAUDHURI,Indian National Congress,70,81,151
S25,167,MANIKTALA,2,TAPAS ROY,Bharatiya Janata Party,3031,3581,6612
S25,167,MANIKTALA,2,MOUSUMI GHOSH,Communist Party of India,401,482,883
S25,167,MANIKTALA,2,PRANATI PAUL,Amra Bangalee,10,13,23
S25,167,MANIKTALA,2,SUBIR SAMANTA,Socialist Unity Centre Of India (COMMUNIST),6,3,9
S25,167,MANIKTALA,2,PINTU PYNE,Independent,2,4,6
S25,167,MANIKTALA,2,PRATIMA SAHA,Independent,3,5,8
S25,167,MANIKTALA,2,RICKY PAUL,Independent,4,8,12
S25,167,MANIKTALA,2,SHYAMAL GUHA,Independent,5,11,16
S25,167,MANIKTALA,2,SUBHAM MAJUMDAR,Independent,9,6,15
S25,167,MANIKTALA,2,TAPAS ROY,Independent,27,19,46
S25,167,MANIKTALA,2,NOTA,None of the Above,56,44,100
S25,167,MANIKTALA,3,SANJAY PRAJAPATI,Bahujan Samaj Party,30,38,68
S25,167,MANIKTALA,3,SHRREYA PANDE,All India Trinamool Congress,5237,3354,8591
S25,167,MANIKTALA,3,SUGATO ROY CHAUDHURI,Indian National Congress,151,66,217
S25,167,MANIKTALA,3,TAPAS ROY,Bharatiya Janata Party,6612,4089,10701
S25,167,MANIKTALA,3,MOUSUMI GHOSH,Communist Party of India,883,355,1238
S25,167,MANIKTALA,3,PRANATI PAUL,Amra Bangalee,23,11,34
S25,167,MANIKTALA,3,SUBIR SAMANTA,Socialist Unity Centre Of India (COMMUNIST),9,3,12
S25,167,MANIKTALA,3,PINTU PYNE,Independent,6,5,11
S25,167,MANIKTALA,3,PRATIMA SAHA,Independent,8,5,13
S25,167,MANIKTALA,3,RICKY PAUL,Independent,12,16,28
S25,167,MANIKTALA,3,SHYAMAL GUHA,Independent,16,22,38
S25,167,MANIKTALA,3,SUBHAM MAJUMDAR,Independent,15,21,36
S25,167,MANIKTALA,3,TAPAS ROY,Independent,46,52,98
S25,167,MANIKTALA,3,NOTA,None of the Above,100,46,146
S25,167,MANIKTALA,4,SANJAY PRAJAPATI,Bahujan Samaj Party,68,23,91
S25,167,MANIKTALA,4,SHRREYA PANDE,All India Trinamool Congress,8591,2733,11324
S25,167,MANIKTALA,4,SUGATO ROY CHAUDHURI,Indian National Congress,217,59,276
S25,167,MANIKTALA,4,TAPAS ROY,Bharatiya Janata Party,10701,4327,15028
S25,167,MANIKTALA,4,MOUSUMI GHOSH,Communist Party of India,1238,388,1626
S25,167,MANIKTALA,4,PRANATI PAUL,Amra Bangalee,34,11,45
S25,167,MANIKTALA,4,SUBIR SAMANTA,Socialist Unity Centre Of India (COMMUNIST),12,5,17
S25,167,MANIKTALA,4,PINTU PYNE,Independent,11,4,15
S25,167,MANIKTALA,4,PRATIMA SAHA,Independent,13,6,19
S25,167,MANIKTALA,4,RICKY PAUL,Independent,28,6,34
S25,167,MANIKTALA,4,SHYAMAL GUHA,Independent,38,22,60
S25,167,MANIKTALA,4,SUBHAM MAJUMDAR,Independent,36,10,46
S25,167,MANIKTALA,4,TAPAS ROY,Independent,98,32,130
S25,167,MANIKTALA,4,NOTA,None of the Above,146,36,182
S25,167,MANIKTALA,5,SANJAY PRAJAPATI,Bahujan Samaj Party,91,28,119
S25,167,MANIKTALA,5,SHRREYA PANDE,All India Trinamool Congress,11324,3054,14378
