State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,168,KASHIPUR-BELGACHHIA,1,ATIN GHOSH,All India Trinamool Congress,0,2969,2969
S25,168,KASHIPUR-BELGACHHIA,1,DAYA RAM JAISWARA,Bahujan Samaj Party,0,32,32
S25,168,KASHIPUR-BELGACHHIA,1,RAJENDRA GUPTA,Communist Party of India (Marxist),0,619,619
S25,168,KASHIPUR-BELGACHHIA,1,RITESH TIWARI,Bharatiya Janata Party,0,2832,2832
S25,168,KASHIPUR-BELGACHHIA,1,TARAK PAL,Indian National Congress,0,58,58
S25,168,KASHIPUR-BELGACHHIA,1,HARSH GUPTA,National Republic Party Of India,0,3,3
S25,168,KASHIPUR-BELGACHHIA,1,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),0,9,9
S25,168,KASHIPUR-BELGACHHIA,1,PHOOLTUSHY DUTTA,Jan Sangh Party,0,6,6
S25,168,KASHIPUR-BELGACHHIA,1,ARAFAT SEKH,Independent,0,4,4
S25,168,KASHIPUR-BELGACHHIA,1,BINAY SINGH,Independent,0,4,4
S25,168,KASHIPUR-BELGACHHIA,1,BIVASH DAS,Independent,0,7,7
S25,168,KASHIPUR-BELGACHHIA,1,SOUMYA CHATTOPADHYAY,Independent,0,12,12
S25,168,KASHIPUR-BELGACHHIA,1,SURAJIT GUPTA,Independent,0,9,9
S25,168,KASHIPUR-BELGACHHIA,1,TAPAS SARDAR,Independent,0,7,7
S25,168,KASHIPUR-BELGACHHIA,1,NOTA,None of the Above,0,65,65
S25,168,KASHIPUR-BELGACHHIA,2,ATIN GHOSH,All India Trinamool Congress,2969,2693,5662
S25,168,KASHIPUR-BELGACHHIA,2,DAYA RAM JAISWARA,Bahujan Samaj Party,32,17,49
S25,168,KASHIPUR-BELGACHHIA,2,RAJENDRA GUPTA,Communist Party of India (Marxist),619,445,1064
S25,168,KASHIPUR-BELGACHHIA,2,RITESH TIWARI,Bharatiya Janata Party,2832,3425,6257
S25,168,KASHIPUR-BELGACHHIA,2,TARAK PAL,Indian National Congress,58,36,94
S25,168,KASHIPUR-BELGACHHIA,2,HARSH GUPTA,National Republic Party Of India,3,4,7
S25,168,KASHIPUR-BELGACHHIA,2,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),9,10,19
S25,168,KASHIPUR-BELGACHHIA,2,PHOOLTUSHY DUTTA,Jan Sangh Party,6,10,16
S25,168,KASHIPUR-BELGACHHIA,2,ARAFAT SEKH,Independent,4,3,7
S25,168,KASHIPUR-BELGACHHIA,2,BINAY SINGH,Independent,4,4,8
S25,168,KASHIPUR-BELGACHHIA,2,BIVASH DAS,Independent,7,3,10
S25,168,KASHIPUR-BELGACHHIA,2,SOUMYA CHATTOPADHYAY,Independent,12,15,27
S25,168,KASHIPUR-BELGACHHIA,2,SURAJIT GUPTA,Independent,9,10,19
S25,168,KASHIPUR-BELGACHHIA,2,TAPAS SARDAR,Independent,7,10,17
S25,168,KASHIPUR-BELGACHHIA,2,NOTA,None of the Above,65,42,107
S25,168,KASHIPUR-BELGACHHIA,3,ATIN GHOSH,All India Trinamool Congress,5662,2483,8145
S25,168,KASHIPUR-BELGACHHIA,3,DAYA RAM JAISWARA,Bahujan Samaj Party,49,14,63
S25,168,KASHIPUR-BELGACHHIA,3,RAJENDRA GUPTA,Communist Party of India (Marxist),1064,430,1494
S25,168,KASHIPUR-BELGACHHIA,3,RITESH TIWARI,Bharatiya Janata Party,6257,3967,10224
S25,168,KASHIPUR-BELGACHHIA,3,TARAK PAL,Indian National Congress,94,61,155
S25,168,KASHIPUR-BELGACHHIA,3,HARSH GUPTA,National Republic Party Of India,7,3,10
S25,168,KASHIPUR-BELGACHHIA,3,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),19,6,25
S25,168,KASHIPUR-BELGACHHIA,3,PHOOLTUSHY DUTTA,Jan Sangh Party,16,8,24
S25,168,KASHIPUR-BELGACHHIA,3,ARAFAT SEKH,Independent,7,1,8
S25,168,KASHIPUR-BELGACHHIA,3,BINAY SINGH,Independent,8,1,9
S25,168,KASHIPUR-BELGACHHIA,3,BIVASH DAS,Independent,10,7,17
S25,168,KASHIPUR-BELGACHHIA,3,SOUMYA CHATTOPADHYAY,Independent,27,11,38
S25,168,KASHIPUR-BELGACHHIA,3,SURAJIT GUPTA,Independent,19,7,26
S25,168,KASHIPUR-BELGACHHIA,3,TAPAS SARDAR,Independent,17,4,21
S25,168,KASHIPUR-BELGACHHIA,3,NOTA,None of the Above,107,35,142
S25,168,KASHIPUR-BELGACHHIA,4,ATIN GHOSH,All India Trinamool Congress,8145,5766,13911
S25,168,KASHIPUR-BELGACHHIA,4,DAYA RAM JAISWARA,Bahujan Samaj Party,63,14,77
S25,168,KASHIPUR-BELGACHHIA,4,RAJENDRA GUPTA,Communist Party of India (Marxist),1494,224,1718
S25,168,KASHIPUR-BELGACHHIA,4,RITESH TIWARI,Bharatiya Janata Party,10224,1884,12108
S25,168,KASHIPUR-BELGACHHIA,4,TARAK PAL,Indian National Congress,155,65,220
S25,168,KASHIPUR-BELGACHHIA,4,HARSH GUPTA,National Republic Party Of India,10,5,15
S25,168,KASHIPUR-BELGACHHIA,4,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),25,2,27
S25,168,KASHIPUR-BELGACHHIA,4,PHOOLTUSHY DUTTA,Jan Sangh Party,24,4,28
S25,168,KASHIPUR-BELGACHHIA,4,ARAFAT SEKH,Independent,8,4,12
S25,168,KASHIPUR-BELGACHHIA,4,BINAY SINGH,Independent,9,3,12
S25,168,KASHIPUR-BELGACHHIA,4,BIVASH DAS,Independent,17,4,21
S25,168,KASHIPUR-BELGACHHIA,4,SOUMYA CHATTOPADHYAY,Independent,38,6,44
S25,168,KASHIPUR-BELGACHHIA,4,SURAJIT GUPTA,Independent,26,8,34
S25,168,KASHIPUR-BELGACHHIA,4,TAPAS SARDAR,Independent,21,7,28
S25,168,KASHIPUR-BELGACHHIA,4,NOTA,None of the Above,142,63,205
S25,168,KASHIPUR-BELGACHHIA,5,ATIN GHOSH,All India Trinamool Congress,13911,2682,16593
S25,168,KASHIPUR-BELGACHHIA,5,DAYA RAM JAISWARA,Bahujan Samaj Party,77,20,97
S25,168,KASHIPUR-BELGACHHIA,5,RAJENDRA GUPTA,Communist Party of India (Marxist),1718,759,2477
S25,168,KASHIPUR-BELGACHHIA,5,RITESH TIWARI,Bharatiya Janata Party,12108,3366,15474
S25,168,KASHIPUR-BELGACHHIA,5,TARAK PAL,Indian National Congress,220,54,274
S25,168,KASHIPUR-BELGACHHIA,5,HARSH GUPTA,National Republic Party Of India,15,6,21
S25,168,KASHIPUR-BELGACHHIA,5,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),27,8,35
S25,168,KASHIPUR-BELGACHHIA,5,PHOOLTUSHY DUTTA,Jan Sangh Party,28,9,37
S25,168,KASHIPUR-BELGACHHIA,5,ARAFAT SEKH,Independent,12,3,15
S25,168,KASHIPUR-BELGACHHIA,5,BINAY SINGH,Independent,12,3,15
S25,168,KASHIPUR-BELGACHHIA,5,BIVASH DAS,Independent,21,7,28
S25,168,KASHIPUR-BELGACHHIA,5,SOUMYA CHATTOPADHYAY,Independent,44,14,58
S25,168,KASHIPUR-BELGACHHIA,5,SURAJIT GUPTA,Independent,34,7,41
S25,168,KASHIPUR-BELGACHHIA,5,TAPAS SARDAR,Independent,28,6,34
S25,168,KASHIPUR-BELGACHHIA,5,NOTA,None of the Above,205,60,265
S25,168,KASHIPUR-BELGACHHIA,6,ATIN GHOSH,All India Trinamool Congress,16593,2290,18883
S25,168,KASHIPUR-BELGACHHIA,6,DAYA RAM JAISWARA,Bahujan Samaj Party,97,16,113
S25,168,KASHIPUR-BELGACHHIA,6,RAJENDRA GUPTA,Communist Party of India (Marxist),2477,937,3414
S25,168,KASHIPUR-BELGACHHIA,6,RITESH TIWARI,Bharatiya Janata Party,15474,4123,19597
S25,168,KASHIPUR-BELGACHHIA,6,TARAK PAL,Indian National Congress,274,76,350
S25,168,KASHIPUR-BELGACHHIA,6,HARSH GUPTA,National Republic Party Of India,21,4,25
S25,168,KASHIPUR-BELGACHHIA,6,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),35,7,42
S25,168,KASHIPUR-BELGACHHIA,6,PHOOLTUSHY DUTTA,Jan Sangh Party,37,9,46
S25,168,KASHIPUR-BELGACHHIA,6,ARAFAT SEKH,Independent,15,2,17
S25,168,KASHIPUR-BELGACHHIA,6,BINAY SINGH,Independent,15,4,19
S25,168,KASHIPUR-BELGACHHIA,6,BIVASH DAS,Independent,28,4,32
S25,168,KASHIPUR-BELGACHHIA,6,SOUMYA CHATTOPADHYAY,Independent,58,5,63
S25,168,KASHIPUR-BELGACHHIA,6,SURAJIT GUPTA,Independent,41,9,50
S25,168,KASHIPUR-BELGACHHIA,6,TAPAS SARDAR,Independent,34,2,36
S25,168,KASHIPUR-BELGACHHIA,6,NOTA,None of the Above,265,76,341
S25,168,KASHIPUR-BELGACHHIA,7,ATIN GHOSH,All India Trinamool Congress,18883,2356,21239
