State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,169,BALLY,1,PUTUL CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),0,6,6
S25,169,BALLY,1,SANKAR MAITRA,Communist Party of India (Marxist),0,705,705
S25,169,BALLY,1,KAILASH KUMAR MISHRA,All India Trinamool Congress,0,2664,2664
S25,169,BALLY,1,SANJAY KUMAR SINGH,Bharatiya Janata Party,0,3300,3300
S25,169,BALLY,1,SANJAY SINGH,Independent,0,5,5
S25,169,BALLY,1,PRIYANKA CHOUDHURY,Indian National Congress,0,67,67
S25,169,BALLY,1,SANJAY SINGH,Independent,0,15,15
S25,169,BALLY,1,KANCHAN SONKAR,National Republic Party Of India,0,4,4
S25,169,BALLY,1,PRATAP GOSWAMI,Independent,0,8,8
S25,169,BALLY,1,NISHU KURMI,Independent,0,2,2
S25,169,BALLY,1,RUPALI SARKAR,Independent,0,15,15
S25,169,BALLY,1,ALOK PAKHIRA,Independent,0,4,4
S25,169,BALLY,1,ABDUL QADIR KHAN,Aam Janata Unnayan party,0,10,10
S25,169,BALLY,1,INDRANATH DAS,Independent Nationalist Front,0,1,1
S25,169,BALLY,1,NOTA,None of the Above,0,66,66
S25,169,BALLY,2,PUTUL CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),6,13,19
S25,169,BALLY,2,SANKAR MAITRA,Communist Party of India (Marxist),705,1213,1918
S25,169,BALLY,2,KAILASH KUMAR MISHRA,All India Trinamool Congress,2664,3962,6626
S25,169,BALLY,2,SANJAY KUMAR SINGH,Bharatiya Janata Party,3300,2915,6215
S25,169,BALLY,2,SANJAY SINGH,Independent,5,5,10
S25,169,BALLY,2,PRIYANKA CHOUDHURY,Indian National Congress,67,128,195
S25,169,BALLY,2,SANJAY SINGH,Independent,15,11,26
S25,169,BALLY,2,KANCHAN SONKAR,National Republic Party Of India,4,1,5
S25,169,BALLY,2,PRATAP GOSWAMI,Independent,8,12,20
S25,169,BALLY,2,NISHU KURMI,Independent,2,3,5
S25,169,BALLY,2,RUPALI SARKAR,Independent,15,11,26
S25,169,BALLY,2,ALOK PAKHIRA,Independent,4,3,7
S25,169,BALLY,2,ABDUL QADIR KHAN,Aam Janata Unnayan party,10,7,17
S25,169,BALLY,2,INDRANATH DAS,Independent Nationalist Front,1,8,9
