State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,170,HOWRAH_UTTAR,1,UMESH RAI,Bharatiya Janata Party,0,4577,4577
S25,170,HOWRAH_UTTAR,1,OM PRAKASH JAISWAL,Indian National Congress,0,42,42
S25,170,HOWRAH_UTTAR,1,GAUTAM CHOWDHURY,All India Trinamool Congress,0,2358,2358
S25,170,HOWRAH_UTTAR,1,GAUTAM RAY,Communist Party of India (Marxist),0,104,104
S25,170,HOWRAH_UTTAR,1,PRITI DEVI,Bahujan Samaj Party,0,7,7
S25,170,HOWRAH_UTTAR,1,GANESHLAL GUPTA,National Republic Party Of India,0,5,5
S25,170,HOWRAH_UTTAR,1,GAUTAM VERMA,Independent,0,2,2
S25,170,HOWRAH_UTTAR,1,CHANDRA KANTA JAISWAL,Independent,0,2,2
S25,170,HOWRAH_UTTAR,1,MONORANJAN POLLEY,Independent,0,6,6
S25,170,HOWRAH_UTTAR,1,SHANKAR KHA,Independent,0,7,7
S25,170,HOWRAH_UTTAR,1,SISIR SAMANTA,Independent,0,8,8
S25,170,HOWRAH_UTTAR,1,SOUMEN MANNA,Independent,0,41,41
S25,170,HOWRAH_UTTAR,1,HARINAARAYAN CHOWDHARY,Independent,0,18,18
S25,170,HOWRAH_UTTAR,1,NOTA,None of the Above,0,57,57
S25,170,HOWRAH_UTTAR,2,UMESH RAI,Bharatiya Janata Party,4577,3364,7941
S25,170,HOWRAH_UTTAR,2,OM PRAKASH JAISWAL,Indian National Congress,42,39,81
S25,170,HOWRAH_UTTAR,2,GAUTAM CHOWDHURY,All India Trinamool Congress,2358,3162,5520
S25,170,HOWRAH_UTTAR,2,GAUTAM RAY,Communist Party of India (Marxist),104,381,485
S25,170,HOWRAH_UTTAR,2,PRITI DEVI,Bahujan Samaj Party,7,12,19
S25,170,HOWRAH_UTTAR,2,GANESHLAL GUPTA,National Republic Party Of India,5,7,12
S25,170,HOWRAH_UTTAR,2,GAUTAM VERMA,Independent,2,4,6
S25,170,HOWRAH_UTTAR,2,CHANDRA KANTA JAISWAL,Independent,2,5,7
S25,170,HOWRAH_UTTAR,2,MONORANJAN POLLEY,Independent,6,2,8
S25,170,HOWRAH_UTTAR,2,SHANKAR KHA,Independent,7,12,19
S25,170,HOWRAH_UTTAR,2,SISIR SAMANTA,Independent,8,10,18
S25,170,HOWRAH_UTTAR,2,SOUMEN MANNA,Independent,41,31,72
S25,170,HOWRAH_UTTAR,2,HARINAARAYAN CHOWDHARY,Independent,18,20,38
S25,170,HOWRAH_UTTAR,2,NOTA,None of the Above,57,37,94
S25,170,HOWRAH_UTTAR,3,UMESH RAI,Bharatiya Janata Party,7941,4462,12403
S25,170,HOWRAH_UTTAR,3,OM PRAKASH JAISWAL,Indian National Congress,81,67,148
S25,170,HOWRAH_UTTAR,3,GAUTAM CHOWDHURY,All India Trinamool Congress,5520,4936,10456
S25,170,HOWRAH_UTTAR,3,GAUTAM RAY,Communist Party of India (Marxist),485,569,1054
S25,170,HOWRAH_UTTAR,3,PRITI DEVI,Bahujan Samaj Party,19,15,34
S25,170,HOWRAH_UTTAR,3,GANESHLAL GUPTA,National Republic Party Of India,12,6,18
S25,170,HOWRAH_UTTAR,3,GAUTAM VERMA,Independent,6,2,8
S25,170,HOWRAH_UTTAR,3,CHANDRA KANTA JAISWAL,Independent,7,8,15
S25,170,HOWRAH_UTTAR,3,MONORANJAN POLLEY,Independent,8,4,12
S25,170,HOWRAH_UTTAR,3,SHANKAR KHA,Independent,19,9,28
S25,170,HOWRAH_UTTAR,3,SISIR SAMANTA,Independent,18,17,35
S25,170,HOWRAH_UTTAR,3,SOUMEN MANNA,Independent,72,53,125
S25,170,HOWRAH_UTTAR,3,HARINAARAYAN CHOWDHARY,Independent,38,27,65
S25,170,HOWRAH_UTTAR,3,NOTA,None of the Above,94,79,173
S25,170,HOWRAH_UTTAR,4,UMESH RAI,Bharatiya Janata Party,12403,3611,16014
S25,170,HOWRAH_UTTAR,4,OM PRAKASH JAISWAL,Indian National Congress,148,70,218
S25,170,HOWRAH_UTTAR,4,GAUTAM CHOWDHURY,All India Trinamool Congress,10456,2775,13231
S25,170,HOWRAH_UTTAR,4,GAUTAM RAY,Communist Party of India (Marxist),1054,560,1614
S25,170,HOWRAH_UTTAR,4,PRITI DEVI,Bahujan Samaj Party,34,8,42
S25,170,HOWRAH_UTTAR,4,GANESHLAL GUPTA,National Republic Party Of India,18,5,23
S25,170,HOWRAH_UTTAR,4,GAUTAM VERMA,Independent,8,3,11
S25,170,HOWRAH_UTTAR,4,CHANDRA KANTA JAISWAL,Independent,15,8,23
S25,170,HOWRAH_UTTAR,4,MONORANJAN POLLEY,Independent,12,2,14
S25,170,HOWRAH_UTTAR,4,SHANKAR KHA,Independent,28,10,38
S25,170,HOWRAH_UTTAR,4,SISIR SAMANTA,Independent,35,11,46
S25,170,HOWRAH_UTTAR,4,SOUMEN MANNA,Independent,125,33,158
S25,170,HOWRAH_UTTAR,4,HARINAARAYAN CHOWDHARY,Independent,65,12,77
S25,170,HOWRAH_UTTAR,4,NOTA,None of the Above,173,44,217
