State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,171,HOWRAH_MADHYA,1,APARNA BOSE,Indian National Congress,0,166,166
S25,171,HOWRAH_MADHYA,1,ARUP ROY,All India Trinamool Congress,0,11173,11173
S25,171,HOWRAH_MADHYA,1,IMTEAZ AHMED,Communist Party of India (Marxist),0,328,328
S25,171,HOWRAH_MADHYA,1,DEBNATH KUNDU,Bahujan Samaj Party,0,21,21
S25,171,HOWRAH_MADHYA,1,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,0,2196,2196
S25,171,HOWRAH_MADHYA,1,ASIF HUSSAIN,Aam Janata Unnayan party,0,7,7
S25,171,HOWRAH_MADHYA,1,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,0,5,5
S25,171,HOWRAH_MADHYA,1,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),0,1,1
S25,171,HOWRAH_MADHYA,1,AMAJIT BASU,Independent,0,1,1
S25,171,HOWRAH_MADHYA,1,ARIJIT NANDY,Independent,0,6,6
S25,171,HOWRAH_MADHYA,1,DEBASISH GHORUI,Independent,0,7,7
S25,171,HOWRAH_MADHYA,1,RENU PRASAD,Independent,0,15,15
S25,171,HOWRAH_MADHYA,1,SHARMISTHA DAS,Independent,0,10,10
S25,171,HOWRAH_MADHYA,1,SUBRATA MONDAL,Independent,0,26,26
S25,171,HOWRAH_MADHYA,1,SAIKAT RAM,Independent,0,79,79
S25,171,HOWRAH_MADHYA,1,NOTA,None of the Above,0,31,31
S25,171,HOWRAH_MADHYA,2,APARNA BOSE,Indian National Congress,166,276,442
S25,171,HOWRAH_MADHYA,2,ARUP ROY,All India Trinamool Congress,11173,9945,21118
S25,171,HOWRAH_MADHYA,2,IMTEAZ AHMED,Communist Party of India (Marxist),328,450,778
S25,171,HOWRAH_MADHYA,2,DEBNATH KUNDU,Bahujan Samaj Party,21,33,54
S25,171,HOWRAH_MADHYA,2,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,2196,2235,4431
S25,171,HOWRAH_MADHYA,2,ASIF HUSSAIN,Aam Janata Unnayan party,7,10,17
S25,171,HOWRAH_MADHYA,2,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,5,2,7
S25,171,HOWRAH_MADHYA,2,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),1,4,5
S25,171,HOWRAH_MADHYA,2,AMAJIT BASU,Independent,1,9,10
S25,171,HOWRAH_MADHYA,2,ARIJIT NANDY,Independent,6,3,9
S25,171,HOWRAH_MADHYA,2,DEBASISH GHORUI,Independent,7,6,13
S25,171,HOWRAH_MADHYA,2,RENU PRASAD,Independent,15,18,33
S25,171,HOWRAH_MADHYA,2,SHARMISTHA DAS,Independent,10,11,21
S25,171,HOWRAH_MADHYA,2,SUBRATA MONDAL,Independent,26,16,42
S25,171,HOWRAH_MADHYA,2,SAIKAT RAM,Independent,79,69,148
S25,171,HOWRAH_MADHYA,2,NOTA,None of the Above,31,56,87
S25,171,HOWRAH_MADHYA,3,APARNA BOSE,Indian National Congress,442,186,628
S25,171,HOWRAH_MADHYA,3,ARUP ROY,All India Trinamool Congress,21118,3316,24434
S25,171,HOWRAH_MADHYA,3,IMTEAZ AHMED,Communist Party of India (Marxist),778,590,1368
S25,171,HOWRAH_MADHYA,3,DEBNATH KUNDU,Bahujan Samaj Party,54,27,81
S25,171,HOWRAH_MADHYA,3,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,4431,6363,10794
S25,171,HOWRAH_MADHYA,3,ASIF HUSSAIN,Aam Janata Unnayan party,17,8,25
S25,171,HOWRAH_MADHYA,3,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,7,6,13
S25,171,HOWRAH_MADHYA,3,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),5,6,11
S25,171,HOWRAH_MADHYA,3,AMAJIT BASU,Independent,10,4,14
S25,171,HOWRAH_MADHYA,3,ARIJIT NANDY,Independent,9,9,18
S25,171,HOWRAH_MADHYA,3,DEBASISH GHORUI,Independent,13,16,29
S25,171,HOWRAH_MADHYA,3,RENU PRASAD,Independent,33,12,45
S25,171,HOWRAH_MADHYA,3,SHARMISTHA DAS,Independent,21,12,33
S25,171,HOWRAH_MADHYA,3,SUBRATA MONDAL,Independent,42,19,61
S25,171,HOWRAH_MADHYA,3,SAIKAT RAM,Independent,148,17,165
S25,171,HOWRAH_MADHYA,3,NOTA,None of the Above,87,72,159
S25,171,HOWRAH_MADHYA,4,APARNA BOSE,Indian National Congress,628,250,878
S25,171,HOWRAH_MADHYA,4,ARUP ROY,All India Trinamool Congress,24434,5142,29576
S25,171,HOWRAH_MADHYA,4,IMTEAZ AHMED,Communist Party of India (Marxist),1368,998,2366
S25,171,HOWRAH_MADHYA,4,DEBNATH KUNDU,Bahujan Samaj Party,81,33,114
S25,171,HOWRAH_MADHYA,4,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,10794,5906,16700
S25,171,HOWRAH_MADHYA,4,ASIF HUSSAIN,Aam Janata Unnayan party,25,17,42
S25,171,HOWRAH_MADHYA,4,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,13,6,19
S25,171,HOWRAH_MADHYA,4,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),11,15,26
S25,171,HOWRAH_MADHYA,4,AMAJIT BASU,Independent,14,11,25
S25,171,HOWRAH_MADHYA,4,ARIJIT NANDY,Independent,18,8,26
S25,171,HOWRAH_MADHYA,4,DEBASISH GHORUI,Independent,29,6,35
S25,171,HOWRAH_MADHYA,4,RENU PRASAD,Independent,45,12,57
S25,171,HOWRAH_MADHYA,4,SHARMISTHA DAS,Independent,33,8,41
S25,171,HOWRAH_MADHYA,4,SUBRATA MONDAL,Independent,61,16,77
S25,171,HOWRAH_MADHYA,4,SAIKAT RAM,Independent,165,31,196
S25,171,HOWRAH_MADHYA,4,NOTA,None of the Above,159,80,239
S25,171,HOWRAH_MADHYA,5,APARNA BOSE,Indian National Congress,878,132,1010
S25,171,HOWRAH_MADHYA,5,ARUP ROY,All India Trinamool Congress,29576,3876,33452
S25,171,HOWRAH_MADHYA,5,IMTEAZ AHMED,Communist Party of India (Marxist),2366,627,2993
S25,171,HOWRAH_MADHYA,5,DEBNATH KUNDU,Bahujan Samaj Party,114,31,145
S25,171,HOWRAH_MADHYA,5,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,16700,6074,22774
S25,171,HOWRAH_MADHYA,5,ASIF HUSSAIN,Aam Janata Unnayan party,42,17,59
S25,171,HOWRAH_MADHYA,5,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,19,4,23
S25,171,HOWRAH_MADHYA,5,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),26,7,33
S25,171,HOWRAH_MADHYA,5,AMAJIT BASU,Independent,25,8,33
S25,171,HOWRAH_MADHYA,5,ARIJIT NANDY,Independent,26,6,32
S25,171,HOWRAH_MADHYA,5,DEBASISH GHORUI,Independent,35,11,46
S25,171,HOWRAH_MADHYA,5,RENU PRASAD,Independent,57,18,75
S25,171,HOWRAH_MADHYA,5,SHARMISTHA DAS,Independent,41,10,51
S25,171,HOWRAH_MADHYA,5,SUBRATA MONDAL,Independent,77,12,89
S25,171,HOWRAH_MADHYA,5,SAIKAT RAM,Independent,196,34,230
S25,171,HOWRAH_MADHYA,5,NOTA,None of the Above,239,89,328
S25,171,HOWRAH_MADHYA,6,APARNA BOSE,Indian National Congress,1010,121,1131
S25,171,HOWRAH_MADHYA,6,ARUP ROY,All India Trinamool Congress,33452,2433,35885
S25,171,HOWRAH_MADHYA,6,IMTEAZ AHMED,Communist Party of India (Marxist),2993,107,3100
S25,171,HOWRAH_MADHYA,6,DEBNATH KUNDU,Bahujan Samaj Party,145,20,165
S25,171,HOWRAH_MADHYA,6,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,22774,7604,30378
S25,171,HOWRAH_MADHYA,6,ASIF HUSSAIN,Aam Janata Unnayan party,59,18,77
S25,171,HOWRAH_MADHYA,6,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,23,5,28
S25,171,HOWRAH_MADHYA,6,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),33,3,36
S25,171,HOWRAH_MADHYA,6,AMAJIT BASU,Independent,33,7,40
S25,171,HOWRAH_MADHYA,6,ARIJIT NANDY,Independent,32,7,39
S25,171,HOWRAH_MADHYA,6,DEBASISH GHORUI,Independent,46,11,57
S25,171,HOWRAH_MADHYA,6,RENU PRASAD,Independent,75,30,105
S25,171,HOWRAH_MADHYA,6,SHARMISTHA DAS,Independent,51,12,63
S25,171,HOWRAH_MADHYA,6,SUBRATA MONDAL,Independent,89,12,101
S25,171,HOWRAH_MADHYA,6,SAIKAT RAM,Independent,230,25,255
S25,171,HOWRAH_MADHYA,6,NOTA,None of the Above,328,30,358
S25,171,HOWRAH_MADHYA,7,APARNA BOSE,Indian National Congress,1131,156,1287
S25,171,HOWRAH_MADHYA,7,ARUP ROY,All India Trinamool Congress,35885,3763,39648
S25,171,HOWRAH_MADHYA,7,IMTEAZ AHMED,Communist Party of India (Marxist),3100,280,3380
S25,171,HOWRAH_MADHYA,7,DEBNATH KUNDU,Bahujan Samaj Party,165,41,206
S25,171,HOWRAH_MADHYA,7,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,30378,8195,38573
S25,171,HOWRAH_MADHYA,7,ASIF HUSSAIN,Aam Janata Unnayan party,77,12,89
S25,171,HOWRAH_MADHYA,7,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,28,10,38
S25,171,HOWRAH_MADHYA,7,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),36,9,45
S25,171,HOWRAH_MADHYA,7,AMAJIT BASU,Independent,40,5,45
S25,171,HOWRAH_MADHYA,7,ARIJIT NANDY,Independent,39,10,49
S25,171,HOWRAH_MADHYA,7,DEBASISH GHORUI,Independent,57,11,68
S25,171,HOWRAH_MADHYA,7,RENU PRASAD,Independent,105,35,140
S25,171,HOWRAH_MADHYA,7,SHARMISTHA DAS,Independent,63,18,81
S25,171,HOWRAH_MADHYA,7,SUBRATA MONDAL,Independent,101,27,128
S25,171,HOWRAH_MADHYA,7,SAIKAT RAM,Independent,255,43,298
S25,171,HOWRAH_MADHYA,7,NOTA,None of the Above,358,59,417
S25,171,HOWRAH_MADHYA,8,APARNA BOSE,Indian National Congress,1287,212,1499
S25,171,HOWRAH_MADHYA,8,ARUP ROY,All India Trinamool Congress,39648,5964,45612
S25,171,HOWRAH_MADHYA,8,IMTEAZ AHMED,Communist Party of India (Marxist),3380,847,4227
S25,171,HOWRAH_MADHYA,8,DEBNATH KUNDU,Bahujan Samaj Party,206,33,239
S25,171,HOWRAH_MADHYA,8,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,38573,5941,44514
S25,171,HOWRAH_MADHYA,8,ASIF HUSSAIN,Aam Janata Unnayan party,89,14,103
S25,171,HOWRAH_MADHYA,8,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,38,7,45
S25,171,HOWRAH_MADHYA,8,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),45,24,69
S25,171,HOWRAH_MADHYA,8,AMAJIT BASU,Independent,45,9,54
S25,171,HOWRAH_MADHYA,8,ARIJIT NANDY,Independent,49,14,63
S25,171,HOWRAH_MADHYA,8,DEBASISH GHORUI,Independent,68,10,78
S25,171,HOWRAH_MADHYA,8,RENU PRASAD,Independent,140,18,158
S25,171,HOWRAH_MADHYA,8,SHARMISTHA DAS,Independent,81,8,89
S25,171,HOWRAH_MADHYA,8,SUBRATA MONDAL,Independent,128,14,142
S25,171,HOWRAH_MADHYA,8,SAIKAT RAM,Independent,298,27,325
S25,171,HOWRAH_MADHYA,8,NOTA,None of the Above,417,76,493
S25,171,HOWRAH_MADHYA,9,APARNA BOSE,Indian National Congress,1499,259,1758
S25,171,HOWRAH_MADHYA,9,ARUP ROY,All India Trinamool Congress,45612,7149,52761
S25,171,HOWRAH_MADHYA,9,IMTEAZ AHMED,Communist Party of India (Marxist),4227,1500,5727
S25,171,HOWRAH_MADHYA,9,DEBNATH KUNDU,Bahujan Samaj Party,239,32,271
S25,171,HOWRAH_MADHYA,9,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,44514,6392,50906
S25,171,HOWRAH_MADHYA,9,ASIF HUSSAIN,Aam Janata Unnayan party,103,18,121
S25,171,HOWRAH_MADHYA,9,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,45,16,61
