State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,173,HOWRAH_DAKSHIN,1,ABHIJIT BANERJEE,Communist Party of India (Marxist),0,2543,2543
S25,173,HOWRAH_DAKSHIN,1,DEEPSHIKHA BHOWMICK,Indian National Congress,0,254,254
S25,173,HOWRAH_DAKSHIN,1,NANDITA CHOWDHURY,All India Trinamool Congress,0,7529,7529
S25,173,HOWRAH_DAKSHIN,1,SHYAMAL KUMAR HATI,Bharatiya Janata Party,0,3109,3109
S25,173,HOWRAH_DAKSHIN,1,RITA GHOSHAL,Socialist Unity Centre Of India (COMMUNIST),0,23,23
S25,173,HOWRAH_DAKSHIN,1,AVIJIT DAS,Independent,0,8,8
S25,173,HOWRAH_DAKSHIN,1,AVISEK DAS,Independent,0,7,7
S25,173,HOWRAH_DAKSHIN,1,AMIT CHAKRABORTY,Independent,0,23,23
S25,173,HOWRAH_DAKSHIN,1,MADHUSRI GHOSH,Independent,0,28,28
S25,173,HOWRAH_DAKSHIN,1,PABITRA BISWAS,Independent,0,30,30
S25,173,HOWRAH_DAKSHIN,1,RAJESH KUMAR SINGH,Independent,0,68,68
S25,173,HOWRAH_DAKSHIN,1,SAMIR BACHAR,Independent,0,25,25
S25,173,HOWRAH_DAKSHIN,1,NOTA,None of the Above,0,88,88
S25,173,HOWRAH_DAKSHIN,2,ABHIJIT BANERJEE,Communist Party of India (Marxist),2543,888,3431
S25,173,HOWRAH_DAKSHIN,2,DEEPSHIKHA BHOWMICK,Indian National Congress,254,136,390
S25,173,HOWRAH_DAKSHIN,2,NANDITA CHOWDHURY,All India Trinamool Congress,7529,5951,13480
S25,173,HOWRAH_DAKSHIN,2,SHYAMAL KUMAR HATI,Bharatiya Janata Party,3109,5026,8135
S25,173,HOWRAH_DAKSHIN,2,RITA GHOSHAL,Socialist Unity Centre Of India (COMMUNIST),23,40,63
S25,173,HOWRAH_DAKSHIN,2,AVIJIT DAS,Independent,8,7,15
S25,173,HOWRAH_DAKSHIN,2,AVISEK DAS,Independent,7,10,17
S25,173,HOWRAH_DAKSHIN,2,AMIT CHAKRABORTY,Independent,23,13,36
S25,173,HOWRAH_DAKSHIN,2,MADHUSRI GHOSH,Independent,28,21,49
S25,173,HOWRAH_DAKSHIN,2,PABITRA BISWAS,Independent,30,61,91
S25,173,HOWRAH_DAKSHIN,2,RAJESH KUMAR SINGH,Independent,68,67,135
S25,173,HOWRAH_DAKSHIN,2,SAMIR BACHAR,Independent,25,22,47
S25,173,HOWRAH_DAKSHIN,2,NOTA,None of the Above,88,80,168
S25,173,HOWRAH_DAKSHIN,3,ABHIJIT BANERJEE,Communist Party of India (Marxist),3431,874,4305
S25,173,HOWRAH_DAKSHIN,3,DEEPSHIKHA BHOWMICK,Indian National Congress,390,138,528
S25,173,HOWRAH_DAKSHIN,3,NANDITA CHOWDHURY,All India Trinamool Congress,13480,4986,18466
