State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,174,SANKRAIL,1,PRIYA PAUL,All India Trinamool Congress,0,6650,6650
S25,174,SANKRAIL,1,BARNALI DHALI NASKAR,Bharatiya Janata Party,0,4048,4048
S25,174,SANKRAIL,1,BECHURAM MALICK,Indian National Congress,0,117,117
S25,174,SANKRAIL,1,SAMIR MALICK,Communist Party of India (Marxist),0,764,764
S25,174,SANKRAIL,1,KOUSIK NASKAR,Independent,0,11,11
S25,174,SANKRAIL,1,NILKAMAL DAS,Independent,0,8,8
S25,174,SANKRAIL,1,BARUNA DAS,Independent,0,6,6
S25,174,SANKRAIL,1,BIMAL KANTI NASKAR,Independent,0,6,6
S25,174,SANKRAIL,1,REKHA MONDAL,Independent,0,10,10
S25,174,SANKRAIL,1,SRIKUMAR NASKAR,Independent,0,28,28
S25,174,SANKRAIL,1,NOTA,None of the Above,0,74,74
S25,174,SANKRAIL,2,PRIYA PAUL,All India Trinamool Congress,6650,4913,11563
S25,174,SANKRAIL,2,BARNALI DHALI NASKAR,Bharatiya Janata Party,4048,4599,8647
S25,174,SANKRAIL,2,BECHURAM MALICK,Indian National Congress,117,171,288
S25,174,SANKRAIL,2,SAMIR MALICK,Communist Party of India (Marxist),764,1036,1800
S25,174,SANKRAIL,2,KOUSIK NASKAR,Independent,11,15,26
S25,174,SANKRAIL,2,NILKAMAL DAS,Independent,8,6,14
S25,174,SANKRAIL,2,BARUNA DAS,Independent,6,15,21
S25,174,SANKRAIL,2,BIMAL KANTI NASKAR,Independent,6,5,11
S25,174,SANKRAIL,2,REKHA MONDAL,Independent,10,10,20
S25,174,SANKRAIL,2,SRIKUMAR NASKAR,Independent,28,19,47
S25,174,SANKRAIL,2,NOTA,None of the Above,74,110,184
S25,174,SANKRAIL,3,PRIYA PAUL,All India Trinamool Congress,11563,6524,18087
S25,174,SANKRAIL,3,BARNALI DHALI NASKAR,Bharatiya Janata Party,8647,3880,12527
S25,174,SANKRAIL,3,BECHURAM MALICK,Indian National Congress,288,99,387
S25,174,SANKRAIL,3,SAMIR MALICK,Communist Party of India (Marxist),1800,1722,3522
S25,174,SANKRAIL,3,KOUSIK NASKAR,Independent,26,21,47
S25,174,SANKRAIL,3,NILKAMAL DAS,Independent,14,7,21
S25,174,SANKRAIL,3,BARUNA DAS,Independent,21,13,34
S25,174,SANKRAIL,3,BIMAL KANTI NASKAR,Independent,11,20,31
S25,174,SANKRAIL,3,REKHA MONDAL,Independent,20,18,38
S25,174,SANKRAIL,3,SRIKUMAR NASKAR,Independent,47,26,73
S25,174,SANKRAIL,3,NOTA,None of the Above,184,105,289
S25,174,SANKRAIL,4,PRIYA PAUL,All India Trinamool Congress,18087,6396,24483
S25,174,SANKRAIL,4,BARNALI DHALI NASKAR,Bharatiya Janata Party,12527,3793,16320
S25,174,SANKRAIL,4,BECHURAM MALICK,Indian National Congress,387,109,496
S25,174,SANKRAIL,4,SAMIR MALICK,Communist Party of India (Marxist),3522,1545,5067
S25,174,SANKRAIL,4,KOUSIK NASKAR,Independent,47,22,69
S25,174,SANKRAIL,4,NILKAMAL DAS,Independent,21,4,25
S25,174,SANKRAIL,4,BARUNA DAS,Independent,34,11,45
S25,174,SANKRAIL,4,BIMAL KANTI NASKAR,Independent,31,14,45
S25,174,SANKRAIL,4,REKHA MONDAL,Independent,38,12,50
S25,174,SANKRAIL,4,SRIKUMAR NASKAR,Independent,73,24,97
S25,174,SANKRAIL,4,NOTA,None of the Above,289,83,372
S25,174,SANKRAIL,5,PRIYA PAUL,All India Trinamool Congress,24483,8189,32672
S25,174,SANKRAIL,5,BARNALI DHALI NASKAR,Bharatiya Janata Party,16320,1893,18213
S25,174,SANKRAIL,5,BECHURAM MALICK,Indian National Congress,496,100,596
S25,174,SANKRAIL,5,SAMIR MALICK,Communist Party of India (Marxist),5067,2149,7216
S25,174,SANKRAIL,5,KOUSIK NASKAR,Independent,69,30,99
S25,174,SANKRAIL,5,NILKAMAL DAS,Independent,25,6,31
S25,174,SANKRAIL,5,BARUNA DAS,Independent,45,8,53
S25,174,SANKRAIL,5,BIMAL KANTI NASKAR,Independent,45,31,76
S25,174,SANKRAIL,5,REKHA MONDAL,Independent,50,24,74
S25,174,SANKRAIL,5,SRIKUMAR NASKAR,Independent,97,21,118
S25,174,SANKRAIL,5,NOTA,None of the Above,372,135,507
S25,174,SANKRAIL,6,PRIYA PAUL,All India Trinamool Congress,32672,4566,37238
S25,174,SANKRAIL,6,BARNALI DHALI NASKAR,Bharatiya Janata Party,18213,5378,23591
S25,174,SANKRAIL,6,BECHURAM MALICK,Indian National Congress,596,115,711
S25,174,SANKRAIL,6,SAMIR MALICK,Communist Party of India (Marxist),7216,1024,8240
S25,174,SANKRAIL,6,KOUSIK NASKAR,Independent,99,15,114
S25,174,SANKRAIL,6,NILKAMAL DAS,Independent,31,10,41
S25,174,SANKRAIL,6,BARUNA DAS,Independent,53,12,65
S25,174,SANKRAIL,6,BIMAL KANTI NASKAR,Independent,76,17,93
