State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,176,ULUBERIA_PURBA,1,ALAM DEIYAN SEKH,Indian National Congress,0,99,99
S25,176,ULUBERIA_PURBA,1,RITABRATA BANERJEE,All India Trinamool Congress,0,5728,5728
S25,176,ULUBERIA_PURBA,1,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,0,5881,5881
S25,176,ULUBERIA_PURBA,1,NASIR KHAN,All India Secular Front,0,1275,1275
S25,176,ULUBERIA_PURBA,1,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,0,17,17
S25,176,ULUBERIA_PURBA,1,SAHAJADI PARVIN,Welfare Party Of India,0,13,13
S25,176,ULUBERIA_PURBA,1,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,12,12
S25,176,ULUBERIA_PURBA,1,BARUN PATRA,Independent,0,13,13
S25,176,ULUBERIA_PURBA,1,BISWAJIT KHANRA,Independent,0,22,22
S25,176,ULUBERIA_PURBA,1,RAJIB ROY,Independent,0,67,67
S25,176,ULUBERIA_PURBA,1,SK  FARHAN AKTAB,Independent,0,58,58
S25,176,ULUBERIA_PURBA,1,NOTA,None of the Above,0,70,70
S25,176,ULUBERIA_PURBA,2,ALAM DEIYAN SEKH,Indian National Congress,99,135,234
S25,176,ULUBERIA_PURBA,2,RITABRATA BANERJEE,All India Trinamool Congress,5728,5523,11251
S25,176,ULUBERIA_PURBA,2,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,5881,6248,12129
S25,176,ULUBERIA_PURBA,2,NASIR KHAN,All India Secular Front,1275,911,2186
S25,176,ULUBERIA_PURBA,2,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,17,5,22
S25,176,ULUBERIA_PURBA,2,SAHAJADI PARVIN,Welfare Party Of India,13,9,22
S25,176,ULUBERIA_PURBA,2,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),12,11,23
S25,176,ULUBERIA_PURBA,2,BARUN PATRA,Independent,13,12,25
S25,176,ULUBERIA_PURBA,2,BISWAJIT KHANRA,Independent,22,22,44
S25,176,ULUBERIA_PURBA,2,RAJIB ROY,Independent,67,36,103
S25,176,ULUBERIA_PURBA,2,SK  FARHAN AKTAB,Independent,58,36,94
S25,176,ULUBERIA_PURBA,2,NOTA,None of the Above,70,63,133
S25,176,ULUBERIA_PURBA,3,ALAM DEIYAN SEKH,Indian National Congress,234,91,325
S25,176,ULUBERIA_PURBA,3,RITABRATA BANERJEE,All India Trinamool Congress,11251,6521,17772
S25,176,ULUBERIA_PURBA,3,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,12129,4696,16825
S25,176,ULUBERIA_PURBA,3,NASIR KHAN,All India Secular Front,2186,2009,4195
S25,176,ULUBERIA_PURBA,3,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,22,33,55
S25,176,ULUBERIA_PURBA,3,SAHAJADI PARVIN,Welfare Party Of India,22,23,45
S25,176,ULUBERIA_PURBA,3,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),23,15,38
S25,176,ULUBERIA_PURBA,3,BARUN PATRA,Independent,25,12,37
S25,176,ULUBERIA_PURBA,3,BISWAJIT KHANRA,Independent,44,35,79
S25,176,ULUBERIA_PURBA,3,RAJIB ROY,Independent,103,25,128
S25,176,ULUBERIA_PURBA,3,SK  FARHAN AKTAB,Independent,94,47,141
S25,176,ULUBERIA_PURBA,3,NOTA,None of the Above,133,60,193
S25,176,ULUBERIA_PURBA,4,ALAM DEIYAN SEKH,Indian National Congress,325,110,435
S25,176,ULUBERIA_PURBA,4,RITABRATA BANERJEE,All India Trinamool Congress,17772,4865,22637
S25,176,ULUBERIA_PURBA,4,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,16825,6972,23797
S25,176,ULUBERIA_PURBA,4,NASIR KHAN,All India Secular Front,4195,538,4733
S25,176,ULUBERIA_PURBA,4,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,55,8,63
S25,176,ULUBERIA_PURBA,4,SAHAJADI PARVIN,Welfare Party Of India,45,10,55
S25,176,ULUBERIA_PURBA,4,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),38,13,51
S25,176,ULUBERIA_PURBA,4,BARUN PATRA,Independent,37,6,43
S25,176,ULUBERIA_PURBA,4,BISWAJIT KHANRA,Independent,79,23,102
S25,176,ULUBERIA_PURBA,4,RAJIB ROY,Independent,128,60,188
S25,176,ULUBERIA_PURBA,4,SK  FARHAN AKTAB,Independent,141,58,199
S25,176,ULUBERIA_PURBA,4,NOTA,None of the Above,193,99,292
S25,176,ULUBERIA_PURBA,5,ALAM DEIYAN SEKH,Indian National Congress,435,120,555
S25,176,ULUBERIA_PURBA,5,RITABRATA BANERJEE,All India Trinamool Congress,22637,7881,30518
S25,176,ULUBERIA_PURBA,5,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,23797,2443,26240
S25,176,ULUBERIA_PURBA,5,NASIR KHAN,All India Secular Front,4733,2904,7637
S25,176,ULUBERIA_PURBA,5,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,63,25,88
S25,176,ULUBERIA_PURBA,5,SAHAJADI PARVIN,Welfare Party Of India,55,27,82
S25,176,ULUBERIA_PURBA,5,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),51,7,58
