State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,181,AMTA,1,AMIT SAMANTA,Bharatiya Janata Party,0,6480,6480
S25,181,AMTA,1,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),0,714,714
S25,181,AMTA,1,TAPAN DAS,Indian National Congress,0,97,97
S25,181,AMTA,1,SUKANTA KUMAR PAUL,All India Trinamool Congress,0,5832,5832
S25,181,AMTA,1,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),0,33,33
S25,181,AMTA,1,SK MASAREKUL ANOWAR,Aam Janata Unnayan party,0,9,9
S25,181,AMTA,1,ABHIJIT SHOW,Independent,0,7,7
S25,181,AMTA,1,ABHIJIT HAZRA,Independent,0,10,10
S25,181,AMTA,1,ASHISH DOLUI,Independent,0,14,14
S25,181,AMTA,1,KAMAL KRISHNA MALIK,Independent,0,39,39
S25,181,AMTA,1,BAISAKHI MALIK,Independent,0,72,72
S25,181,AMTA,1,SARASWATI PATRA SARKAR,Independent,0,15,15
S25,181,AMTA,1,SK SAPIYAR ALI,Independent,0,34,34
S25,181,AMTA,1,NOTA,None of the Above,0,92,92
S25,181,AMTA,2,AMIT SAMANTA,Bharatiya Janata Party,6480,8517,14997
S25,181,AMTA,2,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),714,655,1369
S25,181,AMTA,2,TAPAN DAS,Indian National Congress,97,108,205
S25,181,AMTA,2,SUKANTA KUMAR PAUL,All India Trinamool Congress,5832,6642,12474
S25,181,AMTA,2,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),33,48,81
S25,181,AMTA,2,SK MASAREKUL ANOWAR,Aam Janata Unnayan party,9,12,21
S25,181,AMTA,2,ABHIJIT SHOW,Independent,7,8,15
S25,181,AMTA,2,ABHIJIT HAZRA,Independent,10,14,24
S25,181,AMTA,2,ASHISH DOLUI,Independent,14,25,39
S25,181,AMTA,2,KAMAL KRISHNA MALIK,Independent,39,62,101
S25,181,AMTA,2,BAISAKHI MALIK,Independent,72,99,171
S25,181,AMTA,2,SARASWATI PATRA SARKAR,Independent,15,23,38
S25,181,AMTA,2,SK SAPIYAR ALI,Independent,34,50,84
S25,181,AMTA,2,NOTA,None of the Above,92,135,227
S25,181,AMTA,3,AMIT SAMANTA,Bharatiya Janata Party,14997,6753,21750
S25,181,AMTA,3,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),1369,1210,2579
S25,181,AMTA,3,TAPAN DAS,Indian National Congress,205,154,359
S25,181,AMTA,3,SUKANTA KUMAR PAUL,All India Trinamool Congress,12474,7393,19867
S25,181,AMTA,3,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),81,31,112
S25,181,AMTA,3,SK MASAREKUL ANOWAR,Aam Janata Unnayan party,21,8,29
S25,181,AMTA,3,ABHIJIT SHOW,Independent,15,8,23
S25,181,AMTA,3,ABHIJIT HAZRA,Independent,24,13,37
S25,181,AMTA,3,ASHISH DOLUI,Independent,39,19,58
S25,181,AMTA,3,KAMAL KRISHNA MALIK,Independent,101,51,152
S25,181,AMTA,3,BAISAKHI MALIK,Independent,171,80,251
S25,181,AMTA,3,SARASWATI PATRA SARKAR,Independent,38,37,75
S25,181,AMTA,3,SK SAPIYAR ALI,Independent,84,44,128
S25,181,AMTA,3,NOTA,None of the Above,227,118,345
S25,181,AMTA,4,AMIT SAMANTA,Bharatiya Janata Party,21750,5894,27644
S25,181,AMTA,4,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),2579,1283,3862
S25,181,AMTA,4,TAPAN DAS,Indian National Congress,359,143,502
S25,181,AMTA,4,SUKANTA KUMAR PAUL,All India Trinamool Congress,19867,6805,26672
S25,181,AMTA,4,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),112,45,157
S25,181,AMTA,4,SK MASAREKUL ANOWAR,Aam Janata Unnayan party,29,17,46
S25,181,AMTA,4,ABHIJIT SHOW,Independent,23,7,30
S25,181,AMTA,4,ABHIJIT HAZRA,Independent,37,11,48
S25,181,AMTA,4,ASHISH DOLUI,Independent,58,30,88
S25,181,AMTA,4,KAMAL KRISHNA MALIK,Independent,152,42,194
S25,181,AMTA,4,BAISAKHI MALIK,Independent,251,109,360
S25,181,AMTA,4,SARASWATI PATRA SARKAR,Independent,75,25,100
S25,181,AMTA,4,SK SAPIYAR ALI,Independent,128,42,170
S25,181,AMTA,4,NOTA,None of the Above,345,93,438
S25,181,AMTA,5,AMIT SAMANTA,Bharatiya Janata Party,27644,6400,34044
S25,181,AMTA,5,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),3862,588,4450
S25,181,AMTA,5,TAPAN DAS,Indian National Congress,502,106,608
S25,181,AMTA,5,SUKANTA KUMAR PAUL,All India Trinamool Congress,26672,4842,31514
S25,181,AMTA,5,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),157,30,187
