State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,183,JAGATBALLAVPUR,1,ANUPAM GHOSH,Bharatiya Janata Party,0,6359,6359
S25,183,JAGATBALLAVPUR,1,KOUSHIK ROY,Indian National Congress,0,107,107
S25,183,JAGATBALLAVPUR,1,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,0,5698,5698
S25,183,JAGATBALLAVPUR,1,NAZIRA KHATUN,All India Secular Front,0,1955,1955
S25,183,JAGATBALLAVPUR,1,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,0,28,28
S25,183,JAGATBALLAVPUR,1,ANUPAM MALIK,Independent,0,40,40
S25,183,JAGATBALLAVPUR,1,KOUSIK GHOSH,Independent,0,115,115
S25,183,JAGATBALLAVPUR,1,JYOTSNA RANG,Independent,0,25,25
S25,183,JAGATBALLAVPUR,1,NOTA,None of the Above,0,141,141
S25,183,JAGATBALLAVPUR,2,ANUPAM GHOSH,Bharatiya Janata Party,6359,2981,9340
S25,183,JAGATBALLAVPUR,2,KOUSHIK ROY,Indian National Congress,107,73,180
S25,183,JAGATBALLAVPUR,2,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,5698,7262,12960
S25,183,JAGATBALLAVPUR,2,NAZIRA KHATUN,All India Secular Front,1955,2590,4545
S25,183,JAGATBALLAVPUR,2,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,28,36,64
S25,183,JAGATBALLAVPUR,2,ANUPAM MALIK,Independent,40,61,101
S25,183,JAGATBALLAVPUR,2,KOUSIK GHOSH,Independent,115,107,222
S25,183,JAGATBALLAVPUR,2,JYOTSNA RANG,Independent,25,20,45
S25,183,JAGATBALLAVPUR,2,NOTA,None of the Above,141,89,230
S25,183,JAGATBALLAVPUR,3,ANUPAM GHOSH,Bharatiya Janata Party,9340,7353,16693
S25,183,JAGATBALLAVPUR,3,KOUSHIK ROY,Indian National Congress,180,80,260
S25,183,JAGATBALLAVPUR,3,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,12960,5677,18637
S25,183,JAGATBALLAVPUR,3,NAZIRA KHATUN,All India Secular Front,4545,986,5531
S25,183,JAGATBALLAVPUR,3,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,64,16,80
S25,183,JAGATBALLAVPUR,3,ANUPAM MALIK,Independent,101,38,139
S25,183,JAGATBALLAVPUR,3,KOUSIK GHOSH,Independent,222,95,317
S25,183,JAGATBALLAVPUR,3,JYOTSNA RANG,Independent,45,37,82
S25,183,JAGATBALLAVPUR,3,NOTA,None of the Above,230,163,393
S25,183,JAGATBALLAVPUR,4,ANUPAM GHOSH,Bharatiya Janata Party,16693,7905,24598
S25,183,JAGATBALLAVPUR,4,KOUSHIK ROY,Indian National Congress,260,117,377
S25,183,JAGATBALLAVPUR,4,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,18637,5563,24200
S25,183,JAGATBALLAVPUR,4,NAZIRA KHATUN,All India Secular Front,5531,412,5943
S25,183,JAGATBALLAVPUR,4,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,80,16,96
S25,183,JAGATBALLAVPUR,4,ANUPAM MALIK,Independent,139,34,173
S25,183,JAGATBALLAVPUR,4,KOUSIK GHOSH,Independent,317,113,430
S25,183,JAGATBALLAVPUR,4,JYOTSNA RANG,Independent,82,45,127
S25,183,JAGATBALLAVPUR,4,NOTA,None of the Above,393,178,571
S25,183,JAGATBALLAVPUR,5,ANUPAM GHOSH,Bharatiya Janata Party,24598,5896,30494
S25,183,JAGATBALLAVPUR,5,KOUSHIK ROY,Indian National Congress,377,92,469
S25,183,JAGATBALLAVPUR,5,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,24200,7235,31435
S25,183,JAGATBALLAVPUR,5,NAZIRA KHATUN,All India Secular Front,5943,2448,8391
S25,183,JAGATBALLAVPUR,5,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,96,36,132
S25,183,JAGATBALLAVPUR,5,ANUPAM MALIK,Independent,173,38,211
S25,183,JAGATBALLAVPUR,5,KOUSIK GHOSH,Independent,430,89,519
S25,183,JAGATBALLAVPUR,5,JYOTSNA RANG,Independent,127,32,159
S25,183,JAGATBALLAVPUR,5,NOTA,None of the Above,571,96,667
S25,183,JAGATBALLAVPUR,6,ANUPAM GHOSH,Bharatiya Janata Party,30494,6554,37048
S25,183,JAGATBALLAVPUR,6,KOUSHIK ROY,Indian National Congress,469,106,575
S25,183,JAGATBALLAVPUR,6,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,31435,5195,36630
S25,183,JAGATBALLAVPUR,6,NAZIRA KHATUN,All India Secular Front,8391,1470,9861
S25,183,JAGATBALLAVPUR,6,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,132,29,161
S25,183,JAGATBALLAVPUR,6,ANUPAM MALIK,Independent,211,38,249
S25,183,JAGATBALLAVPUR,6,KOUSIK GHOSH,Independent,519,91,610
S25,183,JAGATBALLAVPUR,6,JYOTSNA RANG,Independent,159,27,186
S25,183,JAGATBALLAVPUR,6,NOTA,None of the Above,667,150,817
S25,183,JAGATBALLAVPUR,7,ANUPAM GHOSH,Bharatiya Janata Party,37048,6986,44034
S25,183,JAGATBALLAVPUR,7,KOUSHIK ROY,Indian National Congress,575,110,685
S25,183,JAGATBALLAVPUR,7,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,36630,5619,42249
S25,183,JAGATBALLAVPUR,7,NAZIRA KHATUN,All India Secular Front,9861,867,10728
S25,183,JAGATBALLAVPUR,7,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,161,34,195
S25,183,JAGATBALLAVPUR,7,ANUPAM MALIK,Independent,249,43,292
S25,183,JAGATBALLAVPUR,7,KOUSIK GHOSH,Independent,610,99,709
S25,183,JAGATBALLAVPUR,7,JYOTSNA RANG,Independent,186,44,230
S25,183,JAGATBALLAVPUR,7,NOTA,None of the Above,817,137,954
S25,183,JAGATBALLAVPUR,8,ANUPAM GHOSH,Bharatiya Janata Party,44034,5088,49122
S25,183,JAGATBALLAVPUR,8,KOUSHIK ROY,Indian National Congress,685,85,770
S25,183,JAGATBALLAVPUR,8,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,42249,7106,49355
S25,183,JAGATBALLAVPUR,8,NAZIRA KHATUN,All India Secular Front,10728,1305,12033
S25,183,JAGATBALLAVPUR,8,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,195,28,223
S25,183,JAGATBALLAVPUR,8,ANUPAM MALIK,Independent,292,29,321
S25,183,JAGATBALLAVPUR,8,KOUSIK GHOSH,Independent,709,112,821
S25,183,JAGATBALLAVPUR,8,JYOTSNA RANG,Independent,230,24,254
S25,183,JAGATBALLAVPUR,8,NOTA,None of the Above,954,105,1059
S25,183,JAGATBALLAVPUR,9,ANUPAM GHOSH,Bharatiya Janata Party,49122,7059,56181
S25,183,JAGATBALLAVPUR,9,KOUSHIK ROY,Indian National Congress,770,94,864
S25,183,JAGATBALLAVPUR,9,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,49355,6287,55642
S25,183,JAGATBALLAVPUR,9,NAZIRA KHATUN,All India Secular Front,12033,1369,13402
S25,183,JAGATBALLAVPUR,9,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,223,24,247
S25,183,JAGATBALLAVPUR,9,ANUPAM MALIK,Independent,321,22,343
S25,183,JAGATBALLAVPUR,9,KOUSIK GHOSH,Independent,821,94,915
S25,183,JAGATBALLAVPUR,9,JYOTSNA RANG,Independent,254,31,285
S25,183,JAGATBALLAVPUR,9,NOTA,None of the Above,1059,92,1151
S25,183,JAGATBALLAVPUR,10,ANUPAM GHOSH,Bharatiya Janata Party,56181,6576,62757
S25,183,JAGATBALLAVPUR,10,KOUSHIK ROY,Indian National Congress,864,46,910
S25,183,JAGATBALLAVPUR,10,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,55642,6128,61770
S25,183,JAGATBALLAVPUR,10,NAZIRA KHATUN,All India Secular Front,13402,923,14325
S25,183,JAGATBALLAVPUR,10,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,247,18,265
S25,183,JAGATBALLAVPUR,10,ANUPAM MALIK,Independent,343,23,366
S25,183,JAGATBALLAVPUR,10,KOUSIK GHOSH,Independent,915,47,962
S25,183,JAGATBALLAVPUR,10,JYOTSNA RANG,Independent,285,23,308
S25,183,JAGATBALLAVPUR,10,NOTA,None of the Above,1151,106,1257
S25,183,JAGATBALLAVPUR,11,ANUPAM GHOSH,Bharatiya Janata Party,62757,6032,68789
S25,183,JAGATBALLAVPUR,11,KOUSHIK ROY,Indian National Congress,910,112,1022
S25,183,JAGATBALLAVPUR,11,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,61770,5952,67722
S25,183,JAGATBALLAVPUR,11,NAZIRA KHATUN,All India Secular Front,14325,903,15228
S25,183,JAGATBALLAVPUR,11,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,265,25,290
S25,183,JAGATBALLAVPUR,11,ANUPAM MALIK,Independent,366,23,389
S25,183,JAGATBALLAVPUR,11,KOUSIK GHOSH,Independent,962,78,1040
S25,183,JAGATBALLAVPUR,11,JYOTSNA RANG,Independent,308,17,325
S25,183,JAGATBALLAVPUR,11,NOTA,None of the Above,1257,80,1337
S25,183,JAGATBALLAVPUR,12,ANUPAM GHOSH,Bharatiya Janata Party,68789,6196,74985
S25,183,JAGATBALLAVPUR,12,KOUSHIK ROY,Indian National Congress,1022,110,1132
S25,183,JAGATBALLAVPUR,12,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,67722,5304,73026
S25,183,JAGATBALLAVPUR,12,NAZIRA KHATUN,All India Secular Front,15228,860,16088
S25,183,JAGATBALLAVPUR,12,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,290,24,314
