State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,188,SINGUR,1,ARUP KUMAR DAS,Bharatiya Janata Party,0,4342,4342
S25,188,SINGUR,1,DEBASHIS CHATTERJEE,Communist Party of India (Marxist),0,656,656
S25,188,SINGUR,1,PALLABI ROY,Bahujan Samaj Party,0,35,35
S25,188,SINGUR,1,BARUN KUMAR MALIK,Indian National Congress,0,51,51
S25,188,SINGUR,1,BECHARAM MANNA,All India Trinamool Congress,0,4739,4739
S25,188,SINGUR,1,KASHINATH SHAW,Aam Janata Unnayan party,0,43,43
S25,188,SINGUR,1,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),0,13,13
S25,188,SINGUR,1,ARUP DAS,Independent,0,10,10
S25,188,SINGUR,1,SANJOY SAIKH,Independent,0,22,22
S25,188,SINGUR,1,NOTA,None of the Above,0,64,64
S25,188,SINGUR,2,ARUP KUMAR DAS,Bharatiya Janata Party,4342,5301,9643
S25,188,SINGUR,2,DEBASHIS CHATTERJEE,Communist Party of India (Marxist),656,586,1242
S25,188,SINGUR,2,PALLABI ROY,Bahujan Samaj Party,35,33,68
S25,188,SINGUR,2,BARUN KUMAR MALIK,Indian National Congress,51,33,84
S25,188,SINGUR,2,BECHARAM MANNA,All India Trinamool Congress,4739,4275,9014
S25,188,SINGUR,2,KASHINATH SHAW,Aam Janata Unnayan party,43,51,94
S25,188,SINGUR,2,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),13,13,26
S25,188,SINGUR,2,ARUP DAS,Independent,10,9,19
S25,188,SINGUR,2,SANJOY SAIKH,Independent,22,14,36
S25,188,SINGUR,2,NOTA,None of the Above,64,75,139
S25,188,SINGUR,3,ARUP KUMAR DAS,Bharatiya Janata Party,9643,5973,15616
S25,188,SINGUR,3,DEBASHIS CHATTERJEE,Communist Party of India (Marxist),1242,340,1582
S25,188,SINGUR,3,PALLABI ROY,Bahujan Samaj Party,68,24,92
S25,188,SINGUR,3,BARUN KUMAR MALIK,Indian National Congress,84,37,121
S25,188,SINGUR,3,BECHARAM MANNA,All India Trinamool Congress,9014,3637,12651
S25,188,SINGUR,3,KASHINATH SHAW,Aam Janata Unnayan party,94,38,132
S25,188,SINGUR,3,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),26,8,34
S25,188,SINGUR,3,ARUP DAS,Independent,19,10,29
S25,188,SINGUR,3,SANJOY SAIKH,Independent,36,21,57
S25,188,SINGUR,3,NOTA,None of the Above,139,96,235
S25,188,SINGUR,4,ARUP KUMAR DAS,Bharatiya Janata Party,15616,5758,21374
S25,188,SINGUR,4,DEBASHIS CHATTERJEE,Communist Party of India (Marxist),1582,425,2007
S25,188,SINGUR,4,PALLABI ROY,Bahujan Samaj Party,92,35,127
S25,188,SINGUR,4,BARUN KUMAR MALIK,Indian National Congress,121,42,163
S25,188,SINGUR,4,BECHARAM MANNA,All India Trinamool Congress,12651,3799,16450
S25,188,SINGUR,4,KASHINATH SHAW,Aam Janata Unnayan party,132,51,183
S25,188,SINGUR,4,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),34,14,48
S25,188,SINGUR,4,ARUP DAS,Independent,29,8,37
S25,188,SINGUR,4,SANJOY SAIKH,Independent,57,20,77
S25,188,SINGUR,4,NOTA,None of the Above,235,79,314
