State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,189,CHANDANNAGAR,1,Indranil Sen,All India Trinamool Congress,0,3792,3792
S25,189,CHANDANNAGAR,1,Deepanjan Kumar Guha,Bharatiya Janata Party,0,4714,4714
S25,189,CHANDANNAGAR,1,Monish Panda,Communist Party of India (Marxist),0,1392,1392
S25,189,CHANDANNAGAR,1,Ratan Kumar Golder,Indian National Congress,0,58,58
S25,189,CHANDANNAGAR,1,Ashish Chandra Gupta,Hindu Samaj Party,0,4,4
S25,189,CHANDANNAGAR,1,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),0,8,8
S25,189,CHANDANNAGAR,1,Rohit Sarkar,Bharatiya National Janata Dal,0,7,7
S25,189,CHANDANNAGAR,1,Sahariar Mullick,Aam Janata Unnayan party,0,8,8
S25,189,CHANDANNAGAR,1,Praloy Mukherjee,Independent,0,13,13
S25,189,CHANDANNAGAR,1,SANJOY MATABBAR,Independent,0,28,28
S25,189,CHANDANNAGAR,1,Surajit Majumdar,Independent,0,26,26
S25,189,CHANDANNAGAR,1,NOTA,None of the Above,0,123,123
S25,189,CHANDANNAGAR,2,Indranil Sen,All India Trinamool Congress,3792,3664,7456
S25,189,CHANDANNAGAR,2,Deepanjan Kumar Guha,Bharatiya Janata Party,4714,4492,9206
S25,189,CHANDANNAGAR,2,Monish Panda,Communist Party of India (Marxist),1392,1394,2786
S25,189,CHANDANNAGAR,2,Ratan Kumar Golder,Indian National Congress,58,66,124
S25,189,CHANDANNAGAR,2,Ashish Chandra Gupta,Hindu Samaj Party,4,7,11
S25,189,CHANDANNAGAR,2,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),8,6,14
S25,189,CHANDANNAGAR,2,Rohit Sarkar,Bharatiya National Janata Dal,7,12,19
S25,189,CHANDANNAGAR,2,Sahariar Mullick,Aam Janata Unnayan party,8,7,15
S25,189,CHANDANNAGAR,2,Praloy Mukherjee,Independent,13,15,28
S25,189,CHANDANNAGAR,2,SANJOY MATABBAR,Independent,28,29,57
S25,189,CHANDANNAGAR,2,Surajit Majumdar,Independent,26,20,46
S25,189,CHANDANNAGAR,2,NOTA,None of the Above,123,100,223
S25,189,CHANDANNAGAR,3,Indranil Sen,All India Trinamool Congress,7456,3754,11210
S25,189,CHANDANNAGAR,3,Deepanjan Kumar Guha,Bharatiya Janata Party,9206,4726,13932
S25,189,CHANDANNAGAR,3,Monish Panda,Communist Party of India (Marxist),2786,1767,4553
S25,189,CHANDANNAGAR,3,Ratan Kumar Golder,Indian National Congress,124,85,209
S25,189,CHANDANNAGAR,3,Ashish Chandra Gupta,Hindu Samaj Party,11,16,27
S25,189,CHANDANNAGAR,3,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),14,22,36
S25,189,CHANDANNAGAR,3,Rohit Sarkar,Bharatiya National Janata Dal,19,8,27
S25,189,CHANDANNAGAR,3,Sahariar Mullick,Aam Janata Unnayan party,15,11,26
S25,189,CHANDANNAGAR,3,Praloy Mukherjee,Independent,28,8,36
S25,189,CHANDANNAGAR,3,SANJOY MATABBAR,Independent,57,20,77
S25,189,CHANDANNAGAR,3,Surajit Majumdar,Independent,46,20,66
S25,189,CHANDANNAGAR,3,NOTA,None of the Above,223,94,317
S25,189,CHANDANNAGAR,4,Indranil Sen,All India Trinamool Congress,11210,3014,14224
S25,189,CHANDANNAGAR,4,Deepanjan Kumar Guha,Bharatiya Janata Party,13932,4452,18384
S25,189,CHANDANNAGAR,4,Monish Panda,Communist Party of India (Marxist),4553,789,5342
S25,189,CHANDANNAGAR,4,Ratan Kumar Golder,Indian National Congress,209,44,253
S25,189,CHANDANNAGAR,4,Ashish Chandra Gupta,Hindu Samaj Party,27,7,34
S25,189,CHANDANNAGAR,4,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),36,7,43
S25,189,CHANDANNAGAR,4,Rohit Sarkar,Bharatiya National Janata Dal,27,6,33
S25,189,CHANDANNAGAR,4,Sahariar Mullick,Aam Janata Unnayan party,26,12,38
S25,189,CHANDANNAGAR,4,Praloy Mukherjee,Independent,36,13,49
S25,189,CHANDANNAGAR,4,SANJOY MATABBAR,Independent,77,41,118
S25,189,CHANDANNAGAR,4,Surajit Majumdar,Independent,66,52,118
S25,189,CHANDANNAGAR,4,NOTA,None of the Above,317,99,416
S25,189,CHANDANNAGAR,5,Indranil Sen,All India Trinamool Congress,14224,4139,18363
S25,189,CHANDANNAGAR,5,Deepanjan Kumar Guha,Bharatiya Janata Party,18384,4361,22745
S25,189,CHANDANNAGAR,5,Monish Panda,Communist Party of India (Marxist),5342,1549,6891
S25,189,CHANDANNAGAR,5,Ratan Kumar Golder,Indian National Congress,253,58,311
S25,189,CHANDANNAGAR,5,Ashish Chandra Gupta,Hindu Samaj Party,34,7,41
S25,189,CHANDANNAGAR,5,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),43,13,56
S25,189,CHANDANNAGAR,5,Rohit Sarkar,Bharatiya National Janata Dal,33,6,39
S25,189,CHANDANNAGAR,5,Sahariar Mullick,Aam Janata Unnayan party,38,9,47
S25,189,CHANDANNAGAR,5,Praloy Mukherjee,Independent,49,16,65
S25,189,CHANDANNAGAR,5,SANJOY MATABBAR,Independent,118,18,136
S25,189,CHANDANNAGAR,5,Surajit Majumdar,Independent,118,25,143
S25,189,CHANDANNAGAR,5,NOTA,None of the Above,416,124,540
S25,189,CHANDANNAGAR,6,Indranil Sen,All India Trinamool Congress,18363,3654,22017
S25,189,CHANDANNAGAR,6,Deepanjan Kumar Guha,Bharatiya Janata Party,22745,5425,28170
S25,189,CHANDANNAGAR,6,Monish Panda,Communist Party of India (Marxist),6891,1109,8000
S25,189,CHANDANNAGAR,6,Ratan Kumar Golder,Indian National Congress,311,53,364
S25,189,CHANDANNAGAR,6,Ashish Chandra Gupta,Hindu Samaj Party,41,10,51
S25,189,CHANDANNAGAR,6,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),56,10,66
S25,189,CHANDANNAGAR,6,Rohit Sarkar,Bharatiya National Janata Dal,39,6,45
S25,189,CHANDANNAGAR,6,Sahariar Mullick,Aam Janata Unnayan party,47,11,58
S25,189,CHANDANNAGAR,6,Praloy Mukherjee,Independent,65,15,80
S25,189,CHANDANNAGAR,6,SANJOY MATABBAR,Independent,136,26,162
S25,189,CHANDANNAGAR,6,Surajit Majumdar,Independent,143,32,175
S25,189,CHANDANNAGAR,6,NOTA,None of the Above,540,110,650
S25,189,CHANDANNAGAR,7,Indranil Sen,All India Trinamool Congress,22017,3202,25219
S25,189,CHANDANNAGAR,7,Deepanjan Kumar Guha,Bharatiya Janata Party,28170,3688,31858
S25,189,CHANDANNAGAR,7,Monish Panda,Communist Party of India (Marxist),8000,1442,9442
