State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,190,CHUNCHURA,1,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,0,4778,4778
S25,190,CHUNCHURA,1,BRIJ NANDAN PRASAD,Bahujan Samaj Party,0,27,27
S25,190,CHUNCHURA,1,MAINUL HAQUE,Indian National Congress,0,83,83
S25,190,CHUNCHURA,1,SUNIL KUMAR SAHA,All India Forward Bloc,0,263,263
S25,190,CHUNCHURA,1,SUBIR NAG,Bharatiya Janata Party,0,5099,5099
S25,190,CHUNCHURA,1,AJANTA SARKAR,Socialist Party (India),0,32,32
S25,190,CHUNCHURA,1,JESMIN BEGAM,Bharatiya National Janata Dal,0,53,53
S25,190,CHUNCHURA,1,DIPAK PATRA,Independent,0,13,13
S25,190,CHUNCHURA,1,BISHNUPADA BISWAS,Independent,0,51,51
S25,190,CHUNCHURA,1,SUMAN SARKAR,Independent,0,36,36
S25,190,CHUNCHURA,1,NOTA,None of the Above,0,154,154
S25,190,CHUNCHURA,2,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,4778,4464,9242
S25,190,CHUNCHURA,2,BRIJ NANDAN PRASAD,Bahujan Samaj Party,27,32,59
S25,190,CHUNCHURA,2,MAINUL HAQUE,Indian National Congress,83,63,146
S25,190,CHUNCHURA,2,SUNIL KUMAR SAHA,All India Forward Bloc,263,217,480
S25,190,CHUNCHURA,2,SUBIR NAG,Bharatiya Janata Party,5099,4833,9932
S25,190,CHUNCHURA,2,AJANTA SARKAR,Socialist Party (India),32,37,69
S25,190,CHUNCHURA,2,JESMIN BEGAM,Bharatiya National Janata Dal,53,58,111
S25,190,CHUNCHURA,2,DIPAK PATRA,Independent,13,11,24
S25,190,CHUNCHURA,2,BISHNUPADA BISWAS,Independent,51,33,84
S25,190,CHUNCHURA,2,SUMAN SARKAR,Independent,36,23,59
S25,190,CHUNCHURA,2,NOTA,None of the Above,154,121,275
S25,190,CHUNCHURA,3,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,9242,4592,13834
S25,190,CHUNCHURA,3,BRIJ NANDAN PRASAD,Bahujan Samaj Party,59,46,105
S25,190,CHUNCHURA,3,MAINUL HAQUE,Indian National Congress,146,141,287
S25,190,CHUNCHURA,3,SUNIL KUMAR SAHA,All India Forward Bloc,480,241,721
S25,190,CHUNCHURA,3,SUBIR NAG,Bharatiya Janata Party,9932,5833,15765
S25,190,CHUNCHURA,3,AJANTA SARKAR,Socialist Party (India),69,31,100
S25,190,CHUNCHURA,3,JESMIN BEGAM,Bharatiya National Janata Dal,111,40,151
S25,190,CHUNCHURA,3,DIPAK PATRA,Independent,24,11,35
S25,190,CHUNCHURA,3,BISHNUPADA BISWAS,Independent,84,34,118
S25,190,CHUNCHURA,3,SUMAN SARKAR,Independent,59,24,83
S25,190,CHUNCHURA,3,NOTA,None of the Above,275,137,412
S25,190,CHUNCHURA,4,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,13834,3330,17164
S25,190,CHUNCHURA,4,BRIJ NANDAN PRASAD,Bahujan Samaj Party,105,47,152
S25,190,CHUNCHURA,4,MAINUL HAQUE,Indian National Congress,287,105,392
S25,190,CHUNCHURA,4,SUNIL KUMAR SAHA,All India Forward Bloc,721,606,1327
S25,190,CHUNCHURA,4,SUBIR NAG,Bharatiya Janata Party,15765,5237,21002
S25,190,CHUNCHURA,4,AJANTA SARKAR,Socialist Party (India),100,21,121
S25,190,CHUNCHURA,4,JESMIN BEGAM,Bharatiya National Janata Dal,151,19,170
S25,190,CHUNCHURA,4,DIPAK PATRA,Independent,35,11,46
S25,190,CHUNCHURA,4,BISHNUPADA BISWAS,Independent,118,21,139
S25,190,CHUNCHURA,4,SUMAN SARKAR,Independent,83,17,100
S25,190,CHUNCHURA,4,NOTA,None of the Above,412,113,525
S25,190,CHUNCHURA,5,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,17164,3502,20666
S25,190,CHUNCHURA,5,BRIJ NANDAN PRASAD,Bahujan Samaj Party,152,33,185
S25,190,CHUNCHURA,5,MAINUL HAQUE,Indian National Congress,392,70,462
S25,190,CHUNCHURA,5,SUNIL KUMAR SAHA,All India Forward Bloc,1327,261,1588
