State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,194,CHANDITALA,1,ABU ABBAS UDDIN SK.,Indian National Congress,0,152,152
S25,194,CHANDITALA,1,ASIF ALI,Communist Party of India (Marxist),0,908,908
S25,194,CHANDITALA,1,DEBASISH MUKHERJEE,Bharatiya Janata Party,0,4898,4898
S25,194,CHANDITALA,1,SWATI KHANDOKER,All India Trinamool Congress,0,3680,3680
S25,194,CHANDITALA,1,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,0,36,36
S25,194,CHANDITALA,1,DEBASHISH MUKHERJEE,Independent,0,36,36
S25,194,CHANDITALA,1,SUMIT MUKHERJEE,Independent,0,37,37
S25,194,CHANDITALA,1,SEKH FIROJ,Independent,0,16,16
S25,194,CHANDITALA,1,NOTA,None of the Above,0,61,61
S25,194,CHANDITALA,2,ABU ABBAS UDDIN SK.,Indian National Congress,152,63,215
S25,194,CHANDITALA,2,ASIF ALI,Communist Party of India (Marxist),908,527,1435
S25,194,CHANDITALA,2,DEBASISH MUKHERJEE,Bharatiya Janata Party,4898,4447,9345
S25,194,CHANDITALA,2,SWATI KHANDOKER,All India Trinamool Congress,3680,5085,8765
S25,194,CHANDITALA,2,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,36,34,70
S25,194,CHANDITALA,2,DEBASHISH MUKHERJEE,Independent,36,63,99
S25,194,CHANDITALA,2,SUMIT MUKHERJEE,Independent,37,42,79
S25,194,CHANDITALA,2,SEKH FIROJ,Independent,16,22,38
S25,194,CHANDITALA,2,NOTA,None of the Above,61,57,118
S25,194,CHANDITALA,3,ABU ABBAS UDDIN SK.,Indian National Congress,215,70,285
S25,194,CHANDITALA,3,ASIF ALI,Communist Party of India (Marxist),1435,506,1941
S25,194,CHANDITALA,3,DEBASISH MUKHERJEE,Bharatiya Janata Party,9345,5855,15200
S25,194,CHANDITALA,3,SWATI KHANDOKER,All India Trinamool Congress,8765,3965,12730
S25,194,CHANDITALA,3,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,70,32,102
S25,194,CHANDITALA,3,DEBASHISH MUKHERJEE,Independent,99,57,156
S25,194,CHANDITALA,3,SUMIT MUKHERJEE,Independent,79,39,118
S25,194,CHANDITALA,3,SEKH FIROJ,Independent,38,18,56
S25,194,CHANDITALA,3,NOTA,None of the Above,118,87,205
S25,194,CHANDITALA,4,ABU ABBAS UDDIN SK.,Indian National Congress,285,80,365
S25,194,CHANDITALA,4,ASIF ALI,Communist Party of India (Marxist),1941,1025,2966
S25,194,CHANDITALA,4,DEBASISH MUKHERJEE,Bharatiya Janata Party,15200,3069,18269
S25,194,CHANDITALA,4,SWATI KHANDOKER,All India Trinamool Congress,12730,5396,18126
S25,194,CHANDITALA,4,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,102,38,140
S25,194,CHANDITALA,4,DEBASHISH MUKHERJEE,Independent,156,55,211
S25,194,CHANDITALA,4,SUMIT MUKHERJEE,Independent,118,34,152
S25,194,CHANDITALA,4,SEKH FIROJ,Independent,56,18,74
S25,194,CHANDITALA,4,NOTA,None of the Above,205,51,256
S25,194,CHANDITALA,5,ABU ABBAS UDDIN SK.,Indian National Congress,365,136,501
S25,194,CHANDITALA,5,ASIF ALI,Communist Party of India (Marxist),2966,1132,4098
S25,194,CHANDITALA,5,DEBASISH MUKHERJEE,Bharatiya Janata Party,18269,1329,19598
S25,194,CHANDITALA,5,SWATI KHANDOKER,All India Trinamool Congress,18126,6755,24881
S25,194,CHANDITALA,5,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,140,50,190
S25,194,CHANDITALA,5,DEBASHISH MUKHERJEE,Independent,211,79,290
S25,194,CHANDITALA,5,SUMIT MUKHERJEE,Independent,152,28,180
S25,194,CHANDITALA,5,SEKH FIROJ,Independent,74,15,89
S25,194,CHANDITALA,5,NOTA,None of the Above,256,58,314
S25,194,CHANDITALA,6,ABU ABBAS UDDIN SK.,Indian National Congress,501,74,575
S25,194,CHANDITALA,6,ASIF ALI,Communist Party of India (Marxist),4098,1348,5446
S25,194,CHANDITALA,6,DEBASISH MUKHERJEE,Bharatiya Janata Party,19598,3921,23519
S25,194,CHANDITALA,6,SWATI KHANDOKER,All India Trinamool Congress,24881,4744,29625
S25,194,CHANDITALA,6,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,190,45,235
S25,194,CHANDITALA,6,DEBASHISH MUKHERJEE,Independent,290,75,365
S25,194,CHANDITALA,6,SUMIT MUKHERJEE,Independent,180,37,217
S25,194,CHANDITALA,6,SEKH FIROJ,Independent,89,26,115
S25,194,CHANDITALA,6,NOTA,None of the Above,314,76,390
S25,194,CHANDITALA,7,ABU ABBAS UDDIN SK.,Indian National Congress,575,51,626
S25,194,CHANDITALA,7,ASIF ALI,Communist Party of India (Marxist),5446,735,6181
S25,194,CHANDITALA,7,DEBASISH MUKHERJEE,Bharatiya Janata Party,23519,5127,28646
S25,194,CHANDITALA,7,SWATI KHANDOKER,All India Trinamool Congress,29625,3811,33436
S25,194,CHANDITALA,7,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,235,42,277
S25,194,CHANDITALA,7,DEBASHISH MUKHERJEE,Independent,365,41,406
S25,194,CHANDITALA,7,SUMIT MUKHERJEE,Independent,217,33,250
S25,194,CHANDITALA,7,SEKH FIROJ,Independent,115,18,133
S25,194,CHANDITALA,7,NOTA,None of the Above,390,58,448
S25,194,CHANDITALA,8,ABU ABBAS UDDIN SK.,Indian National Congress,626,107,733
S25,194,CHANDITALA,8,ASIF ALI,Communist Party of India (Marxist),6181,1367,7548
S25,194,CHANDITALA,8,DEBASISH MUKHERJEE,Bharatiya Janata Party,28646,4161,32807
S25,194,CHANDITALA,8,SWATI KHANDOKER,All India Trinamool Congress,33436,4531,37967
S25,194,CHANDITALA,8,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,277,38,315
S25,194,CHANDITALA,8,DEBASHISH MUKHERJEE,Independent,406,71,477
S25,194,CHANDITALA,8,SUMIT MUKHERJEE,Independent,250,47,297
S25,194,CHANDITALA,8,SEKH FIROJ,Independent,133,30,163
S25,194,CHANDITALA,8,NOTA,None of the Above,448,71,519
S25,194,CHANDITALA,9,ABU ABBAS UDDIN SK.,Indian National Congress,733,128,861
S25,194,CHANDITALA,9,ASIF ALI,Communist Party of India (Marxist),7548,1564,9112
S25,194,CHANDITALA,9,DEBASISH MUKHERJEE,Bharatiya Janata Party,32807,3064,35871
S25,194,CHANDITALA,9,SWATI KHANDOKER,All India Trinamool Congress,37967,4932,42899
S25,194,CHANDITALA,9,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,315,37,352
S25,194,CHANDITALA,9,DEBASHISH MUKHERJEE,Independent,477,80,557
S25,194,CHANDITALA,9,SUMIT MUKHERJEE,Independent,297,30,327
S25,194,CHANDITALA,9,SEKH FIROJ,Independent,163,22,185
S25,194,CHANDITALA,9,NOTA,None of the Above,519,53,572
S25,194,CHANDITALA,10,ABU ABBAS UDDIN SK.,Indian National Congress,861,116,977
S25,194,CHANDITALA,10,ASIF ALI,Communist Party of India (Marxist),9112,1221,10333
S25,194,CHANDITALA,10,DEBASISH MUKHERJEE,Bharatiya Janata Party,35871,5107,40978
S25,194,CHANDITALA,10,SWATI KHANDOKER,All India Trinamool Congress,42899,4136,47035
S25,194,CHANDITALA,10,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,352,40,392
S25,194,CHANDITALA,10,DEBASHISH MUKHERJEE,Independent,557,60,617
S25,194,CHANDITALA,10,SUMIT MUKHERJEE,Independent,327,46,373
S25,194,CHANDITALA,10,SEKH FIROJ,Independent,185,24,209
S25,194,CHANDITALA,10,NOTA,None of the Above,572,88,660
S25,194,CHANDITALA,11,ABU ABBAS UDDIN SK.,Indian National Congress,977,161,1138
S25,194,CHANDITALA,11,ASIF ALI,Communist Party of India (Marxist),10333,780,11113
S25,194,CHANDITALA,11,DEBASISH MUKHERJEE,Bharatiya Janata Party,40978,3327,44305
S25,194,CHANDITALA,11,SWATI KHANDOKER,All India Trinamool Congress,47035,3963,50998
S25,194,CHANDITALA,11,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,392,26,418
S25,194,CHANDITALA,11,DEBASHISH MUKHERJEE,Independent,617,50,667
S25,194,CHANDITALA,11,SUMIT MUKHERJEE,Independent,373,33,406
S25,194,CHANDITALA,11,SEKH FIROJ,Independent,209,15,224
S25,194,CHANDITALA,11,NOTA,None of the Above,660,52,712
S25,194,CHANDITALA,12,ABU ABBAS UDDIN SK.,Indian National Congress,1138,125,1263
S25,194,CHANDITALA,12,ASIF ALI,Communist Party of India (Marxist),11113,962,12075
S25,194,CHANDITALA,12,DEBASISH MUKHERJEE,Bharatiya Janata Party,44305,3370,47675
S25,194,CHANDITALA,12,SWATI KHANDOKER,All India Trinamool Congress,50998,4814,55812
S25,194,CHANDITALA,12,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,418,35,453
S25,194,CHANDITALA,12,DEBASHISH MUKHERJEE,Independent,667,42,709
S25,194,CHANDITALA,12,SUMIT MUKHERJEE,Independent,406,41,447
S25,194,CHANDITALA,12,SEKH FIROJ,Independent,224,17,241
S25,194,CHANDITALA,12,NOTA,None of the Above,712,54,766
S25,194,CHANDITALA,13,ABU ABBAS UDDIN SK.,Indian National Congress,1263,95,1358
S25,194,CHANDITALA,13,ASIF ALI,Communist Party of India (Marxist),12075,727,12802
S25,194,CHANDITALA,13,DEBASISH MUKHERJEE,Bharatiya Janata Party,47675,3462,51137
S25,194,CHANDITALA,13,SWATI KHANDOKER,All India Trinamool Congress,55812,5013,60825
S25,194,CHANDITALA,13,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,453,35,488
S25,194,CHANDITALA,13,DEBASHISH MUKHERJEE,Independent,709,75,784
S25,194,CHANDITALA,13,SUMIT MUKHERJEE,Independent,447,36,483
S25,194,CHANDITALA,13,SEKH FIROJ,Independent,241,22,263
S25,194,CHANDITALA,13,NOTA,None of the Above,766,54,820
S25,194,CHANDITALA,14,ABU ABBAS UDDIN SK.,Indian National Congress,1358,134,1492
S25,194,CHANDITALA,14,ASIF ALI,Communist Party of India (Marxist),12802,774,13576
S25,194,CHANDITALA,14,DEBASISH MUKHERJEE,Bharatiya Janata Party,51137,2024,53161
S25,194,CHANDITALA,14,SWATI KHANDOKER,All India Trinamool Congress,60825,6155,66980
S25,194,CHANDITALA,14,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,488,41,529
