State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,195,JANGIPARA,1,PROSENJIT BAG,Bharatiya Janata Party,0,4618,4618
S25,195,JANGIPARA,1,SUBHASIS DUTTA,Indian National Congress,0,58,58
S25,195,JANGIPARA,1,SUDIPTA SARKAR,Communist Party of India (Marxist),0,383,383
S25,195,JANGIPARA,1,SNEHASIS CHAKRABORTY,All India Trinamool Congress,0,4504,4504
S25,195,JANGIPARA,1,A.T.M. MODABBAR HOSSAIN,Aam Janata Unnayan party,0,22,22
S25,195,JANGIPARA,1,SEKH ABDUL RAHIM,Rashtriya Secular Majlis Party,0,9,9
S25,195,JANGIPARA,1,KARTICK CHANDRA PAL,Independent,0,11,11
S25,195,JANGIPARA,1,TAPAS PAUL,Independent,0,59,59
S25,195,JANGIPARA,1,PRITAM DUTTA,Independent,0,21,21
S25,195,JANGIPARA,1,SANJIB DHARA,Independent,0,10,10
S25,195,JANGIPARA,1,NOTA,None of the Above,0,92,92
S25,195,JANGIPARA,2,PROSENJIT BAG,Bharatiya Janata Party,4618,5324,9942
S25,195,JANGIPARA,2,SUBHASIS DUTTA,Indian National Congress,58,96,154
S25,195,JANGIPARA,2,SUDIPTA SARKAR,Communist Party of India (Marxist),383,710,1093
S25,195,JANGIPARA,2,SNEHASIS CHAKRABORTY,All India Trinamool Congress,4504,4540,9044
S25,195,JANGIPARA,2,A.T.M. MODABBAR HOSSAIN,Aam Janata Unnayan party,22,26,48
S25,195,JANGIPARA,2,SEKH ABDUL RAHIM,Rashtriya Secular Majlis Party,9,27,36
S25,195,JANGIPARA,2,KARTICK CHANDRA PAL,Independent,11,14,25
S25,195,JANGIPARA,2,TAPAS PAUL,Independent,59,67,126
S25,195,JANGIPARA,2,PRITAM DUTTA,Independent,21,28,49
S25,195,JANGIPARA,2,SANJIB DHARA,Independent,10,11,21
S25,195,JANGIPARA,2,NOTA,None of the Above,92,130,222
S25,195,JANGIPARA,3,PROSENJIT BAG,Bharatiya Janata Party,9942,5765,15707
S25,195,JANGIPARA,3,SUBHASIS DUTTA,Indian National Congress,154,56,210
S25,195,JANGIPARA,3,SUDIPTA SARKAR,Communist Party of India (Marxist),1093,484,1577
S25,195,JANGIPARA,3,SNEHASIS CHAKRABORTY,All India Trinamool Congress,9044,3748,12792
S25,195,JANGIPARA,3,A.T.M. MODABBAR HOSSAIN,Aam Janata Unnayan party,48,28,76
S25,195,JANGIPARA,3,SEKH ABDUL RAHIM,Rashtriya Secular Majlis Party,36,18,54
