State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,196,HARIPAL,1,AZAD SAIF,Indian National Congress,0,69,69
S25,196,HARIPAL,1,KARABI MANNA,All India Trinamool Congress,0,3924,3924
S25,196,HARIPAL,1,MADHUMITA GHOSH,Bharatiya Janata Party,0,4023,4023
S25,196,HARIPAL,1,SUBIR KUMAR ROY,Bahujan Samaj Party,0,31,31
S25,196,HARIPAL,1,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),0,14,14
S25,196,HARIPAL,1,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,0,353,353
S25,196,HARIPAL,1,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,0,18,18
S25,196,HARIPAL,1,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,0,16,16
S25,196,HARIPAL,1,SUROJ PHUSTI,Independent,0,49,49
S25,196,HARIPAL,1,SK MOJAFFAR,Independent,0,42,42
S25,196,HARIPAL,1,SEKH MOJAPHAR ALI,Independent,0,75,75
S25,196,HARIPAL,1,NOTA,None of the Above,0,55,55
S25,196,HARIPAL,2,AZAD SAIF,Indian National Congress,69,66,135
S25,196,HARIPAL,2,KARABI MANNA,All India Trinamool Congress,3924,4706,8630
S25,196,HARIPAL,2,MADHUMITA GHOSH,Bharatiya Janata Party,4023,3491,7514
S25,196,HARIPAL,2,SUBIR KUMAR ROY,Bahujan Samaj Party,31,36,67
S25,196,HARIPAL,2,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),14,17,31
S25,196,HARIPAL,2,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,353,773,1126
S25,196,HARIPAL,2,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,18,18,36
S25,196,HARIPAL,2,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,16,24,40
S25,196,HARIPAL,2,SUROJ PHUSTI,Independent,49,32,81
S25,196,HARIPAL,2,SK MOJAFFAR,Independent,42,51,93
S25,196,HARIPAL,2,SEKH MOJAPHAR ALI,Independent,75,60,135
S25,196,HARIPAL,2,NOTA,None of the Above,55,57,112
S25,196,HARIPAL,3,AZAD SAIF,Indian National Congress,135,75,210
S25,196,HARIPAL,3,KARABI MANNA,All India Trinamool Congress,8630,4804,13434
S25,196,HARIPAL,3,MADHUMITA GHOSH,Bharatiya Janata Party,7514,5377,12891
S25,196,HARIPAL,3,SUBIR KUMAR ROY,Bahujan Samaj Party,67,41,108
S25,196,HARIPAL,3,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),31,22,53
S25,196,HARIPAL,3,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,1126,812,1938
S25,196,HARIPAL,3,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,36,21,57
S25,196,HARIPAL,3,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,40,29,69
S25,196,HARIPAL,3,SUROJ PHUSTI,Independent,81,61,142
S25,196,HARIPAL,3,SK MOJAFFAR,Independent,93,56,149
S25,196,HARIPAL,3,SEKH MOJAPHAR ALI,Independent,135,69,204
S25,196,HARIPAL,3,NOTA,None of the Above,112,71,183
S25,196,HARIPAL,4,AZAD SAIF,Indian National Congress,210,49,259
S25,196,HARIPAL,4,KARABI MANNA,All India Trinamool Congress,13434,4841,18275
S25,196,HARIPAL,4,MADHUMITA GHOSH,Bharatiya Janata Party,12891,3325,16216
S25,196,HARIPAL,4,SUBIR KUMAR ROY,Bahujan Samaj Party,108,24,132
S25,196,HARIPAL,4,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),53,14,67
S25,196,HARIPAL,4,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,1938,592,2530
S25,196,HARIPAL,4,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,57,13,70
S25,196,HARIPAL,4,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,69,20,89
S25,196,HARIPAL,4,SUROJ PHUSTI,Independent,142,23,165
S25,196,HARIPAL,4,SK MOJAFFAR,Independent,149,52,201
S25,196,HARIPAL,4,SEKH MOJAPHAR ALI,Independent,204,57,261
S25,196,HARIPAL,4,NOTA,None of the Above,183,61,244
S25,196,HARIPAL,5,AZAD SAIF,Indian National Congress,259,71,330
S25,196,HARIPAL,5,KARABI MANNA,All India Trinamool Congress,18275,4267,22542
S25,196,HARIPAL,5,MADHUMITA GHOSH,Bharatiya Janata Party,16216,5016,21232
S25,196,HARIPAL,5,SUBIR KUMAR ROY,Bahujan Samaj Party,132,34,166
S25,196,HARIPAL,5,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),67,21,88
S25,196,HARIPAL,5,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,2530,817,3347
S25,196,HARIPAL,5,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,70,23,93
S25,196,HARIPAL,5,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,89,32,121
S25,196,HARIPAL,5,SUROJ PHUSTI,Independent,165,56,221
S25,196,HARIPAL,5,SK MOJAFFAR,Independent,201,60,261
