State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,199,PURSURAH,1,PARTHA HAZARI,All India Trinamool Congress,0,6666,6666
S25,199,PURSURAH,1,BIMAN GHOSH,Bharatiya Janata Party,0,8320,8320
S25,199,PURSURAH,1,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),0,608,608
S25,199,PURSURAH,1,HABIBAR RAHAMAN SK,Indian National Congress,0,65,65
S25,199,PURSURAH,1,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,0,23,23
S25,199,PURSURAH,1,SK SAKIL ALI,Aam Janata Unnayan party,0,21,21
S25,199,PURSURAH,1,TANMOY GHOSH,Independent,0,48,48
S25,199,PURSURAH,1,HARAPRASAD BAG,Independent,0,97,97
S25,199,PURSURAH,1,NOTA,None of the Above,0,206,206
S25,199,PURSURAH,2,PARTHA HAZARI,All India Trinamool Congress,6666,6675,13341
S25,199,PURSURAH,2,BIMAN GHOSH,Bharatiya Janata Party,8320,8874,17194
S25,199,PURSURAH,2,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),608,909,1517
S25,199,PURSURAH,2,HABIBAR RAHAMAN SK,Indian National Congress,65,60,125
S25,199,PURSURAH,2,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,23,33,56
S25,199,PURSURAH,2,SK SAKIL ALI,Aam Janata Unnayan party,21,24,45
S25,199,PURSURAH,2,TANMOY GHOSH,Independent,48,65,113
S25,199,PURSURAH,2,HARAPRASAD BAG,Independent,97,126,223
S25,199,PURSURAH,2,NOTA,None of the Above,206,161,367
S25,199,PURSURAH,3,PARTHA HAZARI,All India Trinamool Congress,13341,6988,20329
S25,199,PURSURAH,3,BIMAN GHOSH,Bharatiya Janata Party,17194,8562,25756
S25,199,PURSURAH,3,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),1517,731,2248
S25,199,PURSURAH,3,HABIBAR RAHAMAN SK,Indian National Congress,125,96,221
S25,199,PURSURAH,3,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,56,75,131
S25,199,PURSURAH,3,SK SAKIL ALI,Aam Janata Unnayan party,45,37,82
S25,199,PURSURAH,3,TANMOY GHOSH,Independent,113,82,195
S25,199,PURSURAH,3,HARAPRASAD BAG,Independent,223,120,343
S25,199,PURSURAH,3,NOTA,None of the Above,367,228,595
S25,199,PURSURAH,4,PARTHA HAZARI,All India Trinamool Congress,20329,5666,25995
S25,199,PURSURAH,4,BIMAN GHOSH,Bharatiya Janata Party,25756,9635,35391
S25,199,PURSURAH,4,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),2248,784,3032
S25,199,PURSURAH,4,HABIBAR RAHAMAN SK,Indian National Congress,221,82,303
S25,199,PURSURAH,4,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,131,66,197
S25,199,PURSURAH,4,SK SAKIL ALI,Aam Janata Unnayan party,82,34,116
S25,199,PURSURAH,4,TANMOY GHOSH,Independent,195,90,285
S25,199,PURSURAH,4,HARAPRASAD BAG,Independent,343,152,495
S25,199,PURSURAH,4,NOTA,None of the Above,595,190,785
S25,199,PURSURAH,5,PARTHA HAZARI,All India Trinamool Congress,25995,5389,31384
S25,199,PURSURAH,5,BIMAN GHOSH,Bharatiya Janata Party,35391,9976,45367
S25,199,PURSURAH,5,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),3032,476,3508
S25,199,PURSURAH,5,HABIBAR RAHAMAN SK,Indian National Congress,303,70,373
S25,199,PURSURAH,5,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,197,27,224
S25,199,PURSURAH,5,SK SAKIL ALI,Aam Janata Unnayan party,116,10,126
S25,199,PURSURAH,5,TANMOY GHOSH,Independent,285,56,341
S25,199,PURSURAH,5,HARAPRASAD BAG,Independent,495,139,634
S25,199,PURSURAH,5,NOTA,None of the Above,785,153,938
S25,199,PURSURAH,6,PARTHA HAZARI,All India Trinamool Congress,31384,5214,36598
S25,199,PURSURAH,6,BIMAN GHOSH,Bharatiya Janata Party,45367,11206,56573
S25,199,PURSURAH,6,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),3508,561,4069
S25,199,PURSURAH,6,HABIBAR RAHAMAN SK,Indian National Congress,373,85,458
S25,199,PURSURAH,6,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,224,19,243
S25,199,PURSURAH,6,SK SAKIL ALI,Aam Janata Unnayan party,126,28,154
S25,199,PURSURAH,6,TANMOY GHOSH,Independent,341,51,392
S25,199,PURSURAH,6,HARAPRASAD BAG,Independent,634,152,786
S25,199,PURSURAH,6,NOTA,None of the Above,938,197,1135
S25,199,PURSURAH,7,PARTHA HAZARI,All India Trinamool Congress,36598,5635,42233
S25,199,PURSURAH,7,BIMAN GHOSH,Bharatiya Janata Party,56573,9850,66423
S25,199,PURSURAH,7,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),4069,576,4645
S25,199,PURSURAH,7,HABIBAR RAHAMAN SK,Indian National Congress,458,72,530
S25,199,PURSURAH,7,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,243,66,309
S25,199,PURSURAH,7,SK SAKIL ALI,Aam Janata Unnayan party,154,27,181
S25,199,PURSURAH,7,TANMOY GHOSH,Independent,392,46,438
S25,199,PURSURAH,7,HARAPRASAD BAG,Independent,786,146,932
S25,199,PURSURAH,7,NOTA,None of the Above,1135,156,1291
S25,199,PURSURAH,8,PARTHA HAZARI,All India Trinamool Congress,42233,5922,48155
S25,199,PURSURAH,8,BIMAN GHOSH,Bharatiya Janata Party,66423,9267,75690
S25,199,PURSURAH,8,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),4645,534,5179
S25,199,PURSURAH,8,HABIBAR RAHAMAN SK,Indian National Congress,530,69,599
S25,199,PURSURAH,8,SUBHENDU BHATTACHARJEE,Rashtriya Secular Majlis Party,309,46,355
S25,199,PURSURAH,8,SK SAKIL ALI,Aam Janata Unnayan party,181,18,199
S25,199,PURSURAH,8,TANMOY GHOSH,Independent,438,51,489
S25,199,PURSURAH,8,HARAPRASAD BAG,Independent,932,164,1096
S25,199,PURSURAH,8,NOTA,None of the Above,1291,170,1461
S25,199,PURSURAH,9,PARTHA HAZARI,All India Trinamool Congress,48155,6383,54538
S25,199,PURSURAH,9,BIMAN GHOSH,Bharatiya Janata Party,75690,8483,84173
S25,199,PURSURAH,9,SANDIP KUMAR SAMANTA,Communist Party of India (Marxist),5179,774,5953
S25,199,PURSURAH,9,HABIBAR RAHAMAN SK,Indian National Congress,599,69,668
