State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,201,GOGHAT,1,DR. NIRMAL MAJI,All India Trinamool Congress,0,4770,4770
S25,201,GOGHAT,1,PRASANTA DIGAR,Bharatiya Janata Party,0,6054,6054
S25,201,GOGHAT,1,MUKTARAM DHAWREY,All India Forward Bloc,0,616,616
S25,201,GOGHAT,1,SAMIR ROY,Bahujan Samaj Party,0,63,63
S25,201,GOGHAT,1,HARADHAN SANTRA,Indian National Congress,0,169,169
S25,201,GOGHAT,1,NOTA,None of the Above,0,129,129
S25,201,GOGHAT,2,DR. NIRMAL MAJI,All India Trinamool Congress,4770,2968,7738
S25,201,GOGHAT,2,PRASANTA DIGAR,Bharatiya Janata Party,6054,6985,13039
S25,201,GOGHAT,2,MUKTARAM DHAWREY,All India Forward Bloc,616,402,1018
S25,201,GOGHAT,2,SAMIR ROY,Bahujan Samaj Party,63,83,146
S25,201,GOGHAT,2,HARADHAN SANTRA,Indian National Congress,169,95,264
S25,201,GOGHAT,2,NOTA,None of the Above,129,99,228
S25,201,GOGHAT,3,DR. NIRMAL MAJI,All India Trinamool Congress,7738,3272,11010
S25,201,GOGHAT,3,PRASANTA DIGAR,Bharatiya Janata Party,13039,6667,19706
S25,201,GOGHAT,3,MUKTARAM DHAWREY,All India Forward Bloc,1018,529,1547
S25,201,GOGHAT,3,SAMIR ROY,Bahujan Samaj Party,146,68,214
S25,201,GOGHAT,3,HARADHAN SANTRA,Indian National Congress,264,121,385
S25,201,GOGHAT,3,NOTA,None of the Above,228,127,355
S25,201,GOGHAT,4,DR. NIRMAL MAJI,All India Trinamool Congress,11010,2919,13929
S25,201,GOGHAT,4,PRASANTA DIGAR,Bharatiya Janata Party,19706,7068,26774
S25,201,GOGHAT,4,MUKTARAM DHAWREY,All India Forward Bloc,1547,354,1901
S25,201,GOGHAT,4,SAMIR ROY,Bahujan Samaj Party,214,44,258
S25,201,GOGHAT,4,HARADHAN SANTRA,Indian National Congress,385,116,501
S25,201,GOGHAT,4,NOTA,None of the Above,355,111,466
S25,201,GOGHAT,5,DR. NIRMAL MAJI,All India Trinamool Congress,13929,4605,18534
S25,201,GOGHAT,5,PRASANTA DIGAR,Bharatiya Janata Party,26774,4962,31736
