State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,202,KHANAKUL,1,CHAYANA KHAN,Bahujan Samaj Party,0,125,125
S25,202,KHANAKUL,1,PALASH KUMAR ROY,All India Trinamool Congress,0,4019,4019
S25,202,KHANAKUL,1,PRADIP KAR,Indian National Congress,0,130,130
S25,202,KHANAKUL,1,SUSANTA GHOSH,Bharatiya Janata Party,0,9529,9529
S25,202,KHANAKUL,1,BIPLAB MAZUMDER,Revolutionary Socialist Party,0,86,86
S25,202,KHANAKUL,1,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,0,42,42
S25,202,KHANAKUL,1,SK SADDAM HOSSAIN,All India Secular Front,0,247,247
S25,202,KHANAKUL,1,KOUSHIK ADHIKARY,Independent,0,94,94
S25,202,KHANAKUL,1,BIKASH CHANDRA DOLUI,Independent,0,120,120
S25,202,KHANAKUL,1,NOTA,None of the Above,0,109,109
S25,202,KHANAKUL,2,CHAYANA KHAN,Bahujan Samaj Party,125,115,240
S25,202,KHANAKUL,2,PALASH KUMAR ROY,All India Trinamool Congress,4019,6192,10211
S25,202,KHANAKUL,2,PRADIP KAR,Indian National Congress,130,114,244
S25,202,KHANAKUL,2,SUSANTA GHOSH,Bharatiya Janata Party,9529,7768,17297
S25,202,KHANAKUL,2,BIPLAB MAZUMDER,Revolutionary Socialist Party,86,78,164
S25,202,KHANAKUL,2,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,42,46,88
S25,202,KHANAKUL,2,SK SADDAM HOSSAIN,All India Secular Front,247,395,642
S25,202,KHANAKUL,2,KOUSHIK ADHIKARY,Independent,94,74,168
S25,202,KHANAKUL,2,BIKASH CHANDRA DOLUI,Independent,120,170,290
S25,202,KHANAKUL,2,NOTA,None of the Above,109,140,249
S25,202,KHANAKUL,3,CHAYANA KHAN,Bahujan Samaj Party,240,71,311
S25,202,KHANAKUL,3,PALASH KUMAR ROY,All India Trinamool Congress,10211,5057,15268
S25,202,KHANAKUL,3,PRADIP KAR,Indian National Congress,244,96,340
S25,202,KHANAKUL,3,SUSANTA GHOSH,Bharatiya Janata Party,17297,8634,25931
S25,202,KHANAKUL,3,BIPLAB MAZUMDER,Revolutionary Socialist Party,164,86,250
S25,202,KHANAKUL,3,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,88,43,131
S25,202,KHANAKUL,3,SK SADDAM HOSSAIN,All India Secular Front,642,523,1165
S25,202,KHANAKUL,3,KOUSHIK ADHIKARY,Independent,168,76,244
S25,202,KHANAKUL,3,BIKASH CHANDRA DOLUI,Independent,290,101,391
S25,202,KHANAKUL,3,NOTA,None of the Above,249,91,340
S25,202,KHANAKUL,4,CHAYANA KHAN,Bahujan Samaj Party,311,71,382
S25,202,KHANAKUL,4,PALASH KUMAR ROY,All India Trinamool Congress,15268,7091,22359
S25,202,KHANAKUL,4,PRADIP KAR,Indian National Congress,340,111,451
S25,202,KHANAKUL,4,SUSANTA GHOSH,Bharatiya Janata Party,25931,6411,32342
S25,202,KHANAKUL,4,BIPLAB MAZUMDER,Revolutionary Socialist Party,250,78,328
S25,202,KHANAKUL,4,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,131,38,169
S25,202,KHANAKUL,4,SK SADDAM HOSSAIN,All India Secular Front,1165,654,1819
S25,202,KHANAKUL,4,KOUSHIK ADHIKARY,Independent,244,49,293
S25,202,KHANAKUL,4,BIKASH CHANDRA DOLUI,Independent,391,157,548
S25,202,KHANAKUL,4,NOTA,None of the Above,340,91,431
S25,202,KHANAKUL,5,CHAYANA KHAN,Bahujan Samaj Party,382,69,451
S25,202,KHANAKUL,5,PALASH KUMAR ROY,All India Trinamool Congress,22359,7639,29998
S25,202,KHANAKUL,5,PRADIP KAR,Indian National Congress,451,108,559
S25,202,KHANAKUL,5,SUSANTA GHOSH,Bharatiya Janata Party,32342,5690,38032
S25,202,KHANAKUL,5,BIPLAB MAZUMDER,Revolutionary Socialist Party,328,65,393
S25,202,KHANAKUL,5,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,169,35,204
S25,202,KHANAKUL,5,SK SADDAM HOSSAIN,All India Secular Front,1819,760,2579
S25,202,KHANAKUL,5,KOUSHIK ADHIKARY,Independent,293,55,348
S25,202,KHANAKUL,5,BIKASH CHANDRA DOLUI,Independent,548,113,661
S25,202,KHANAKUL,5,NOTA,None of the Above,431,107,538
S25,202,KHANAKUL,6,CHAYANA KHAN,Bahujan Samaj Party,451,87,538
S25,202,KHANAKUL,6,PALASH KUMAR ROY,All India Trinamool Congress,29998,6944,36942
S25,202,KHANAKUL,6,PRADIP KAR,Indian National Congress,559,137,696
S25,202,KHANAKUL,6,SUSANTA GHOSH,Bharatiya Janata Party,38032,6106,44138
S25,202,KHANAKUL,6,BIPLAB MAZUMDER,Revolutionary Socialist Party,393,125,518
S25,202,KHANAKUL,6,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,204,36,240
S25,202,KHANAKUL,6,SK SADDAM HOSSAIN,All India Secular Front,2579,720,3299
S25,202,KHANAKUL,6,KOUSHIK ADHIKARY,Independent,348,46,394
S25,202,KHANAKUL,6,BIKASH CHANDRA DOLUI,Independent,661,103,764
S25,202,KHANAKUL,6,NOTA,None of the Above,538,94,632
S25,202,KHANAKUL,7,CHAYANA KHAN,Bahujan Samaj Party,538,85,623
S25,202,KHANAKUL,7,PALASH KUMAR ROY,All India Trinamool Congress,36942,5779,42721
S25,202,KHANAKUL,7,PRADIP KAR,Indian National Congress,696,140,836
S25,202,KHANAKUL,7,SUSANTA GHOSH,Bharatiya Janata Party,44138,8081,52219
S25,202,KHANAKUL,7,BIPLAB MAZUMDER,Revolutionary Socialist Party,518,162,680
S25,202,KHANAKUL,7,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,240,35,275
S25,202,KHANAKUL,7,SK SADDAM HOSSAIN,All India Secular Front,3299,475,3774
S25,202,KHANAKUL,7,KOUSHIK ADHIKARY,Independent,394,60,454
S25,202,KHANAKUL,7,BIKASH CHANDRA DOLUI,Independent,764,98,862
S25,202,KHANAKUL,7,NOTA,None of the Above,632,109,741
S25,202,KHANAKUL,8,CHAYANA KHAN,Bahujan Samaj Party,623,99,722
S25,202,KHANAKUL,8,PALASH KUMAR ROY,All India Trinamool Congress,42721,6125,48846
S25,202,KHANAKUL,8,PRADIP KAR,Indian National Congress,836,119,955
S25,202,KHANAKUL,8,SUSANTA GHOSH,Bharatiya Janata Party,52219,7944,60163
S25,202,KHANAKUL,8,BIPLAB MAZUMDER,Revolutionary Socialist Party,680,102,782
S25,202,KHANAKUL,8,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,275,45,320
S25,202,KHANAKUL,8,SK SADDAM HOSSAIN,All India Secular Front,3774,574,4348
S25,202,KHANAKUL,8,KOUSHIK ADHIKARY,Independent,454,62,516
S25,202,KHANAKUL,8,BIKASH CHANDRA DOLUI,Independent,862,116,978
S25,202,KHANAKUL,8,NOTA,None of the Above,741,96,837
S25,202,KHANAKUL,9,CHAYANA KHAN,Bahujan Samaj Party,722,76,798
S25,202,KHANAKUL,9,PALASH KUMAR ROY,All India Trinamool Congress,48846,4070,52916
S25,202,KHANAKUL,9,PRADIP KAR,Indian National Congress,955,122,1077
S25,202,KHANAKUL,9,SUSANTA GHOSH,Bharatiya Janata Party,60163,8297,68460
S25,202,KHANAKUL,9,BIPLAB MAZUMDER,Revolutionary Socialist Party,782,98,880
S25,202,KHANAKUL,9,SK MUJIBAR RAHAMAN,Aam Janata Unnayan party,320,35,355
S25,202,KHANAKUL,9,SK SADDAM HOSSAIN,All India Secular Front,4348,207,4555
S25,202,KHANAKUL,9,KOUSHIK ADHIKARY,Independent,516,54,570
S25,202,KHANAKUL,9,BIKASH CHANDRA DOLUI,Independent,978,130,1108
S25,202,KHANAKUL,9,NOTA,None of the Above,837,122,959
S25,202,KHANAKUL,10,CHAYANA KHAN,Bahujan Samaj Party,798,94,892
S25,202,KHANAKUL,10,PALASH KUMAR ROY,All India Trinamool Congress,52916,4188,57104
S25,202,KHANAKUL,10,PRADIP KAR,Indian National Congress,1077,151,1228
S25,202,KHANAKUL,10,SUSANTA GHOSH,Bharatiya Janata Party,68460,9969,78429
S25,202,KHANAKUL,10,BIPLAB MAZUMDER,Revolutionary Socialist Party,880,112,992
