State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,205,PANSKURA_PASCHIM,1,KALYAN ROY,Indian National Congress,0,130,130
S25,205,PANSKURA_PASCHIM,1,SIRAJ KHAN,All India Trinamool Congress,0,5926,5926
S25,205,PANSKURA_PASCHIM,1,SINTU SENAPATI,Bharatiya Janata Party,0,9990,9990
S25,205,PANSKURA_PASCHIM,1,ABJAL ALI SHA,All India Secular Front,0,454,454
S25,205,PANSKURA_PASCHIM,1,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),0,51,51
S25,205,PANSKURA_PASCHIM,1,NARAYAN KINKAR MISHRA,Independent,0,88,88
S25,205,PANSKURA_PASCHIM,1,SK SIRAJUDDIN,Independent,0,86,86
S25,205,PANSKURA_PASCHIM,1,NOTA,None of the Above,0,94,94
S25,205,PANSKURA_PASCHIM,2,KALYAN ROY,Indian National Congress,130,120,250
S25,205,PANSKURA_PASCHIM,2,SIRAJ KHAN,All India Trinamool Congress,5926,5209,11135
S25,205,PANSKURA_PASCHIM,2,SINTU SENAPATI,Bharatiya Janata Party,9990,11276,21266
S25,205,PANSKURA_PASCHIM,2,ABJAL ALI SHA,All India Secular Front,454,230,684
S25,205,PANSKURA_PASCHIM,2,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),51,53,104
S25,205,PANSKURA_PASCHIM,2,NARAYAN KINKAR MISHRA,Independent,88,91,179
S25,205,PANSKURA_PASCHIM,2,SK SIRAJUDDIN,Independent,86,60,146
S25,205,PANSKURA_PASCHIM,2,NOTA,None of the Above,94,81,175
S25,205,PANSKURA_PASCHIM,3,KALYAN ROY,Indian National Congress,250,140,390
S25,205,PANSKURA_PASCHIM,3,SIRAJ KHAN,All India Trinamool Congress,11135,8111,19246
S25,205,PANSKURA_PASCHIM,3,SINTU SENAPATI,Bharatiya Janata Party,21266,9117,30383
S25,205,PANSKURA_PASCHIM,3,ABJAL ALI SHA,All India Secular Front,684,206,890
S25,205,PANSKURA_PASCHIM,3,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),104,55,159
S25,205,PANSKURA_PASCHIM,3,NARAYAN KINKAR MISHRA,Independent,179,78,257
S25,205,PANSKURA_PASCHIM,3,SK SIRAJUDDIN,Independent,146,71,217
S25,205,PANSKURA_PASCHIM,3,NOTA,None of the Above,175,90,265
S25,205,PANSKURA_PASCHIM,4,KALYAN ROY,Indian National Congress,390,140,530
S25,205,PANSKURA_PASCHIM,4,SIRAJ KHAN,All India Trinamool Congress,19246,7029,26275
S25,205,PANSKURA_PASCHIM,4,SINTU SENAPATI,Bharatiya Janata Party,30383,9979,40362
S25,205,PANSKURA_PASCHIM,4,ABJAL ALI SHA,All India Secular Front,890,558,1448
S25,205,PANSKURA_PASCHIM,4,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),159,62,221
S25,205,PANSKURA_PASCHIM,4,NARAYAN KINKAR MISHRA,Independent,257,68,325
S25,205,PANSKURA_PASCHIM,4,SK SIRAJUDDIN,Independent,217,89,306
S25,205,PANSKURA_PASCHIM,4,NOTA,None of the Above,265,72,337
S25,205,PANSKURA_PASCHIM,5,KALYAN ROY,Indian National Congress,530,128,658
S25,205,PANSKURA_PASCHIM,5,SIRAJ KHAN,All India Trinamool Congress,26275,5910,32185
S25,205,PANSKURA_PASCHIM,5,SINTU SENAPATI,Bharatiya Janata Party,40362,9850,50212
S25,205,PANSKURA_PASCHIM,5,ABJAL ALI SHA,All India Secular Front,1448,932,2380
S25,205,PANSKURA_PASCHIM,5,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),221,50,271
S25,205,PANSKURA_PASCHIM,5,NARAYAN KINKAR MISHRA,Independent,325,77,402
S25,205,PANSKURA_PASCHIM,5,SK SIRAJUDDIN,Independent,306,65,371
S25,205,PANSKURA_PASCHIM,5,NOTA,None of the Above,337,99,436
S25,205,PANSKURA_PASCHIM,6,KALYAN ROY,Indian National Congress,658,207,865
S25,205,PANSKURA_PASCHIM,6,SIRAJ KHAN,All India Trinamool Congress,32185,9790,41975
S25,205,PANSKURA_PASCHIM,6,SINTU SENAPATI,Bharatiya Janata Party,50212,9303,59515
S25,205,PANSKURA_PASCHIM,6,ABJAL ALI SHA,All India Secular Front,2380,905,3285
S25,205,PANSKURA_PASCHIM,6,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),271,53,324
S25,205,PANSKURA_PASCHIM,6,NARAYAN KINKAR MISHRA,Independent,402,77,479
S25,205,PANSKURA_PASCHIM,6,SK SIRAJUDDIN,Independent,371,73,444
S25,205,PANSKURA_PASCHIM,6,NOTA,None of the Above,436,104,540
S25,205,PANSKURA_PASCHIM,7,KALYAN ROY,Indian National Congress,865,133,998
S25,205,PANSKURA_PASCHIM,7,SIRAJ KHAN,All India Trinamool Congress,41975,6822,48797
S25,205,PANSKURA_PASCHIM,7,SINTU SENAPATI,Bharatiya Janata Party,59515,9920,69435
S25,205,PANSKURA_PASCHIM,7,ABJAL ALI SHA,All India Secular Front,3285,341,3626
S25,205,PANSKURA_PASCHIM,7,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),324,54,378
S25,205,PANSKURA_PASCHIM,7,NARAYAN KINKAR MISHRA,Independent,479,83,562
S25,205,PANSKURA_PASCHIM,7,SK SIRAJUDDIN,Independent,444,64,508
S25,205,PANSKURA_PASCHIM,7,NOTA,None of the Above,540,65,605
S25,205,PANSKURA_PASCHIM,8,KALYAN ROY,Indian National Congress,998,145,1143
S25,205,PANSKURA_PASCHIM,8,SIRAJ KHAN,All India Trinamool Congress,48797,6320,55117
S25,205,PANSKURA_PASCHIM,8,SINTU SENAPATI,Bharatiya Janata Party,69435,9232,78667
S25,205,PANSKURA_PASCHIM,8,ABJAL ALI SHA,All India Secular Front,3626,484,4110
S25,205,PANSKURA_PASCHIM,8,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),378,99,477
S25,205,PANSKURA_PASCHIM,8,NARAYAN KINKAR MISHRA,Independent,562,41,603
S25,205,PANSKURA_PASCHIM,8,SK SIRAJUDDIN,Independent,508,50,558
