State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,207,NANDAKUMAR,1,KHANRA NIRMAL,Bharatiya Janata Party,0,7876,7876
S25,207,NANDAKUMAR,1,CHANDAN MAITI,Communist Party of India (Marxist),0,612,612
S25,207,NANDAKUMAR,1,SUKUMAR DE,All India Trinamool Congress,0,6646,6646
S25,207,NANDAKUMAR,1,SEKH MATIN,Indian National Congress,0,67,67
S25,207,NANDAKUMAR,1,ABDUL KADER DIN,Jatiya Unnayan Party,0,710,710
S25,207,NANDAKUMAR,1,SAUMITRA PATTANAYAK,Socialist Unity Centre Of India (COMMUNIST),0,28,28
S25,207,NANDAKUMAR,1,NIRMAL KUMAR ARI,Independent,0,50,50
S25,207,NANDAKUMAR,1,MARPHAT ALI KHAN,Independent,0,52,52
S25,207,NANDAKUMAR,1,NOTA,None of the Above,0,85,85
S25,207,NANDAKUMAR,2,KHANRA NIRMAL,Bharatiya Janata Party,7876,8744,16620
S25,207,NANDAKUMAR,2,CHANDAN MAITI,Communist Party of India (Marxist),612,762,1374
S25,207,NANDAKUMAR,2,SUKUMAR DE,All India Trinamool Congress,6646,9167,15813
S25,207,NANDAKUMAR,2,SEKH MATIN,Indian National Congress,67,110,177
S25,207,NANDAKUMAR,2,ABDUL KADER DIN,Jatiya Unnayan Party,710,141,851
S25,207,NANDAKUMAR,2,SAUMITRA PATTANAYAK,Socialist Unity Centre Of India (COMMUNIST),28,63,91
S25,207,NANDAKUMAR,2,NIRMAL KUMAR ARI,Independent,50,58,108
S25,207,NANDAKUMAR,2,MARPHAT ALI KHAN,Independent,52,46,98
S25,207,NANDAKUMAR,2,NOTA,None of the Above,85,98,183
S25,207,NANDAKUMAR,3,KHANRA NIRMAL,Bharatiya Janata Party,16620,8151,24771
S25,207,NANDAKUMAR,3,CHANDAN MAITI,Communist Party of India (Marxist),1374,595,1969
S25,207,NANDAKUMAR,3,SUKUMAR DE,All India Trinamool Congress,15813,7817,23630
S25,207,NANDAKUMAR,3,SEKH MATIN,Indian National Congress,177,63,240
S25,207,NANDAKUMAR,3,ABDUL KADER DIN,Jatiya Unnayan Party,851,90,941
S25,207,NANDAKUMAR,3,SAUMITRA PATTANAYAK,Socialist Unity Centre Of India (COMMUNIST),91,31,122
S25,207,NANDAKUMAR,3,NIRMAL KUMAR ARI,Independent,108,35,143
S25,207,NANDAKUMAR,3,MARPHAT ALI KHAN,Independent,98,46,144
S25,207,NANDAKUMAR,3,NOTA,None of the Above,183,72,255
S25,207,NANDAKUMAR,4,KHANRA NIRMAL,Bharatiya Janata Party,24771,10075,34846
S25,207,NANDAKUMAR,4,CHANDAN MAITI,Communist Party of India (Marxist),1969,718,2687
S25,207,NANDAKUMAR,4,SUKUMAR DE,All India Trinamool Congress,23630,7885,31515
S25,207,NANDAKUMAR,4,SEKH MATIN,Indian National Congress,240,108,348
S25,207,NANDAKUMAR,4,ABDUL KADER DIN,Jatiya Unnayan Party,941,254,1195
S25,207,NANDAKUMAR,4,SAUMITRA PATTANAYAK,Socialist Unity Centre Of India (COMMUNIST),122,38,160
S25,207,NANDAKUMAR,4,NIRMAL KUMAR ARI,Independent,143,49,192
S25,207,NANDAKUMAR,4,MARPHAT ALI KHAN,Independent,144,50,194
S25,207,NANDAKUMAR,4,NOTA,None of the Above,255,96,351
S25,207,NANDAKUMAR,5,KHANRA NIRMAL,Bharatiya Janata Party,34846,9707,44553
S25,207,NANDAKUMAR,5,CHANDAN MAITI,Communist Party of India (Marxist),2687,307,2994
