State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,208,MAHISADAL,1,KAJAL NAYEK DAS,Indian National Congress,0,52,52
S25,208,MAHISADAL,1,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,0,4167,4167
S25,208,MAHISADAL,1,PARITOSH PATTANAYAK,Communist Party of India (Marxist),0,670,670
S25,208,MAHISADAL,1,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,0,5790,5790
S25,208,MAHISADAL,1,KOUSHIK DAS,Jan Sangh Party,0,17,17
S25,208,MAHISADAL,1,TAPAN KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),0,15,15
S25,208,MAHISADAL,1,SWARNAKAMAL DAS,Jatiya Unnayan Party,0,15,15
S25,208,MAHISADAL,1,SUBHASH CHANDRA GUMTYA,Independent,0,14,14
S25,208,MAHISADAL,1,SK. SAINUDDIN,Independent,0,17,17
S25,208,MAHISADAL,1,NOTA,None of the Above,0,32,32
S25,208,MAHISADAL,2,KAJAL NAYEK DAS,Indian National Congress,52,77,129
S25,208,MAHISADAL,2,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,4167,4742,8909
S25,208,MAHISADAL,2,PARITOSH PATTANAYAK,Communist Party of India (Marxist),670,441,1111
S25,208,MAHISADAL,2,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,5790,6456,12246
S25,208,MAHISADAL,2,KOUSHIK DAS,Jan Sangh Party,17,21,38
S25,208,MAHISADAL,2,TAPAN KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),15,12,27
S25,208,MAHISADAL,2,SWARNAKAMAL DAS,Jatiya Unnayan Party,15,174,189
S25,208,MAHISADAL,2,SUBHASH CHANDRA GUMTYA,Independent,14,21,35
S25,208,MAHISADAL,2,SK. SAINUDDIN,Independent,17,31,48
S25,208,MAHISADAL,2,NOTA,None of the Above,32,49,81
S25,208,MAHISADAL,3,KAJAL NAYEK DAS,Indian National Congress,129,63,192
S25,208,MAHISADAL,3,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,8909,5771,14680
S25,208,MAHISADAL,3,PARITOSH PATTANAYAK,Communist Party of India (Marxist),1111,656,1767
S25,208,MAHISADAL,3,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,12246,5803,18049
S25,208,MAHISADAL,3,KOUSHIK DAS,Jan Sangh Party,38,35,73
S25,208,MAHISADAL,3,TAPAN KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),27,13,40
S25,208,MAHISADAL,3,SWARNAKAMAL DAS,Jatiya Unnayan Party,189,214,403
S25,208,MAHISADAL,3,SUBHASH CHANDRA GUMTYA,Independent,35,19,54
S25,208,MAHISADAL,3,SK. SAINUDDIN,Independent,48,40,88
S25,208,MAHISADAL,3,NOTA,None of the Above,81,52,133
S25,208,MAHISADAL,4,KAJAL NAYEK DAS,Indian National Congress,192,79,271
S25,208,MAHISADAL,4,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,14680,5142,19822
S25,208,MAHISADAL,4,PARITOSH PATTANAYAK,Communist Party of India (Marxist),1767,427,2194
S25,208,MAHISADAL,4,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,18049,4953,23002
S25,208,MAHISADAL,4,KOUSHIK DAS,Jan Sangh Party,73,14,87
S25,208,MAHISADAL,4,TAPAN KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),40,16,56
S25,208,MAHISADAL,4,SWARNAKAMAL DAS,Jatiya Unnayan Party,403,341,744
S25,208,MAHISADAL,4,SUBHASH CHANDRA GUMTYA,Independent,54,11,65
S25,208,MAHISADAL,4,SK. SAINUDDIN,Independent,88,22,110
