State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,211,CHANDIPUR,1,AHMED SK. TASLIM,Indian National Congress,0,91,91
S25,211,CHANDIPUR,1,UTTAM BARIK,All India Trinamool Congress,0,7251,7251
S25,211,CHANDIPUR,1,PIJUSH KANTI DAS,Bharatiya Janata Party,0,9259,9259
S25,211,CHANDIPUR,1,RITA DAS,Communist Party of India (Marxist),0,402,402
S25,211,CHANDIPUR,1,AYUB KHAN,Jatiya Unnayan Party,0,17,17
S25,211,CHANDIPUR,1,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,0,23,23
S25,211,CHANDIPUR,1,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),0,60,60
S25,211,CHANDIPUR,1,NOTA,None of the Above,0,45,45
S25,211,CHANDIPUR,2,AHMED SK. TASLIM,Indian National Congress,91,114,205
S25,211,CHANDIPUR,2,UTTAM BARIK,All India Trinamool Congress,7251,8348,15599
S25,211,CHANDIPUR,2,PIJUSH KANTI DAS,Bharatiya Janata Party,9259,9553,18812
S25,211,CHANDIPUR,2,RITA DAS,Communist Party of India (Marxist),402,285,687
S25,211,CHANDIPUR,2,AYUB KHAN,Jatiya Unnayan Party,17,22,39
S25,211,CHANDIPUR,2,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,23,39,62
S25,211,CHANDIPUR,2,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),60,54,114
S25,211,CHANDIPUR,2,NOTA,None of the Above,45,64,109
S25,211,CHANDIPUR,3,AHMED SK. TASLIM,Indian National Congress,205,75,280
S25,211,CHANDIPUR,3,UTTAM BARIK,All India Trinamool Congress,15599,7402,23001
S25,211,CHANDIPUR,3,PIJUSH KANTI DAS,Bharatiya Janata Party,18812,10315,29127
S25,211,CHANDIPUR,3,RITA DAS,Communist Party of India (Marxist),687,556,1243
S25,211,CHANDIPUR,3,AYUB KHAN,Jatiya Unnayan Party,39,20,59
S25,211,CHANDIPUR,3,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,62,42,104
S25,211,CHANDIPUR,3,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),114,48,162
S25,211,CHANDIPUR,3,NOTA,None of the Above,109,43,152
S25,211,CHANDIPUR,4,AHMED SK. TASLIM,Indian National Congress,280,107,387
S25,211,CHANDIPUR,4,UTTAM BARIK,All India Trinamool Congress,23001,8372,31373
S25,211,CHANDIPUR,4,PIJUSH KANTI DAS,Bharatiya Janata Party,29127,9955,39082
S25,211,CHANDIPUR,4,RITA DAS,Communist Party of India (Marxist),1243,316,1559
S25,211,CHANDIPUR,4,AYUB KHAN,Jatiya Unnayan Party,59,35,94
S25,211,CHANDIPUR,4,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,104,51,155
S25,211,CHANDIPUR,4,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),162,44,206
S25,211,CHANDIPUR,4,NOTA,None of the Above,152,42,194
S25,211,CHANDIPUR,5,AHMED SK. TASLIM,Indian National Congress,387,89,476
S25,211,CHANDIPUR,5,UTTAM BARIK,All India Trinamool Congress,31373,9400,40773
S25,211,CHANDIPUR,5,PIJUSH KANTI DAS,Bharatiya Janata Party,39082,8954,48036
S25,211,CHANDIPUR,5,RITA DAS,Communist Party of India (Marxist),1559,399,1958
S25,211,CHANDIPUR,5,AYUB KHAN,Jatiya Unnayan Party,94,123,217
S25,211,CHANDIPUR,5,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,155,35,190
S25,211,CHANDIPUR,5,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),206,44,250
S25,211,CHANDIPUR,5,NOTA,None of the Above,194,40,234
S25,211,CHANDIPUR,6,AHMED SK. TASLIM,Indian National Congress,476,72,548
S25,211,CHANDIPUR,6,UTTAM BARIK,All India Trinamool Congress,40773,7912,48685
S25,211,CHANDIPUR,6,PIJUSH KANTI DAS,Bharatiya Janata Party,48036,9070,57106
S25,211,CHANDIPUR,6,RITA DAS,Communist Party of India (Marxist),1958,473,2431
S25,211,CHANDIPUR,6,AYUB KHAN,Jatiya Unnayan Party,217,22,239
S25,211,CHANDIPUR,6,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,190,26,216
S25,211,CHANDIPUR,6,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),250,48,298
S25,211,CHANDIPUR,6,NOTA,None of the Above,234,27,261
S25,211,CHANDIPUR,7,AHMED SK. TASLIM,Indian National Congress,548,88,636
S25,211,CHANDIPUR,7,UTTAM BARIK,All India Trinamool Congress,48685,11173,59858
S25,211,CHANDIPUR,7,PIJUSH KANTI DAS,Bharatiya Janata Party,57106,9869,66975
S25,211,CHANDIPUR,7,RITA DAS,Communist Party of India (Marxist),2431,559,2990
S25,211,CHANDIPUR,7,AYUB KHAN,Jatiya Unnayan Party,239,33,272
S25,211,CHANDIPUR,7,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,216,24,240
S25,211,CHANDIPUR,7,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),298,36,334
S25,211,CHANDIPUR,7,NOTA,None of the Above,261,47,308
S25,211,CHANDIPUR,8,AHMED SK. TASLIM,Indian National Congress,636,112,748
S25,211,CHANDIPUR,8,UTTAM BARIK,All India Trinamool Congress,59858,9288,69146
S25,211,CHANDIPUR,8,PIJUSH KANTI DAS,Bharatiya Janata Party,66975,9686,76661
S25,211,CHANDIPUR,8,RITA DAS,Communist Party of India (Marxist),2990,276,3266
S25,211,CHANDIPUR,8,AYUB KHAN,Jatiya Unnayan Party,272,47,319
S25,211,CHANDIPUR,8,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,240,35,275
S25,211,CHANDIPUR,8,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),334,44,378
S25,211,CHANDIPUR,8,NOTA,None of the Above,308,35,343
S25,211,CHANDIPUR,9,AHMED SK. TASLIM,Indian National Congress,748,62,810
S25,211,CHANDIPUR,9,UTTAM BARIK,All India Trinamool Congress,69146,7356,76502
S25,211,CHANDIPUR,9,PIJUSH KANTI DAS,Bharatiya Janata Party,76661,9203,85864
S25,211,CHANDIPUR,9,RITA DAS,Communist Party of India (Marxist),3266,698,3964
S25,211,CHANDIPUR,9,AYUB KHAN,Jatiya Unnayan Party,319,17,336
S25,211,CHANDIPUR,9,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,275,24,299
S25,211,CHANDIPUR,9,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),378,33,411
S25,211,CHANDIPUR,9,NOTA,None of the Above,343,50,393
S25,211,CHANDIPUR,10,AHMED SK. TASLIM,Indian National Congress,810,76,886
S25,211,CHANDIPUR,10,UTTAM BARIK,All India Trinamool Congress,76502,7272,83774
S25,211,CHANDIPUR,10,PIJUSH KANTI DAS,Bharatiya Janata Party,85864,10028,95892
S25,211,CHANDIPUR,10,RITA DAS,Communist Party of India (Marxist),3964,722,4686
S25,211,CHANDIPUR,10,AYUB KHAN,Jatiya Unnayan Party,336,16,352
S25,211,CHANDIPUR,10,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,299,31,330
S25,211,CHANDIPUR,10,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),411,52,463
S25,211,CHANDIPUR,10,NOTA,None of the Above,393,70,463
S25,211,CHANDIPUR,11,AHMED SK. TASLIM,Indian National Congress,886,72,958
S25,211,CHANDIPUR,11,UTTAM BARIK,All India Trinamool Congress,83774,6726,90500
S25,211,CHANDIPUR,11,PIJUSH KANTI DAS,Bharatiya Janata Party,95892,10373,106265
S25,211,CHANDIPUR,11,RITA DAS,Communist Party of India (Marxist),4686,736,5422
S25,211,CHANDIPUR,11,AYUB KHAN,Jatiya Unnayan Party,352,131,483
S25,211,CHANDIPUR,11,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,330,33,363
S25,211,CHANDIPUR,11,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),463,82,545
S25,211,CHANDIPUR,11,NOTA,None of the Above,463,64,527
S25,211,CHANDIPUR,12,AHMED SK. TASLIM,Indian National Congress,958,135,1093
S25,211,CHANDIPUR,12,UTTAM BARIK,All India Trinamool Congress,90500,7997,98497
S25,211,CHANDIPUR,12,PIJUSH KANTI DAS,Bharatiya Janata Party,106265,9410,115675
S25,211,CHANDIPUR,12,RITA DAS,Communist Party of India (Marxist),5422,702,6124
S25,211,CHANDIPUR,12,AYUB KHAN,Jatiya Unnayan Party,483,163,646
S25,211,CHANDIPUR,12,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,363,38,401
S25,211,CHANDIPUR,12,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),545,48,593
S25,211,CHANDIPUR,12,NOTA,None of the Above,527,35,562
S25,211,CHANDIPUR,13,AHMED SK. TASLIM,Indian National Congress,1093,93,1186
S25,211,CHANDIPUR,13,UTTAM BARIK,All India Trinamool Congress,98497,6226,104723
S25,211,CHANDIPUR,13,PIJUSH KANTI DAS,Bharatiya Janata Party,115675,9026,124701
S25,211,CHANDIPUR,13,RITA DAS,Communist Party of India (Marxist),6124,325,6449
S25,211,CHANDIPUR,13,AYUB KHAN,Jatiya Unnayan Party,646,27,673
S25,211,CHANDIPUR,13,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,401,22,423
S25,211,CHANDIPUR,13,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),593,39,632
S25,211,CHANDIPUR,13,NOTA,None of the Above,562,45,607
S25,211,CHANDIPUR,Postal Ballot,AHMED SK. TASLIM,Indian National Congress,1186,21,1207
S25,211,CHANDIPUR,Postal Ballot,UTTAM BARIK,All India Trinamool Congress,104723,1054,105777
S25,211,CHANDIPUR,Postal Ballot,PIJUSH KANTI DAS,Bharatiya Janata Party,124701,1346,126047
S25,211,CHANDIPUR,Postal Ballot,RITA DAS,Communist Party of India (Marxist),6449,119,6568
S25,211,CHANDIPUR,Postal Ballot,AYUB KHAN,Jatiya Unnayan Party,673,2,675
S25,211,CHANDIPUR,Postal Ballot,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,423,1,424
S25,211,CHANDIPUR,Postal Ballot,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),632,10,642
S25,211,CHANDIPUR,Postal Ballot,NOTA,None of the Above,607,10,617
