State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,212,PATASHPUR,1,TAPAN MAITY,Bharatiya Janata Party,0,6903,6903
S25,212,PATASHPUR,1,PIJUS KANTI PANDA,All India Trinamool Congress,0,5656,5656
S25,212,PATASHPUR,1,PRANAB KUMAR MAHAPATRA,Indian National Congress,0,37,37
S25,212,PATASHPUR,1,ABDUL AHAD ALI SK,Jatiya Unnayan Party,0,7,7
S25,212,PATASHPUR,1,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),0,14,14
S25,212,PATASHPUR,1,SAIKAT GIRI,Communist Party of India,0,134,134
S25,212,PATASHPUR,1,RAJESH SENAPATI,Independent,0,25,25
S25,212,PATASHPUR,1,NOTA,None of the Above,0,48,48
S25,212,PATASHPUR,2,TAPAN MAITY,Bharatiya Janata Party,6903,6767,13670
S25,212,PATASHPUR,2,PIJUS KANTI PANDA,All India Trinamool Congress,5656,6393,12049
S25,212,PATASHPUR,2,PRANAB KUMAR MAHAPATRA,Indian National Congress,37,37,74
S25,212,PATASHPUR,2,ABDUL AHAD ALI SK,Jatiya Unnayan Party,7,10,17
S25,212,PATASHPUR,2,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),14,33,47
S25,212,PATASHPUR,2,SAIKAT GIRI,Communist Party of India,134,199,333
S25,212,PATASHPUR,2,RAJESH SENAPATI,Independent,25,30,55
S25,212,PATASHPUR,2,NOTA,None of the Above,48,68,116
S25,212,PATASHPUR,3,TAPAN MAITY,Bharatiya Janata Party,13670,7862,21532
S25,212,PATASHPUR,3,PIJUS KANTI PANDA,All India Trinamool Congress,12049,6447,18496
S25,212,PATASHPUR,3,PRANAB KUMAR MAHAPATRA,Indian National Congress,74,65,139
S25,212,PATASHPUR,3,ABDUL AHAD ALI SK,Jatiya Unnayan Party,17,6,23
S25,212,PATASHPUR,3,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),47,21,68
S25,212,PATASHPUR,3,SAIKAT GIRI,Communist Party of India,333,335,668
S25,212,PATASHPUR,3,RAJESH SENAPATI,Independent,55,28,83
S25,212,PATASHPUR,3,NOTA,None of the Above,116,52,168
S25,212,PATASHPUR,4,TAPAN MAITY,Bharatiya Janata Party,21532,7741,29273
S25,212,PATASHPUR,4,PIJUS KANTI PANDA,All India Trinamool Congress,18496,6261,24757
S25,212,PATASHPUR,4,PRANAB KUMAR MAHAPATRA,Indian National Congress,139,87,226
S25,212,PATASHPUR,4,ABDUL AHAD ALI SK,Jatiya Unnayan Party,23,8,31
S25,212,PATASHPUR,4,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),68,18,86
S25,212,PATASHPUR,4,SAIKAT GIRI,Communist Party of India,668,221,889
S25,212,PATASHPUR,4,RAJESH SENAPATI,Independent,83,31,114
S25,212,PATASHPUR,4,NOTA,None of the Above,168,47,215
S25,212,PATASHPUR,5,TAPAN MAITY,Bharatiya Janata Party,29273,5079,34352
S25,212,PATASHPUR,5,PIJUS KANTI PANDA,All India Trinamool Congress,24757,8450,33207
S25,212,PATASHPUR,5,PRANAB KUMAR MAHAPATRA,Indian National Congress,226,72,298
S25,212,PATASHPUR,5,ABDUL AHAD ALI SK,Jatiya Unnayan Party,31,21,52
S25,212,PATASHPUR,5,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),86,22,108
S25,212,PATASHPUR,5,SAIKAT GIRI,Communist Party of India,889,448,1337
S25,212,PATASHPUR,5,RAJESH SENAPATI,Independent,114,42,156
S25,212,PATASHPUR,5,NOTA,None of the Above,215,37,252
S25,212,PATASHPUR,6,TAPAN MAITY,Bharatiya Janata Party,34352,6254,40606
S25,212,PATASHPUR,6,PIJUS KANTI PANDA,All India Trinamool Congress,33207,5733,38940
S25,212,PATASHPUR,6,PRANAB KUMAR MAHAPATRA,Indian National Congress,298,60,358
S25,212,PATASHPUR,6,ABDUL AHAD ALI SK,Jatiya Unnayan Party,52,18,70
S25,212,PATASHPUR,6,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),108,15,123
S25,212,PATASHPUR,6,SAIKAT GIRI,Communist Party of India,1337,220,1557
S25,212,PATASHPUR,6,RAJESH SENAPATI,Independent,156,31,187
S25,212,PATASHPUR,6,NOTA,None of the Above,252,32,284
S25,212,PATASHPUR,7,TAPAN MAITY,Bharatiya Janata Party,40606,7229,47835
S25,212,PATASHPUR,7,PIJUS KANTI PANDA,All India Trinamool Congress,38940,5830,44770
S25,212,PATASHPUR,7,PRANAB KUMAR MAHAPATRA,Indian National Congress,358,54,412
S25,212,PATASHPUR,7,ABDUL AHAD ALI SK,Jatiya Unnayan Party,70,9,79
S25,212,PATASHPUR,7,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),123,12,135
S25,212,PATASHPUR,7,SAIKAT GIRI,Communist Party of India,1557,247,1804
S25,212,PATASHPUR,7,RAJESH SENAPATI,Independent,187,40,227
S25,212,PATASHPUR,7,NOTA,None of the Above,284,47,331
S25,212,PATASHPUR,8,TAPAN MAITY,Bharatiya Janata Party,47835,5778,53613
S25,212,PATASHPUR,8,PIJUS KANTI PANDA,All India Trinamool Congress,44770,7302,52072
S25,212,PATASHPUR,8,PRANAB KUMAR MAHAPATRA,Indian National Congress,412,59,471
S25,212,PATASHPUR,8,ABDUL AHAD ALI SK,Jatiya Unnayan Party,79,18,97
S25,212,PATASHPUR,8,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),135,12,147
S25,212,PATASHPUR,8,SAIKAT GIRI,Communist Party of India,1804,299,2103
S25,212,PATASHPUR,8,RAJESH SENAPATI,Independent,227,38,265
S25,212,PATASHPUR,8,NOTA,None of the Above,331,51,382
S25,212,PATASHPUR,9,TAPAN MAITY,Bharatiya Janata Party,53613,6615,60228
S25,212,PATASHPUR,9,PIJUS KANTI PANDA,All India Trinamool Congress,52072,5745,57817
S25,212,PATASHPUR,9,PRANAB KUMAR MAHAPATRA,Indian National Congress,471,78,549
S25,212,PATASHPUR,9,ABDUL AHAD ALI SK,Jatiya Unnayan Party,97,6,103
S25,212,PATASHPUR,9,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),147,37,184
S25,212,PATASHPUR,9,SAIKAT GIRI,Communist Party of India,2103,281,2384
S25,212,PATASHPUR,9,RAJESH SENAPATI,Independent,265,37,302
S25,212,PATASHPUR,9,NOTA,None of the Above,382,47,429
S25,212,PATASHPUR,10,TAPAN MAITY,Bharatiya Janata Party,60228,5480,65708
S25,212,PATASHPUR,10,PIJUS KANTI PANDA,All India Trinamool Congress,57817,8700,66517
S25,212,PATASHPUR,10,PRANAB KUMAR MAHAPATRA,Indian National Congress,549,89,638
S25,212,PATASHPUR,10,ABDUL AHAD ALI SK,Jatiya Unnayan Party,103,91,194
