State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,215,KHEJURI,1,ASIT PRAMANIK,Indian National Congress,0,30,30
S25,215,KHEJURI,1,GOSTHO GOPAL DAS,Bahujan Samaj Party,0,20,20
S25,215,KHEJURI,1,RABIN CHANDRA MANDAL,All India Trinamool Congress,0,4706,4706
S25,215,KHEJURI,1,SUBRATA PAIK,Bharatiya Janata Party,0,5779,5779
S25,215,KHEJURI,1,HIMANGSHU DAS,Communist Party of India (Marxist),0,150,150
S25,215,KHEJURI,1,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,18,18
S25,215,KHEJURI,1,GHANASHYAM DAS,Independent,0,7,7
S25,215,KHEJURI,1,MUKUNDA MONDAL,Independent,0,15,15
S25,215,KHEJURI,1,RABIN MANDAL,Independent,0,22,22
S25,215,KHEJURI,1,SUBRATA PAIK,Independent,0,11,11
S25,215,KHEJURI,1,NOTA,None of the Above,0,24,24
S25,215,KHEJURI,2,ASIT PRAMANIK,Indian National Congress,30,44,74
S25,215,KHEJURI,2,GOSTHO GOPAL DAS,Bahujan Samaj Party,20,15,35
S25,215,KHEJURI,2,RABIN CHANDRA MANDAL,All India Trinamool Congress,4706,3938,8644
S25,215,KHEJURI,2,SUBRATA PAIK,Bharatiya Janata Party,5779,5143,10922
S25,215,KHEJURI,2,HIMANGSHU DAS,Communist Party of India (Marxist),150,115,265
S25,215,KHEJURI,2,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),18,17,35
S25,215,KHEJURI,2,GHANASHYAM DAS,Independent,7,5,12
S25,215,KHEJURI,2,MUKUNDA MONDAL,Independent,15,14,29
S25,215,KHEJURI,2,RABIN MANDAL,Independent,22,11,33
S25,215,KHEJURI,2,SUBRATA PAIK,Independent,11,4,15
S25,215,KHEJURI,2,NOTA,None of the Above,24,29,53
S25,215,KHEJURI,3,ASIT PRAMANIK,Indian National Congress,74,38,112
S25,215,KHEJURI,3,GOSTHO GOPAL DAS,Bahujan Samaj Party,35,28,63
S25,215,KHEJURI,3,RABIN CHANDRA MANDAL,All India Trinamool Congress,8644,4571,13215
S25,215,KHEJURI,3,SUBRATA PAIK,Bharatiya Janata Party,10922,5799,16721
S25,215,KHEJURI,3,HIMANGSHU DAS,Communist Party of India (Marxist),265,159,424
S25,215,KHEJURI,3,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),35,22,57
S25,215,KHEJURI,3,GHANASHYAM DAS,Independent,12,7,19
S25,215,KHEJURI,3,MUKUNDA MONDAL,Independent,29,20,49
S25,215,KHEJURI,3,RABIN MANDAL,Independent,33,31,64
S25,215,KHEJURI,3,SUBRATA PAIK,Independent,15,9,24
S25,215,KHEJURI,3,NOTA,None of the Above,53,39,92
S25,215,KHEJURI,4,ASIT PRAMANIK,Indian National Congress,112,42,154
S25,215,KHEJURI,4,GOSTHO GOPAL DAS,Bahujan Samaj Party,63,26,89
S25,215,KHEJURI,4,RABIN CHANDRA MANDAL,All India Trinamool Congress,13215,4788,18003
S25,215,KHEJURI,4,SUBRATA PAIK,Bharatiya Janata Party,16721,5797,22518
S25,215,KHEJURI,4,HIMANGSHU DAS,Communist Party of India (Marxist),424,361,785
S25,215,KHEJURI,4,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),57,16,73
S25,215,KHEJURI,4,GHANASHYAM DAS,Independent,19,14,33
S25,215,KHEJURI,4,MUKUNDA MONDAL,Independent,49,20,69
S25,215,KHEJURI,4,RABIN MANDAL,Independent,64,42,106
S25,215,KHEJURI,4,SUBRATA PAIK,Independent,24,12,36
S25,215,KHEJURI,4,NOTA,None of the Above,92,35,127
S25,215,KHEJURI,5,ASIT PRAMANIK,Indian National Congress,154,49,203
S25,215,KHEJURI,5,GOSTHO GOPAL DAS,Bahujan Samaj Party,89,28,117
S25,215,KHEJURI,5,RABIN CHANDRA MANDAL,All India Trinamool Congress,18003,4497,22500
S25,215,KHEJURI,5,SUBRATA PAIK,Bharatiya Janata Party,22518,6144,28662
S25,215,KHEJURI,5,HIMANGSHU DAS,Communist Party of India (Marxist),785,328,1113
S25,215,KHEJURI,5,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),73,15,88
S25,215,KHEJURI,5,GHANASHYAM DAS,Independent,33,12,45
S25,215,KHEJURI,5,MUKUNDA MONDAL,Independent,69,25,94
S25,215,KHEJURI,5,RABIN MANDAL,Independent,106,20,126
S25,215,KHEJURI,5,SUBRATA PAIK,Independent,36,4,40
S25,215,KHEJURI,5,NOTA,None of the Above,127,34,161
S25,215,KHEJURI,6,ASIT PRAMANIK,Indian National Congress,203,37,240
S25,215,KHEJURI,6,GOSTHO GOPAL DAS,Bahujan Samaj Party,117,24,141
S25,215,KHEJURI,6,RABIN CHANDRA MANDAL,All India Trinamool Congress,22500,4604,27104
S25,215,KHEJURI,6,SUBRATA PAIK,Bharatiya Janata Party,28662,6307,34969
S25,215,KHEJURI,6,HIMANGSHU DAS,Communist Party of India (Marxist),1113,305,1418
S25,215,KHEJURI,6,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),88,11,99
S25,215,KHEJURI,6,GHANASHYAM DAS,Independent,45,13,58
S25,215,KHEJURI,6,MUKUNDA MONDAL,Independent,94,26,120
S25,215,KHEJURI,6,RABIN MANDAL,Independent,126,17,143
S25,215,KHEJURI,6,SUBRATA PAIK,Independent,40,7,47
S25,215,KHEJURI,6,NOTA,None of the Above,161,26,187
S25,215,KHEJURI,7,ASIT PRAMANIK,Indian National Congress,240,32,272
S25,215,KHEJURI,7,GOSTHO GOPAL DAS,Bahujan Samaj Party,141,36,177
S25,215,KHEJURI,7,RABIN CHANDRA MANDAL,All India Trinamool Congress,27104,3707,30811
S25,215,KHEJURI,7,SUBRATA PAIK,Bharatiya Janata Party,34969,5879,40848
S25,215,KHEJURI,7,HIMANGSHU DAS,Communist Party of India (Marxist),1418,285,1703
S25,215,KHEJURI,7,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),99,15,114
S25,215,KHEJURI,7,GHANASHYAM DAS,Independent,58,12,70
S25,215,KHEJURI,7,MUKUNDA MONDAL,Independent,120,25,145
S25,215,KHEJURI,7,RABIN MANDAL,Independent,143,34,177
S25,215,KHEJURI,7,SUBRATA PAIK,Independent,47,13,60
S25,215,KHEJURI,7,NOTA,None of the Above,187,21,208
S25,215,KHEJURI,8,ASIT PRAMANIK,Indian National Congress,272,39,311
S25,215,KHEJURI,8,GOSTHO GOPAL DAS,Bahujan Samaj Party,177,30,207
S25,215,KHEJURI,8,RABIN CHANDRA MANDAL,All India Trinamool Congress,30811,3846,34657
S25,215,KHEJURI,8,SUBRATA PAIK,Bharatiya Janata Party,40848,6617,47465
S25,215,KHEJURI,8,HIMANGSHU DAS,Communist Party of India (Marxist),1703,449,2152
S25,215,KHEJURI,8,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),114,15,129
S25,215,KHEJURI,8,GHANASHYAM DAS,Independent,70,16,86
S25,215,KHEJURI,8,MUKUNDA MONDAL,Independent,145,17,162
S25,215,KHEJURI,8,RABIN MANDAL,Independent,177,42,219
S25,215,KHEJURI,8,SUBRATA PAIK,Independent,60,23,83
