State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,222,JHARGRAM,1,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),0,258,258
S25,222,JHARGRAM,1,PRASENJIT DE,Indian National Congress,0,45,45
S25,222,JHARGRAM,1,MONGAL SAREN,All India Trinamool Congress,0,4180,4180
S25,222,JHARGRAM,1,LAKSHMI KANTA SAU,Bharatiya Janata Party,0,5156,5156
S25,222,JHARGRAM,1,SUNDAR MOHAN MURMU,Bahujan Samaj Party,0,64,64
S25,222,JHARGRAM,1,JOYRAM CHALAK,Amra Bangalee,0,20,20
S25,222,JHARGRAM,1,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),0,66,66
S25,222,JHARGRAM,1,ABHIJIT SINGHA,Independent,0,39,39
S25,222,JHARGRAM,1,ASHOKE MAHATA,Independent,0,40,40
S25,222,JHARGRAM,1,PRABIR MANDI,Independent,0,52,52
S25,222,JHARGRAM,1,PRABIR MAHATA,Independent,0,71,71
S25,222,JHARGRAM,1,SUBHASIS KARAK,Independent,0,28,28
S25,222,JHARGRAM,1,NOTA,None of the Above,0,127,127
S25,222,JHARGRAM,2,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),258,162,420
S25,222,JHARGRAM,2,PRASENJIT DE,Indian National Congress,45,52,97
S25,222,JHARGRAM,2,MONGAL SAREN,All India Trinamool Congress,4180,4123,8303
S25,222,JHARGRAM,2,LAKSHMI KANTA SAU,Bharatiya Janata Party,5156,6019,11175
S25,222,JHARGRAM,2,SUNDAR MOHAN MURMU,Bahujan Samaj Party,64,80,144
S25,222,JHARGRAM,2,JOYRAM CHALAK,Amra Bangalee,20,15,35
S25,222,JHARGRAM,2,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),66,26,92
S25,222,JHARGRAM,2,ABHIJIT SINGHA,Independent,39,41,80
S25,222,JHARGRAM,2,ASHOKE MAHATA,Independent,40,62,102
S25,222,JHARGRAM,2,PRABIR MANDI,Independent,52,61,113
S25,222,JHARGRAM,2,PRABIR MAHATA,Independent,71,55,126
S25,222,JHARGRAM,2,SUBHASIS KARAK,Independent,28,39,67
S25,222,JHARGRAM,2,NOTA,None of the Above,127,110,237
S25,222,JHARGRAM,3,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),420,214,634
S25,222,JHARGRAM,3,PRASENJIT DE,Indian National Congress,97,44,141
S25,222,JHARGRAM,3,MONGAL SAREN,All India Trinamool Congress,8303,4843,13146
S25,222,JHARGRAM,3,LAKSHMI KANTA SAU,Bharatiya Janata Party,11175,6464,17639
S25,222,JHARGRAM,3,SUNDAR MOHAN MURMU,Bahujan Samaj Party,144,82,226
S25,222,JHARGRAM,3,JOYRAM CHALAK,Amra Bangalee,35,9,44
S25,222,JHARGRAM,3,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),92,23,115
S25,222,JHARGRAM,3,ABHIJIT SINGHA,Independent,80,19,99
S25,222,JHARGRAM,3,ASHOKE MAHATA,Independent,102,42,144
S25,222,JHARGRAM,3,PRABIR MANDI,Independent,113,48,161
S25,222,JHARGRAM,3,PRABIR MAHATA,Independent,126,70,196
S25,222,JHARGRAM,3,SUBHASIS KARAK,Independent,67,22,89
S25,222,JHARGRAM,3,NOTA,None of the Above,237,89,326
S25,222,JHARGRAM,4,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),634,484,1118
S25,222,JHARGRAM,4,PRASENJIT DE,Indian National Congress,141,54,195
S25,222,JHARGRAM,4,MONGAL SAREN,All India Trinamool Congress,13146,4409,17555
S25,222,JHARGRAM,4,LAKSHMI KANTA SAU,Bharatiya Janata Party,17639,6377,24016
S25,222,JHARGRAM,4,SUNDAR MOHAN MURMU,Bahujan Samaj Party,226,71,297
S25,222,JHARGRAM,4,JOYRAM CHALAK,Amra Bangalee,44,19,63
S25,222,JHARGRAM,4,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),115,17,132
S25,222,JHARGRAM,4,ABHIJIT SINGHA,Independent,99,28,127
S25,222,JHARGRAM,4,ASHOKE MAHATA,Independent,144,48,192
S25,222,JHARGRAM,4,PRABIR MANDI,Independent,161,51,212
