State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,225,NARAYANGARH,1,GIRI RAMAPRASAD,Bharatiya Janata Party,0,4537,4537
S25,225,NARAYANGARH,1,TAPAS SINHA,Communist Party of India (Marxist),0,187,187
S25,225,NARAYANGARH,1,PRATIBHA MAITI,All India Trinamool Congress,0,5286,5286
S25,225,NARAYANGARH,1,SK ALAM HOSSAIN,Indian National Congress,0,76,76
S25,225,NARAYANGARH,1,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,0,13,13
S25,225,NARAYANGARH,1,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),0,20,20
S25,225,NARAYANGARH,1,SK NURUL HASAN,Aam Janata Unnayan party,0,17,17
S25,225,NARAYANGARH,1,AMIT DAS,Independent,0,27,27
S25,225,NARAYANGARH,1,TAPAS MAHAPATRA,Independent,0,81,81
S25,225,NARAYANGARH,1,NITYANANDA RAUT,Independent,0,29,29
S25,225,NARAYANGARH,1,NOTA,None of the Above,0,86,86
S25,225,NARAYANGARH,2,GIRI RAMAPRASAD,Bharatiya Janata Party,4537,5010,9547
S25,225,NARAYANGARH,2,TAPAS SINHA,Communist Party of India (Marxist),187,335,522
S25,225,NARAYANGARH,2,PRATIBHA MAITI,All India Trinamool Congress,5286,4749,10035
S25,225,NARAYANGARH,2,SK ALAM HOSSAIN,Indian National Congress,76,69,145
S25,225,NARAYANGARH,2,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,13,10,23
S25,225,NARAYANGARH,2,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),20,25,45
S25,225,NARAYANGARH,2,SK NURUL HASAN,Aam Janata Unnayan party,17,9,26
S25,225,NARAYANGARH,2,AMIT DAS,Independent,27,14,41
S25,225,NARAYANGARH,2,TAPAS MAHAPATRA,Independent,81,70,151
S25,225,NARAYANGARH,2,NITYANANDA RAUT,Independent,29,31,60
S25,225,NARAYANGARH,2,NOTA,None of the Above,86,88,174
S25,225,NARAYANGARH,3,GIRI RAMAPRASAD,Bharatiya Janata Party,9547,5507,15054
S25,225,NARAYANGARH,3,TAPAS SINHA,Communist Party of India (Marxist),522,422,944
S25,225,NARAYANGARH,3,PRATIBHA MAITI,All India Trinamool Congress,10035,4300,14335
S25,225,NARAYANGARH,3,SK ALAM HOSSAIN,Indian National Congress,145,57,202
S25,225,NARAYANGARH,3,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,23,10,33
S25,225,NARAYANGARH,3,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),45,12,57
S25,225,NARAYANGARH,3,SK NURUL HASAN,Aam Janata Unnayan party,26,10,36
S25,225,NARAYANGARH,3,AMIT DAS,Independent,41,9,50
S25,225,NARAYANGARH,3,TAPAS MAHAPATRA,Independent,151,30,181
S25,225,NARAYANGARH,3,NITYANANDA RAUT,Independent,60,16,76
S25,225,NARAYANGARH,3,NOTA,None of the Above,174,84,258
S25,225,NARAYANGARH,4,GIRI RAMAPRASAD,Bharatiya Janata Party,15054,4895,19949
S25,225,NARAYANGARH,4,TAPAS SINHA,Communist Party of India (Marxist),944,282,1226
S25,225,NARAYANGARH,4,PRATIBHA MAITI,All India Trinamool Congress,14335,4389,18724
S25,225,NARAYANGARH,4,SK ALAM HOSSAIN,Indian National Congress,202,83,285
S25,225,NARAYANGARH,4,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,33,11,44
S25,225,NARAYANGARH,4,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),57,40,97
