State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,226,SABANG,1,AMAL KUMAR PANDA,Bharatiya Janata Party,0,4428,4428
S25,226,SABANG,1,ALAK KUMAR SAMAI,Indian National Congress,0,79,79
S25,226,SABANG,1,NAKUL CHANDRA BERA,Communist Party of India (Marxist),0,141,141
S25,226,SABANG,1,MANAS RANJAN BHUNIA,All India Trinamool Congress,0,5627,5627
S25,226,SABANG,1,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),0,79,79
S25,226,SABANG,1,DEBASHIS BARMAN,Amra Bangalee,0,28,28
S25,226,SABANG,1,GOPINATH DEY,Independent,0,14,14
S25,226,SABANG,1,RAFIK ALI SAIYED,Independent,0,12,12
S25,226,SABANG,1,NOTA,None of the Above,0,64,64
S25,226,SABANG,2,AMAL KUMAR PANDA,Bharatiya Janata Party,4428,4982,9410
S25,226,SABANG,2,ALAK KUMAR SAMAI,Indian National Congress,79,106,185
S25,226,SABANG,2,NAKUL CHANDRA BERA,Communist Party of India (Marxist),141,146,287
S25,226,SABANG,2,MANAS RANJAN BHUNIA,All India Trinamool Congress,5627,3889,9516
S25,226,SABANG,2,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),79,41,120
S25,226,SABANG,2,DEBASHIS BARMAN,Amra Bangalee,28,29,57
S25,226,SABANG,2,GOPINATH DEY,Independent,14,7,21
S25,226,SABANG,2,RAFIK ALI SAIYED,Independent,12,8,20
S25,226,SABANG,2,NOTA,None of the Above,64,50,114
S25,226,SABANG,3,AMAL KUMAR PANDA,Bharatiya Janata Party,9410,5822,15232
S25,226,SABANG,3,ALAK KUMAR SAMAI,Indian National Congress,185,77,262
S25,226,SABANG,3,NAKUL CHANDRA BERA,Communist Party of India (Marxist),287,270,557
S25,226,SABANG,3,MANAS RANJAN BHUNIA,All India Trinamool Congress,9516,5023,14539
S25,226,SABANG,3,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),120,43,163
S25,226,SABANG,3,DEBASHIS BARMAN,Amra Bangalee,57,21,78
S25,226,SABANG,3,GOPINATH DEY,Independent,21,5,26
S25,226,SABANG,3,RAFIK ALI SAIYED,Independent,20,10,30
S25,226,SABANG,3,NOTA,None of the Above,114,36,150
S25,226,SABANG,4,AMAL KUMAR PANDA,Bharatiya Janata Party,15232,5194,20426
S25,226,SABANG,4,ALAK KUMAR SAMAI,Indian National Congress,262,112,374
S25,226,SABANG,4,NAKUL CHANDRA BERA,Communist Party of India (Marxist),557,191,748
S25,226,SABANG,4,MANAS RANJAN BHUNIA,All India Trinamool Congress,14539,4133,18672
S25,226,SABANG,4,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),163,39,202
S25,226,SABANG,4,DEBASHIS BARMAN,Amra Bangalee,78,21,99
S25,226,SABANG,4,GOPINATH DEY,Independent,26,7,33
S25,226,SABANG,4,RAFIK ALI SAIYED,Independent,30,9,39
S25,226,SABANG,4,NOTA,None of the Above,150,66,216
S25,226,SABANG,5,AMAL KUMAR PANDA,Bharatiya Janata Party,20426,5111,25537
S25,226,SABANG,5,ALAK KUMAR SAMAI,Indian National Congress,374,94,468
S25,226,SABANG,5,NAKUL CHANDRA BERA,Communist Party of India (Marxist),748,186,934
S25,226,SABANG,5,MANAS RANJAN BHUNIA,All India Trinamool Congress,18672,4907,23579
S25,226,SABANG,5,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),202,62,264
S25,226,SABANG,5,DEBASHIS BARMAN,Amra Bangalee,99,27,126
S25,226,SABANG,5,GOPINATH DEY,Independent,33,10,43
S25,226,SABANG,5,RAFIK ALI SAIYED,Independent,39,17,56
S25,226,SABANG,5,NOTA,None of the Above,216,61,277
S25,226,SABANG,6,AMAL KUMAR PANDA,Bharatiya Janata Party,25537,5204,30741
S25,226,SABANG,6,ALAK KUMAR SAMAI,Indian National Congress,468,93,561
S25,226,SABANG,6,NAKUL CHANDRA BERA,Communist Party of India (Marxist),934,255,1189
S25,226,SABANG,6,MANAS RANJAN BHUNIA,All India Trinamool Congress,23579,5532,29111
S25,226,SABANG,6,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),264,53,317
S25,226,SABANG,6,DEBASHIS BARMAN,Amra Bangalee,126,53,179
S25,226,SABANG,6,GOPINATH DEY,Independent,43,15,58
S25,226,SABANG,6,RAFIK ALI SAIYED,Independent,56,12,68
S25,226,SABANG,6,NOTA,None of the Above,277,74,351
S25,226,SABANG,7,AMAL KUMAR PANDA,Bharatiya Janata Party,30741,5495,36236
S25,226,SABANG,7,ALAK KUMAR SAMAI,Indian National Congress,561,84,645
S25,226,SABANG,7,NAKUL CHANDRA BERA,Communist Party of India (Marxist),1189,229,1418
S25,226,SABANG,7,MANAS RANJAN BHUNIA,All India Trinamool Congress,29111,4197,33308
S25,226,SABANG,7,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),317,212,529
S25,226,SABANG,7,DEBASHIS BARMAN,Amra Bangalee,179,32,211
S25,226,SABANG,7,GOPINATH DEY,Independent,58,13,71
S25,226,SABANG,7,RAFIK ALI SAIYED,Independent,68,11,79
S25,226,SABANG,7,NOTA,None of the Above,351,66,417
S25,226,SABANG,8,AMAL KUMAR PANDA,Bharatiya Janata Party,36236,4967,41203
S25,226,SABANG,8,ALAK KUMAR SAMAI,Indian National Congress,645,82,727
S25,226,SABANG,8,NAKUL CHANDRA BERA,Communist Party of India (Marxist),1418,544,1962
S25,226,SABANG,8,MANAS RANJAN BHUNIA,All India Trinamool Congress,33308,5820,39128
S25,226,SABANG,8,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),529,39,568
S25,226,SABANG,8,DEBASHIS BARMAN,Amra Bangalee,211,27,238
S25,226,SABANG,8,GOPINATH DEY,Independent,71,6,77
S25,226,SABANG,8,RAFIK ALI SAIYED,Independent,79,8,87
S25,226,SABANG,8,NOTA,None of the Above,417,31,448
S25,226,SABANG,9,AMAL KUMAR PANDA,Bharatiya Janata Party,41203,5051,46254
S25,226,SABANG,9,ALAK KUMAR SAMAI,Indian National Congress,727,80,807
