State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,227,PINGLA,1,AJIT MAITY,All India Trinamool Congress,0,4894,4894
S25,227,PINGLA,1,SUSANTA MANDAL,Indian National Congress,0,88,88
S25,227,PINGLA,1,SWAGATA MANNA,Bharatiya Janata Party,0,7060,7060
S25,227,PINGLA,1,ASHOK SEN,Communist Party of India,0,297,297
S25,227,PINGLA,1,KAZI ABDUR RASHID,Aam Janata Unnayan party,0,24,24
S25,227,PINGLA,1,SISHIR KUMAR MANNA,Socialist Unity Centre Of India (COMMUNIST),0,15,15
S25,227,PINGLA,1,AJIT MAITI,Independent,0,8,8
S25,227,PINGLA,1,ASISH KUMAR BHUNIA,Independent,0,5,5
S25,227,PINGLA,1,TAPAN DHAL,Independent,0,37,37
S25,227,PINGLA,1,TAJAMBUL HOSSAIN KHAN,Independent,0,62,62
S25,227,PINGLA,1,BASUDEB PAN,Independent,0,19,19
S25,227,PINGLA,1,NOTA,None of the Above,0,115,115
S25,227,PINGLA,2,AJIT MAITY,All India Trinamool Congress,4894,4557,9451
S25,227,PINGLA,2,SUSANTA MANDAL,Indian National Congress,88,56,144
S25,227,PINGLA,2,SWAGATA MANNA,Bharatiya Janata Party,7060,4611,11671
S25,227,PINGLA,2,ASHOK SEN,Communist Party of India,297,489,786
S25,227,PINGLA,2,KAZI ABDUR RASHID,Aam Janata Unnayan party,24,13,37
S25,227,PINGLA,2,SISHIR KUMAR MANNA,Socialist Unity Centre Of India (COMMUNIST),15,5,20
S25,227,PINGLA,2,AJIT MAITI,Independent,8,2,10
S25,227,PINGLA,2,ASISH KUMAR BHUNIA,Independent,5,7,12
S25,227,PINGLA,2,TAPAN DHAL,Independent,37,27,64
S25,227,PINGLA,2,TAJAMBUL HOSSAIN KHAN,Independent,62,52,114
S25,227,PINGLA,2,BASUDEB PAN,Independent,19,17,36
S25,227,PINGLA,2,NOTA,None of the Above,115,107,222
S25,227,PINGLA,3,AJIT MAITY,All India Trinamool Congress,9451,6028,15479
S25,227,PINGLA,3,SUSANTA MANDAL,Indian National Congress,144,60,204
