State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,228,KHARAGPUR,1,UJJAL MUKHERJEE,Indian National Congress,0,59,59
S25,228,KHARAGPUR,1,TAPAN BHUYA,Bharatiya Janata Party,0,6673,6673
S25,228,KHARAGPUR,1,DINEN ROY,All India Trinamool Congress,0,4114,4114
S25,228,KHARAGPUR,1,SK SAJAHAN ALI,Communist Party of India (Marxist),0,412,412
S25,228,KHARAGPUR,1,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),0,33,33
S25,228,KHARAGPUR,1,BARSHA MAHAPATRA,Amra Bangalee,0,24,24
S25,228,KHARAGPUR,1,AVIJIT ROY,Independent,0,22,22
S25,228,KHARAGPUR,1,MANMATHA NATH DOLAI,Independent,0,44,44
S25,228,KHARAGPUR,1,SUJOY GHOSH,Independent,0,40,40
S25,228,KHARAGPUR,1,NOTA,None of the Above,0,113,113
S25,228,KHARAGPUR,2,UJJAL MUKHERJEE,Indian National Congress,59,81,140
S25,228,KHARAGPUR,2,TAPAN BHUYA,Bharatiya Janata Party,6673,5028,11701
S25,228,KHARAGPUR,2,DINEN ROY,All India Trinamool Congress,4114,6184,10298
S25,228,KHARAGPUR,2,SK SAJAHAN ALI,Communist Party of India (Marxist),412,257,669
S25,228,KHARAGPUR,2,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),33,58,91
S25,228,KHARAGPUR,2,BARSHA MAHAPATRA,Amra Bangalee,24,15,39
S25,228,KHARAGPUR,2,AVIJIT ROY,Independent,22,33,55
S25,228,KHARAGPUR,2,MANMATHA NATH DOLAI,Independent,44,69,113
S25,228,KHARAGPUR,2,SUJOY GHOSH,Independent,40,59,99
S25,228,KHARAGPUR,2,NOTA,None of the Above,113,103,216
S25,228,KHARAGPUR,3,UJJAL MUKHERJEE,Indian National Congress,140,79,219
S25,228,KHARAGPUR,3,TAPAN BHUYA,Bharatiya Janata Party,11701,3362,15063
S25,228,KHARAGPUR,3,DINEN ROY,All India Trinamool Congress,10298,8369,18667
S25,228,KHARAGPUR,3,SK SAJAHAN ALI,Communist Party of India (Marxist),669,344,1013
S25,228,KHARAGPUR,3,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),91,23,114
S25,228,KHARAGPUR,3,BARSHA MAHAPATRA,Amra Bangalee,39,17,56
S25,228,KHARAGPUR,3,AVIJIT ROY,Independent,55,31,86
S25,228,KHARAGPUR,3,MANMATHA NATH DOLAI,Independent,113,128,241
S25,228,KHARAGPUR,3,SUJOY GHOSH,Independent,99,53,152
S25,228,KHARAGPUR,3,NOTA,None of the Above,216,85,301
S25,228,KHARAGPUR,4,UJJAL MUKHERJEE,Indian National Congress,219,63,282
S25,228,KHARAGPUR,4,TAPAN BHUYA,Bharatiya Janata Party,15063,2208,17271
S25,228,KHARAGPUR,4,DINEN ROY,All India Trinamool Congress,18667,8633,27300
S25,228,KHARAGPUR,4,SK SAJAHAN ALI,Communist Party of India (Marxist),1013,409,1422
S25,228,KHARAGPUR,4,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),114,14,128
S25,228,KHARAGPUR,4,BARSHA MAHAPATRA,Amra Bangalee,56,10,66
S25,228,KHARAGPUR,4,AVIJIT ROY,Independent,86,25,111
S25,228,KHARAGPUR,4,MANMATHA NATH DOLAI,Independent,241,101,342
S25,228,KHARAGPUR,4,SUJOY GHOSH,Independent,152,21,173
S25,228,KHARAGPUR,4,NOTA,None of the Above,301,47,348
S25,228,KHARAGPUR,5,UJJAL MUKHERJEE,Indian National Congress,282,64,346
S25,228,KHARAGPUR,5,TAPAN BHUYA,Bharatiya Janata Party,17271,1440,18711
S25,228,KHARAGPUR,5,DINEN ROY,All India Trinamool Congress,27300,8752,36052
S25,228,KHARAGPUR,5,SK SAJAHAN ALI,Communist Party of India (Marxist),1422,485,1907
S25,228,KHARAGPUR,5,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),128,16,144
S25,228,KHARAGPUR,5,BARSHA MAHAPATRA,Amra Bangalee,66,19,85
S25,228,KHARAGPUR,5,AVIJIT ROY,Independent,111,26,137
S25,228,KHARAGPUR,5,MANMATHA NATH DOLAI,Independent,342,110,452
S25,228,KHARAGPUR,5,SUJOY GHOSH,Independent,173,15,188
S25,228,KHARAGPUR,5,NOTA,None of the Above,348,59,407
S25,228,KHARAGPUR,6,UJJAL MUKHERJEE,Indian National Congress,346,76,422
S25,228,KHARAGPUR,6,TAPAN BHUYA,Bharatiya Janata Party,18711,2869,21580
S25,228,KHARAGPUR,6,DINEN ROY,All India Trinamool Congress,36052,6873,42925
S25,228,KHARAGPUR,6,SK SAJAHAN ALI,Communist Party of India (Marxist),1907,397,2304
S25,228,KHARAGPUR,6,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),144,173,317
S25,228,KHARAGPUR,6,BARSHA MAHAPATRA,Amra Bangalee,85,16,101
S25,228,KHARAGPUR,6,AVIJIT ROY,Independent,137,30,167
S25,228,KHARAGPUR,6,MANMATHA NATH DOLAI,Independent,452,103,555
S25,228,KHARAGPUR,6,SUJOY GHOSH,Independent,188,48,236
S25,228,KHARAGPUR,6,NOTA,None of the Above,407,72,479
S25,228,KHARAGPUR,7,UJJAL MUKHERJEE,Indian National Congress,422,70,492
S25,228,KHARAGPUR,7,TAPAN BHUYA,Bharatiya Janata Party,21580,4595,26175
S25,228,KHARAGPUR,7,DINEN ROY,All India Trinamool Congress,42925,6375,49300
S25,228,KHARAGPUR,7,SK SAJAHAN ALI,Communist Party of India (Marxist),2304,650,2954
S25,228,KHARAGPUR,7,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),317,20,337
S25,228,KHARAGPUR,7,BARSHA MAHAPATRA,Amra Bangalee,101,16,117
S25,228,KHARAGPUR,7,AVIJIT ROY,Independent,167,22,189
S25,228,KHARAGPUR,7,MANMATHA NATH DOLAI,Independent,555,92,647
S25,228,KHARAGPUR,7,SUJOY GHOSH,Independent,236,44,280
S25,228,KHARAGPUR,7,NOTA,None of the Above,479,61,540
S25,228,KHARAGPUR,8,UJJAL MUKHERJEE,Indian National Congress,492,106,598
S25,228,KHARAGPUR,8,TAPAN BHUYA,Bharatiya Janata Party,26175,4998,31173
S25,228,KHARAGPUR,8,DINEN ROY,All India Trinamool Congress,49300,5084,54384
S25,228,KHARAGPUR,8,SK SAJAHAN ALI,Communist Party of India (Marxist),2954,533,3487
S25,228,KHARAGPUR,8,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),337,26,363
S25,228,KHARAGPUR,8,BARSHA MAHAPATRA,Amra Bangalee,117,8,125
S25,228,KHARAGPUR,8,AVIJIT ROY,Independent,189,20,209
S25,228,KHARAGPUR,8,MANMATHA NATH DOLAI,Independent,647,87,734
S25,228,KHARAGPUR,8,SUJOY GHOSH,Independent,280,44,324
S25,228,KHARAGPUR,8,NOTA,None of the Above,540,69,609
S25,228,KHARAGPUR,9,UJJAL MUKHERJEE,Indian National Congress,598,87,685
S25,228,KHARAGPUR,9,TAPAN BHUYA,Bharatiya Janata Party,31173,5607,36780
S25,228,KHARAGPUR,9,DINEN ROY,All India Trinamool Congress,54384,4994,59378
S25,228,KHARAGPUR,9,SK SAJAHAN ALI,Communist Party of India (Marxist),3487,499,3986
S25,228,KHARAGPUR,9,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),363,16,379
S25,228,KHARAGPUR,9,BARSHA MAHAPATRA,Amra Bangalee,125,15,140
S25,228,KHARAGPUR,9,AVIJIT ROY,Independent,209,46,255
S25,228,KHARAGPUR,9,MANMATHA NATH DOLAI,Independent,734,83,817
S25,228,KHARAGPUR,9,SUJOY GHOSH,Independent,324,51,375
S25,228,KHARAGPUR,9,NOTA,None of the Above,609,85,694
S25,228,KHARAGPUR,10,UJJAL MUKHERJEE,Indian National Congress,685,62,747
S25,228,KHARAGPUR,10,TAPAN BHUYA,Bharatiya Janata Party,36780,5937,42717
S25,228,KHARAGPUR,10,DINEN ROY,All India Trinamool Congress,59378,3330,62708
S25,228,KHARAGPUR,10,SK SAJAHAN ALI,Communist Party of India (Marxist),3986,364,4350
S25,228,KHARAGPUR,10,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),379,19,398
S25,228,KHARAGPUR,10,BARSHA MAHAPATRA,Amra Bangalee,140,20,160
S25,228,KHARAGPUR,10,AVIJIT ROY,Independent,255,22,277
S25,228,KHARAGPUR,10,MANMATHA NATH DOLAI,Independent,817,77,894
S25,228,KHARAGPUR,10,SUJOY GHOSH,Independent,375,69,444
S25,228,KHARAGPUR,10,NOTA,None of the Above,694,86,780
S25,228,KHARAGPUR,11,UJJAL MUKHERJEE,Indian National Congress,747,72,819
S25,228,KHARAGPUR,11,TAPAN BHUYA,Bharatiya Janata Party,42717,7022,49739
S25,228,KHARAGPUR,11,DINEN ROY,All India Trinamool Congress,62708,3673,66381
S25,228,KHARAGPUR,11,SK SAJAHAN ALI,Communist Party of India (Marxist),4350,398,4748
S25,228,KHARAGPUR,11,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),398,26,424
S25,228,KHARAGPUR,11,BARSHA MAHAPATRA,Amra Bangalee,160,31,191
S25,228,KHARAGPUR,11,AVIJIT ROY,Independent,277,16,293
S25,228,KHARAGPUR,11,MANMATHA NATH DOLAI,Independent,894,67,961
S25,228,KHARAGPUR,11,SUJOY GHOSH,Independent,444,61,505
S25,228,KHARAGPUR,11,NOTA,None of the Above,780,95,875
S25,228,KHARAGPUR,12,UJJAL MUKHERJEE,Indian National Congress,819,106,925
S25,228,KHARAGPUR,12,TAPAN BHUYA,Bharatiya Janata Party,49739,4857,54596
S25,228,KHARAGPUR,12,DINEN ROY,All India Trinamool Congress,66381,5093,71474
S25,228,KHARAGPUR,12,SK SAJAHAN ALI,Communist Party of India (Marxist),4748,606,5354
S25,228,KHARAGPUR,12,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),424,17,441
S25,228,KHARAGPUR,12,BARSHA MAHAPATRA,Amra Bangalee,191,15,206
S25,228,KHARAGPUR,12,AVIJIT ROY,Independent,293,28,321
S25,228,KHARAGPUR,12,MANMATHA NATH DOLAI,Independent,961,55,1016
S25,228,KHARAGPUR,12,SUJOY GHOSH,Independent,505,48,553
S25,228,KHARAGPUR,12,NOTA,None of the Above,875,92,967
S25,228,KHARAGPUR,13,UJJAL MUKHERJEE,Indian National Congress,925,82,1007
S25,228,KHARAGPUR,13,TAPAN BHUYA,Bharatiya Janata Party,54596,6562,61158
S25,228,KHARAGPUR,13,DINEN ROY,All India Trinamool Congress,71474,3055,74529
S25,228,KHARAGPUR,13,SK SAJAHAN ALI,Communist Party of India (Marxist),5354,581,5935
S25,228,KHARAGPUR,13,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),441,21,462
S25,228,KHARAGPUR,13,BARSHA MAHAPATRA,Amra Bangalee,206,17,223
S25,228,KHARAGPUR,13,AVIJIT ROY,Independent,321,16,337
S25,228,KHARAGPUR,13,MANMATHA NATH DOLAI,Independent,1016,38,1054
S25,228,KHARAGPUR,13,SUJOY GHOSH,Independent,553,54,607
S25,228,KHARAGPUR,13,NOTA,None of the Above,967,65,1032
S25,228,KHARAGPUR,14,UJJAL MUKHERJEE,Indian National Congress,1007,93,1100
S25,228,KHARAGPUR,14,TAPAN BHUYA,Bharatiya Janata Party,61158,6975,68133
S25,228,KHARAGPUR,14,DINEN ROY,All India Trinamool Congress,74529,3785,78314
S25,228,KHARAGPUR,14,SK SAJAHAN ALI,Communist Party of India (Marxist),5935,474,6409
S25,228,KHARAGPUR,14,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),462,28,490
S25,228,KHARAGPUR,14,BARSHA MAHAPATRA,Amra Bangalee,223,23,246
S25,228,KHARAGPUR,14,AVIJIT ROY,Independent,337,28,365
S25,228,KHARAGPUR,14,MANMATHA NATH DOLAI,Independent,1054,61,1115
S25,228,KHARAGPUR,14,SUJOY GHOSH,Independent,607,70,677
S25,228,KHARAGPUR,14,NOTA,None of the Above,1032,99,1131
