State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,229,DEBRA,1,CHITTA RANJAN JANA,Indian National Congress,0,66,66
S25,229,DEBRA,1,RAJIB BANERJEE,All India Trinamool Congress,0,4375,4375
S25,229,DEBRA,1,SUBHASHIS OM,Bharatiya Janata Party,0,6801,6801
S25,229,DEBRA,1,SUMIT ADHIKARI,Communist Party of India (Marxist),0,548,548
S25,229,DEBRA,1,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),0,18,18
S25,229,DEBRA,1,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,0,15,15
S25,229,DEBRA,1,SELIM KHAN,Rashtriya Lok Janshakti Party,0,81,81
S25,229,DEBRA,1,AMAL KUMAR HUI,Independent,0,52,52
S25,229,DEBRA,1,NOTA,None of the Above,0,56,56
S25,229,DEBRA,2,CHITTA RANJAN JANA,Indian National Congress,66,90,156
S25,229,DEBRA,2,RAJIB BANERJEE,All India Trinamool Congress,4375,6184,10559
S25,229,DEBRA,2,SUBHASHIS OM,Bharatiya Janata Party,6801,5222,12023
S25,229,DEBRA,2,SUMIT ADHIKARI,Communist Party of India (Marxist),548,518,1066
S25,229,DEBRA,2,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),18,15,33
S25,229,DEBRA,2,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,15,10,25
S25,229,DEBRA,2,SELIM KHAN,Rashtriya Lok Janshakti Party,81,43,124
S25,229,DEBRA,2,AMAL KUMAR HUI,Independent,52,42,94
S25,229,DEBRA,2,NOTA,None of the Above,56,59,115
S25,229,DEBRA,3,CHITTA RANJAN JANA,Indian National Congress,156,77,233
S25,229,DEBRA,3,RAJIB BANERJEE,All India Trinamool Congress,10559,5753,16312
S25,229,DEBRA,3,SUBHASHIS OM,Bharatiya Janata Party,12023,6275,18298
S25,229,DEBRA,3,SUMIT ADHIKARI,Communist Party of India (Marxist),1066,460,1526
S25,229,DEBRA,3,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),33,27,60
S25,229,DEBRA,3,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,25,17,42
S25,229,DEBRA,3,SELIM KHAN,Rashtriya Lok Janshakti Party,124,57,181
S25,229,DEBRA,3,AMAL KUMAR HUI,Independent,94,56,150
S25,229,DEBRA,3,NOTA,None of the Above,115,57,172
S25,229,DEBRA,4,CHITTA RANJAN JANA,Indian National Congress,233,71,304
S25,229,DEBRA,4,RAJIB BANERJEE,All India Trinamool Congress,16312,5475,21787
S25,229,DEBRA,4,SUBHASHIS OM,Bharatiya Janata Party,18298,5805,24103
S25,229,DEBRA,4,SUMIT ADHIKARI,Communist Party of India (Marxist),1526,336,1862
S25,229,DEBRA,4,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),60,23,83
S25,229,DEBRA,4,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,42,14,56
S25,229,DEBRA,4,SELIM KHAN,Rashtriya Lok Janshakti Party,181,55,236
S25,229,DEBRA,4,AMAL KUMAR HUI,Independent,150,60,210
S25,229,DEBRA,4,NOTA,None of the Above,172,55,227
S25,229,DEBRA,5,CHITTA RANJAN JANA,Indian National Congress,304,59,363
S25,229,DEBRA,5,RAJIB BANERJEE,All India Trinamool Congress,21787,4152,25939
S25,229,DEBRA,5,SUBHASHIS OM,Bharatiya Janata Party,24103,7566,31669
S25,229,DEBRA,5,SUMIT ADHIKARI,Communist Party of India (Marxist),1862,362,2224
S25,229,DEBRA,5,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),83,12,95
S25,229,DEBRA,5,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,56,9,65
S25,229,DEBRA,5,SELIM KHAN,Rashtriya Lok Janshakti Party,236,46,282
S25,229,DEBRA,5,AMAL KUMAR HUI,Independent,210,46,256
S25,229,DEBRA,5,NOTA,None of the Above,227,68,295
S25,229,DEBRA,6,CHITTA RANJAN JANA,Indian National Congress,363,79,442
S25,229,DEBRA,6,RAJIB BANERJEE,All India Trinamool Congress,25939,4300,30239
S25,229,DEBRA,6,SUBHASHIS OM,Bharatiya Janata Party,31669,7836,39505
S25,229,DEBRA,6,SUMIT ADHIKARI,Communist Party of India (Marxist),2224,784,3008
S25,229,DEBRA,6,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),95,21,116
S25,229,DEBRA,6,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,65,14,79
S25,229,DEBRA,6,SELIM KHAN,Rashtriya Lok Janshakti Party,282,49,331
S25,229,DEBRA,6,AMAL KUMAR HUI,Independent,256,36,292
S25,229,DEBRA,6,NOTA,None of the Above,295,70,365
S25,229,DEBRA,7,CHITTA RANJAN JANA,Indian National Congress,442,106,548
S25,229,DEBRA,7,RAJIB BANERJEE,All India Trinamool Congress,30239,4283,34522
S25,229,DEBRA,7,SUBHASHIS OM,Bharatiya Janata Party,39505,7910,47415
S25,229,DEBRA,7,SUMIT ADHIKARI,Communist Party of India (Marxist),3008,1190,4198
S25,229,DEBRA,7,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),116,22,138
S25,229,DEBRA,7,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,79,13,92
S25,229,DEBRA,7,SELIM KHAN,Rashtriya Lok Janshakti Party,331,50,381
S25,229,DEBRA,7,AMAL KUMAR HUI,Independent,292,55,347
S25,229,DEBRA,7,NOTA,None of the Above,365,65,430
S25,229,DEBRA,8,CHITTA RANJAN JANA,Indian National Congress,548,82,630
S25,229,DEBRA,8,RAJIB BANERJEE,All India Trinamool Congress,34522,4077,38599
S25,229,DEBRA,8,SUBHASHIS OM,Bharatiya Janata Party,47415,6813,54228
S25,229,DEBRA,8,SUMIT ADHIKARI,Communist Party of India (Marxist),4198,749,4947
S25,229,DEBRA,8,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),138,20,158
S25,229,DEBRA,8,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,92,25,117
S25,229,DEBRA,8,SELIM KHAN,Rashtriya Lok Janshakti Party,381,56,437
S25,229,DEBRA,8,AMAL KUMAR HUI,Independent,347,39,386
S25,229,DEBRA,8,NOTA,None of the Above,430,71,501
S25,229,DEBRA,9,CHITTA RANJAN JANA,Indian National Congress,630,79,709
S25,229,DEBRA,9,RAJIB BANERJEE,All India Trinamool Congress,38599,5419,44018
S25,229,DEBRA,9,SUBHASHIS OM,Bharatiya Janata Party,54228,5800,60028
S25,229,DEBRA,9,SUMIT ADHIKARI,Communist Party of India (Marxist),4947,792,5739
S25,229,DEBRA,9,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),158,34,192
S25,229,DEBRA,9,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,117,11,128
S25,229,DEBRA,9,SELIM KHAN,Rashtriya Lok Janshakti Party,437,38,475
S25,229,DEBRA,9,AMAL KUMAR HUI,Independent,386,45,431
S25,229,DEBRA,9,NOTA,None of the Above,501,68,569
S25,229,DEBRA,10,CHITTA RANJAN JANA,Indian National Congress,709,69,778
S25,229,DEBRA,10,RAJIB BANERJEE,All India Trinamool Congress,44018,4400,48418
S25,229,DEBRA,10,SUBHASHIS OM,Bharatiya Janata Party,60028,7040,67068
S25,229,DEBRA,10,SUMIT ADHIKARI,Communist Party of India (Marxist),5739,204,5943
S25,229,DEBRA,10,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),192,14,206
S25,229,DEBRA,10,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,128,10,138
S25,229,DEBRA,10,SELIM KHAN,Rashtriya Lok Janshakti Party,475,68,543
S25,229,DEBRA,10,AMAL KUMAR HUI,Independent,431,39,470
S25,229,DEBRA,10,NOTA,None of the Above,569,55,624
S25,229,DEBRA,11,CHITTA RANJAN JANA,Indian National Congress,778,71,849
S25,229,DEBRA,11,RAJIB BANERJEE,All India Trinamool Congress,48418,5698,54116
S25,229,DEBRA,11,SUBHASHIS OM,Bharatiya Janata Party,67068,6193,73261
S25,229,DEBRA,11,SUMIT ADHIKARI,Communist Party of India (Marxist),5943,511,6454
S25,229,DEBRA,11,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),206,16,222
S25,229,DEBRA,11,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,138,12,150
S25,229,DEBRA,11,SELIM KHAN,Rashtriya Lok Janshakti Party,543,56,599
S25,229,DEBRA,11,AMAL KUMAR HUI,Independent,470,42,512
S25,229,DEBRA,11,NOTA,None of the Above,624,61,685
S25,229,DEBRA,12,CHITTA RANJAN JANA,Indian National Congress,849,71,920
S25,229,DEBRA,12,RAJIB BANERJEE,All India Trinamool Congress,54116,4648,58764
S25,229,DEBRA,12,SUBHASHIS OM,Bharatiya Janata Party,73261,7686,80947
S25,229,DEBRA,12,SUMIT ADHIKARI,Communist Party of India (Marxist),6454,626,7080
S25,229,DEBRA,12,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),222,28,250
S25,229,DEBRA,12,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,150,14,164
S25,229,DEBRA,12,SELIM KHAN,Rashtriya Lok Janshakti Party,599,58,657
S25,229,DEBRA,12,AMAL KUMAR HUI,Independent,512,39,551
S25,229,DEBRA,12,NOTA,None of the Above,685,66,751
S25,229,DEBRA,13,CHITTA RANJAN JANA,Indian National Congress,920,76,996
S25,229,DEBRA,13,RAJIB BANERJEE,All India Trinamool Congress,58764,5180,63944
S25,229,DEBRA,13,SUBHASHIS OM,Bharatiya Janata Party,80947,6519,87466
S25,229,DEBRA,13,SUMIT ADHIKARI,Communist Party of India (Marxist),7080,1118,8198
S25,229,DEBRA,13,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),250,30,280
S25,229,DEBRA,13,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,164,12,176
S25,229,DEBRA,13,SELIM KHAN,Rashtriya Lok Janshakti Party,657,67,724
S25,229,DEBRA,13,AMAL KUMAR HUI,Independent,551,33,584
S25,229,DEBRA,13,NOTA,None of the Above,751,73,824
S25,229,DEBRA,14,CHITTA RANJAN JANA,Indian National Congress,996,96,1092
S25,229,DEBRA,14,RAJIB BANERJEE,All India Trinamool Congress,63944,5367,69311
S25,229,DEBRA,14,SUBHASHIS OM,Bharatiya Janata Party,87466,6538,94004
S25,229,DEBRA,14,SUMIT ADHIKARI,Communist Party of India (Marxist),8198,1219,9417
S25,229,DEBRA,14,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),280,20,300
S25,229,DEBRA,14,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,176,12,188
S25,229,DEBRA,14,SELIM KHAN,Rashtriya Lok Janshakti Party,724,56,780
S25,229,DEBRA,14,AMAL KUMAR HUI,Independent,584,26,610
S25,229,DEBRA,14,NOTA,None of the Above,824,64,888
S25,229,DEBRA,15,CHITTA RANJAN JANA,Indian National Congress,1092,97,1189
S25,229,DEBRA,15,RAJIB BANERJEE,All India Trinamool Congress,69311,5527,74838
S25,229,DEBRA,15,SUBHASHIS OM,Bharatiya Janata Party,94004,6449,100453
S25,229,DEBRA,15,SUMIT ADHIKARI,Communist Party of India (Marxist),9417,759,10176
S25,229,DEBRA,15,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),300,32,332
S25,229,DEBRA,15,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,188,19,207
S25,229,DEBRA,15,SELIM KHAN,Rashtriya Lok Janshakti Party,780,36,816
S25,229,DEBRA,15,AMAL KUMAR HUI,Independent,610,49,659
S25,229,DEBRA,15,NOTA,None of the Above,888,64,952
S25,229,DEBRA,16,CHITTA RANJAN JANA,Indian National Congress,1189,72,1261
S25,229,DEBRA,16,RAJIB BANERJEE,All India Trinamool Congress,74838,5264,80102
S25,229,DEBRA,16,SUBHASHIS OM,Bharatiya Janata Party,100453,5967,106420
S25,229,DEBRA,16,SUMIT ADHIKARI,Communist Party of India (Marxist),10176,1276,11452
S25,229,DEBRA,16,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),332,27,359
S25,229,DEBRA,16,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,207,16,223
S25,229,DEBRA,16,SELIM KHAN,Rashtriya Lok Janshakti Party,816,38,854
S25,229,DEBRA,16,AMAL KUMAR HUI,Independent,659,47,706
S25,229,DEBRA,16,NOTA,None of the Above,952,64,1016
S25,229,DEBRA,17,CHITTA RANJAN JANA,Indian National Congress,1261,60,1321
S25,229,DEBRA,17,RAJIB BANERJEE,All India Trinamool Congress,80102,4500,84602
S25,229,DEBRA,17,SUBHASHIS OM,Bharatiya Janata Party,106420,6319,112739
S25,229,DEBRA,17,SUMIT ADHIKARI,Communist Party of India (Marxist),11452,872,12324
S25,229,DEBRA,17,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),359,33,392
S25,229,DEBRA,17,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,223,15,238
S25,229,DEBRA,17,SELIM KHAN,Rashtriya Lok Janshakti Party,854,44,898
S25,229,DEBRA,17,AMAL KUMAR HUI,Independent,706,41,747
S25,229,DEBRA,17,NOTA,None of the Above,1016,59,1075
S25,229,DEBRA,18,CHITTA RANJAN JANA,Indian National Congress,1321,3,1324
S25,229,DEBRA,18,RAJIB BANERJEE,All India Trinamool Congress,84602,567,85169
S25,229,DEBRA,18,SUBHASHIS OM,Bharatiya Janata Party,112739,750,113489
S25,229,DEBRA,18,SUMIT ADHIKARI,Communist Party of India (Marxist),12324,51,12375
S25,229,DEBRA,18,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),392,1,393
S25,229,DEBRA,18,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,238,0,238
S25,229,DEBRA,18,SELIM KHAN,Rashtriya Lok Janshakti Party,898,8,906
S25,229,DEBRA,18,AMAL KUMAR HUI,Independent,747,2,749
S25,229,DEBRA,18,NOTA,None of the Above,1075,3,1078
S25,229,DEBRA,Postal Ballot,CHITTA RANJAN JANA,Indian National Congress,1324,13,1337
S25,229,DEBRA,Postal Ballot,RAJIB BANERJEE,All India Trinamool Congress,85169,493,85662
S25,229,DEBRA,Postal Ballot,SUBHASHIS OM,Bharatiya Janata Party,113489,974,114463
S25,229,DEBRA,Postal Ballot,SUMIT ADHIKARI,Communist Party of India (Marxist),12375,98,12473
S25,229,DEBRA,Postal Ballot,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),393,9,402
S25,229,DEBRA,Postal Ballot,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,238,4,242
S25,229,DEBRA,Postal Ballot,SELIM KHAN,Rashtriya Lok Janshakti Party,906,0,906
S25,229,DEBRA,Postal Ballot,AMAL KUMAR HUI,Independent,749,2,751
S25,229,DEBRA,Postal Ballot,NOTA,None of the Above,1078,9,1087
