State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,235,KESHPUR,1,KAMAL KISHOR,Indian National Congress,0,85,85
S25,235,KESHPUR,1,GURUPADA MONDAL,Communist Party of India (Marxist),0,185,185
S25,235,KESHPUR,1,SEULI SAHA,All India Trinamool Congress,0,5648,5648
S25,235,KESHPUR,1,SUVENDU SAMANTA,Bharatiya Janata Party,0,5136,5136
S25,235,KESHPUR,1,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),0,93,93
S25,235,KESHPUR,1,AJOY DOME,Independent,0,80,80
S25,235,KESHPUR,1,ARUN KARAN,Independent,0,28,28
S25,235,KESHPUR,1,NOTA,None of the Above,0,80,80
S25,235,KESHPUR,2,KAMAL KISHOR,Indian National Congress,85,74,159
S25,235,KESHPUR,2,GURUPADA MONDAL,Communist Party of India (Marxist),185,403,588
S25,235,KESHPUR,2,SEULI SAHA,All India Trinamool Congress,5648,5468,11116
S25,235,KESHPUR,2,SUVENDU SAMANTA,Bharatiya Janata Party,5136,4874,10010
S25,235,KESHPUR,2,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),93,52,145
S25,235,KESHPUR,2,AJOY DOME,Independent,80,71,151
S25,235,KESHPUR,2,ARUN KARAN,Independent,28,24,52
S25,235,KESHPUR,2,NOTA,None of the Above,80,62,142
S25,235,KESHPUR,3,KAMAL KISHOR,Indian National Congress,159,78,237
S25,235,KESHPUR,3,GURUPADA MONDAL,Communist Party of India (Marxist),588,541,1129
S25,235,KESHPUR,3,SEULI SAHA,All India Trinamool Congress,11116,4668,15784
S25,235,KESHPUR,3,SUVENDU SAMANTA,Bharatiya Janata Party,10010,5583,15593
S25,235,KESHPUR,3,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),145,73,218
S25,235,KESHPUR,3,AJOY DOME,Independent,151,62,213
S25,235,KESHPUR,3,ARUN KARAN,Independent,52,20,72
S25,235,KESHPUR,3,NOTA,None of the Above,142,54,196
S25,235,KESHPUR,4,KAMAL KISHOR,Indian National Congress,237,94,331
S25,235,KESHPUR,4,GURUPADA MONDAL,Communist Party of India (Marxist),1129,382,1511
S25,235,KESHPUR,4,SEULI SAHA,All India Trinamool Congress,15784,5034,20818
S25,235,KESHPUR,4,SUVENDU SAMANTA,Bharatiya Janata Party,15593,6178,21771
S25,235,KESHPUR,4,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),218,64,282
S25,235,KESHPUR,4,AJOY DOME,Independent,213,63,276
S25,235,KESHPUR,4,ARUN KARAN,Independent,72,22,94
S25,235,KESHPUR,4,NOTA,None of the Above,196,62,258
S25,235,KESHPUR,5,KAMAL KISHOR,Indian National Congress,331,67,398
S25,235,KESHPUR,5,GURUPADA MONDAL,Communist Party of India (Marxist),1511,314,1825
S25,235,KESHPUR,5,SEULI SAHA,All India Trinamool Congress,20818,8863,29681
S25,235,KESHPUR,5,SUVENDU SAMANTA,Bharatiya Janata Party,21771,2184,23955
S25,235,KESHPUR,5,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),282,42,324
S25,235,KESHPUR,5,AJOY DOME,Independent,276,65,341
S25,235,KESHPUR,5,ARUN KARAN,Independent,94,14,108
S25,235,KESHPUR,5,NOTA,None of the Above,258,39,297
S25,235,KESHPUR,6,KAMAL KISHOR,Indian National Congress,398,86,484
S25,235,KESHPUR,6,GURUPADA MONDAL,Communist Party of India (Marxist),1825,441,2266
S25,235,KESHPUR,6,SEULI SAHA,All India Trinamool Congress,29681,7045,36726
S25,235,KESHPUR,6,SUVENDU SAMANTA,Bharatiya Janata Party,23955,3814,27769
S25,235,KESHPUR,6,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),324,57,381
S25,235,KESHPUR,6,AJOY DOME,Independent,341,83,424
S25,235,KESHPUR,6,ARUN KARAN,Independent,108,26,134
S25,235,KESHPUR,6,NOTA,None of the Above,297,66,363
S25,235,KESHPUR,7,KAMAL KISHOR,Indian National Congress,484,70,554
S25,235,KESHPUR,7,GURUPADA MONDAL,Communist Party of India (Marxist),2266,405,2671
S25,235,KESHPUR,7,SEULI SAHA,All India Trinamool Congress,36726,8922,45648
S25,235,KESHPUR,7,SUVENDU SAMANTA,Bharatiya Janata Party,27769,1447,29216
S25,235,KESHPUR,7,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),381,26,407
S25,235,KESHPUR,7,AJOY DOME,Independent,424,78,502
S25,235,KESHPUR,7,ARUN KARAN,Independent,134,18,152
S25,235,KESHPUR,7,NOTA,None of the Above,363,42,405
S25,235,KESHPUR,8,KAMAL KISHOR,Indian National Congress,554,81,635
S25,235,KESHPUR,8,GURUPADA MONDAL,Communist Party of India (Marxist),2671,574,3245
S25,235,KESHPUR,8,SEULI SAHA,All India Trinamool Congress,45648,8072,53720
S25,235,KESHPUR,8,SUVENDU SAMANTA,Bharatiya Janata Party,29216,3142,32358
S25,235,KESHPUR,8,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),407,67,474
S25,235,KESHPUR,8,AJOY DOME,Independent,502,92,594
S25,235,KESHPUR,8,ARUN KARAN,Independent,152,36,188
S25,235,KESHPUR,8,NOTA,None of the Above,405,77,482
S25,235,KESHPUR,9,KAMAL KISHOR,Indian National Congress,635,98,733
S25,235,KESHPUR,9,GURUPADA MONDAL,Communist Party of India (Marxist),3245,382,3627
S25,235,KESHPUR,9,SEULI SAHA,All India Trinamool Congress,53720,4753,58473
S25,235,KESHPUR,9,SUVENDU SAMANTA,Bharatiya Janata Party,32358,5323,37681
S25,235,KESHPUR,9,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),474,105,579
S25,235,KESHPUR,9,AJOY DOME,Independent,594,99,693
S25,235,KESHPUR,9,ARUN KARAN,Independent,188,39,227
S25,235,KESHPUR,9,NOTA,None of the Above,482,94,576
S25,235,KESHPUR,10,KAMAL KISHOR,Indian National Congress,733,82,815
S25,235,KESHPUR,10,GURUPADA MONDAL,Communist Party of India (Marxist),3627,253,3880
S25,235,KESHPUR,10,SEULI SAHA,All India Trinamool Congress,58473,3879,62352
S25,235,KESHPUR,10,SUVENDU SAMANTA,Bharatiya Janata Party,37681,5331,43012
S25,235,KESHPUR,10,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),579,72,651
S25,235,KESHPUR,10,AJOY DOME,Independent,693,63,756
S25,235,KESHPUR,10,ARUN KARAN,Independent,227,26,253
S25,235,KESHPUR,10,NOTA,None of the Above,576,70,646
S25,235,KESHPUR,11,KAMAL KISHOR,Indian National Congress,815,76,891
S25,235,KESHPUR,11,GURUPADA MONDAL,Communist Party of India (Marxist),3880,367,4247
S25,235,KESHPUR,11,SEULI SAHA,All India Trinamool Congress,62352,5134,67486
S25,235,KESHPUR,11,SUVENDU SAMANTA,Bharatiya Janata Party,43012,5379,48391
S25,235,KESHPUR,11,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),651,77,728
S25,235,KESHPUR,11,AJOY DOME,Independent,756,86,842
S25,235,KESHPUR,11,ARUN KARAN,Independent,253,39,292
S25,235,KESHPUR,11,NOTA,None of the Above,646,76,722
S25,235,KESHPUR,12,KAMAL KISHOR,Indian National Congress,891,122,1013
S25,235,KESHPUR,12,GURUPADA MONDAL,Communist Party of India (Marxist),4247,689,4936
S25,235,KESHPUR,12,SEULI SAHA,All India Trinamool Congress,67486,8367,75853
S25,235,KESHPUR,12,SUVENDU SAMANTA,Bharatiya Janata Party,48391,2172,50563
S25,235,KESHPUR,12,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),728,56,784
S25,235,KESHPUR,12,AJOY DOME,Independent,842,112,954
S25,235,KESHPUR,12,ARUN KARAN,Independent,292,33,325
S25,235,KESHPUR,12,NOTA,None of the Above,722,65,787
S25,235,KESHPUR,13,KAMAL KISHOR,Indian National Congress,1013,102,1115
S25,235,KESHPUR,13,GURUPADA MONDAL,Communist Party of India (Marxist),4936,470,5406
S25,235,KESHPUR,13,SEULI SAHA,All India Trinamool Congress,75853,5816,81669
S25,235,KESHPUR,13,SUVENDU SAMANTA,Bharatiya Janata Party,50563,4240,54803
S25,235,KESHPUR,13,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),784,66,850
S25,235,KESHPUR,13,AJOY DOME,Independent,954,107,1061
S25,235,KESHPUR,13,ARUN KARAN,Independent,325,21,346
S25,235,KESHPUR,13,NOTA,None of the Above,787,99,886
S25,235,KESHPUR,14,KAMAL KISHOR,Indian National Congress,1115,65,1180
S25,235,KESHPUR,14,GURUPADA MONDAL,Communist Party of India (Marxist),5406,622,6028
S25,235,KESHPUR,14,SEULI SAHA,All India Trinamool Congress,81669,6910,88579
S25,235,KESHPUR,14,SUVENDU SAMANTA,Bharatiya Janata Party,54803,2767,57570
S25,235,KESHPUR,14,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),850,48,898
S25,235,KESHPUR,14,AJOY DOME,Independent,1061,86,1147
S25,235,KESHPUR,14,ARUN KARAN,Independent,346,28,374
S25,235,KESHPUR,14,NOTA,None of the Above,886,59,945
S25,235,KESHPUR,15,KAMAL KISHOR,Indian National Congress,1180,57,1237
S25,235,KESHPUR,15,GURUPADA MONDAL,Communist Party of India (Marxist),6028,803,6831
S25,235,KESHPUR,15,SEULI SAHA,All India Trinamool Congress,88579,8664,97243
S25,235,KESHPUR,15,SUVENDU SAMANTA,Bharatiya Janata Party,57570,1859,59429
S25,235,KESHPUR,15,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),898,40,938
S25,235,KESHPUR,15,AJOY DOME,Independent,1147,98,1245
S25,235,KESHPUR,15,ARUN KARAN,Independent,374,21,395
S25,235,KESHPUR,15,NOTA,None of the Above,945,60,1005
S25,235,KESHPUR,16,KAMAL KISHOR,Indian National Congress,1237,101,1338
S25,235,KESHPUR,16,GURUPADA MONDAL,Communist Party of India (Marxist),6831,376,7207
S25,235,KESHPUR,16,SEULI SAHA,All India Trinamool Congress,97243,6095,103338
S25,235,KESHPUR,16,SUVENDU SAMANTA,Bharatiya Janata Party,59429,4330,63759
S25,235,KESHPUR,16,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),938,90,1028
S25,235,KESHPUR,16,AJOY DOME,Independent,1245,73,1318
S25,235,KESHPUR,16,ARUN KARAN,Independent,395,21,416
S25,235,KESHPUR,16,NOTA,None of the Above,1005,75,1080
S25,235,KESHPUR,17,KAMAL KISHOR,Indian National Congress,1338,77,1415
S25,235,KESHPUR,17,GURUPADA MONDAL,Communist Party of India (Marxist),7207,553,7760
S25,235,KESHPUR,17,SEULI SAHA,All India Trinamool Congress,103338,6933,110271
S25,235,KESHPUR,17,SUVENDU SAMANTA,Bharatiya Janata Party,63759,2452,66211
S25,235,KESHPUR,17,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1028,43,1071
S25,235,KESHPUR,17,AJOY DOME,Independent,1318,83,1401
S25,235,KESHPUR,17,ARUN KARAN,Independent,416,17,433
S25,235,KESHPUR,17,NOTA,None of the Above,1080,55,1135
S25,235,KESHPUR,18,KAMAL KISHOR,Indian National Congress,1415,96,1511
S25,235,KESHPUR,18,GURUPADA MONDAL,Communist Party of India (Marxist),7760,649,8409
S25,235,KESHPUR,18,SEULI SAHA,All India Trinamool Congress,110271,6908,117179
S25,235,KESHPUR,18,SUVENDU SAMANTA,Bharatiya Janata Party,66211,3440,69651
S25,235,KESHPUR,18,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1071,61,1132
S25,235,KESHPUR,18,AJOY DOME,Independent,1401,81,1482
S25,235,KESHPUR,18,ARUN KARAN,Independent,433,36,469
S25,235,KESHPUR,18,NOTA,None of the Above,1135,100,1235
S25,235,KESHPUR,19,KAMAL KISHOR,Indian National Congress,1511,62,1573
S25,235,KESHPUR,19,GURUPADA MONDAL,Communist Party of India (Marxist),8409,628,9037
S25,235,KESHPUR,19,SEULI SAHA,All India Trinamool Congress,117179,7312,124491
S25,235,KESHPUR,19,SUVENDU SAMANTA,Bharatiya Janata Party,69651,2290,71941
S25,235,KESHPUR,19,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1132,38,1170
S25,235,KESHPUR,19,AJOY DOME,Independent,1482,69,1551
S25,235,KESHPUR,19,ARUN KARAN,Independent,469,17,486
S25,235,KESHPUR,19,NOTA,None of the Above,1235,47,1282
S25,235,KESHPUR,20,KAMAL KISHOR,Indian National Congress,1573,98,1671
S25,235,KESHPUR,20,GURUPADA MONDAL,Communist Party of India (Marxist),9037,347,9384
S25,235,KESHPUR,20,SEULI SAHA,All India Trinamool Congress,124491,5264,129755
S25,235,KESHPUR,20,SUVENDU SAMANTA,Bharatiya Janata Party,71941,5894,77835
S25,235,KESHPUR,20,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1170,109,1279
S25,235,KESHPUR,20,AJOY DOME,Independent,1551,97,1648
S25,235,KESHPUR,20,ARUN KARAN,Independent,486,44,530
S25,235,KESHPUR,20,NOTA,None of the Above,1282,81,1363
S25,235,KESHPUR,21,KAMAL KISHOR,Indian National Congress,1671,55,1726
S25,235,KESHPUR,21,GURUPADA MONDAL,Communist Party of India (Marxist),9384,498,9882
S25,235,KESHPUR,21,SEULI SAHA,All India Trinamool Congress,129755,4837,134592
S25,235,KESHPUR,21,SUVENDU SAMANTA,Bharatiya Janata Party,77835,5140,82975
S25,235,KESHPUR,21,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1279,112,1391
S25,235,KESHPUR,21,AJOY DOME,Independent,1648,78,1726
S25,235,KESHPUR,21,ARUN KARAN,Independent,530,26,556
S25,235,KESHPUR,21,NOTA,None of the Above,1363,78,1441
S25,235,KESHPUR,22,KAMAL KISHOR,Indian National Congress,1726,56,1782
S25,235,KESHPUR,22,GURUPADA MONDAL,Communist Party of India (Marxist),9882,291,10173
S25,235,KESHPUR,22,SEULI SAHA,All India Trinamool Congress,134592,3971,138563
S25,235,KESHPUR,22,SUVENDU SAMANTA,Bharatiya Janata Party,82975,5616,88591
S25,235,KESHPUR,22,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1391,111,1502
S25,235,KESHPUR,22,AJOY DOME,Independent,1726,59,1785
S25,235,KESHPUR,22,ARUN KARAN,Independent,556,31,587
S25,235,KESHPUR,22,NOTA,None of the Above,1441,62,1503
S25,235,KESHPUR,23,KAMAL KISHOR,Indian National Congress,1782,47,1829
S25,235,KESHPUR,23,GURUPADA MONDAL,Communist Party of India (Marxist),10173,185,10358
S25,235,KESHPUR,23,SEULI SAHA,All India Trinamool Congress,138563,4070,142633
S25,235,KESHPUR,23,SUVENDU SAMANTA,Bharatiya Janata Party,88591,4000,92591
S25,235,KESHPUR,23,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1502,50,1552
S25,235,KESHPUR,23,AJOY DOME,Independent,1785,47,1832
S25,235,KESHPUR,23,ARUN KARAN,Independent,587,21,608
S25,235,KESHPUR,23,NOTA,None of the Above,1503,38,1541
