State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,238,BANDWAN,1,TIKARAM HEMBRAM,Bahujan Samaj Party,0,82,82
S25,238,BANDWAN,1,RATHU SINGH,Communist Party of India (Marxist),0,264,264
S25,238,BANDWAN,1,RAJIB LOCHAN SAREN,All India Trinamool Congress,0,6047,6047
S25,238,BANDWAN,1,LABSEN BASKEY,Bharatiya Janata Party,0,7279,7279
S25,238,BANDWAN,1,SITEN MANDI,Indian National Congress,0,361,361
S25,238,BANDWAN,1,UMESH CHANDRA BASKEY,Ambedkarite Party of India,0,90,90
S25,238,BANDWAN,1,BIJAY KUMAR MANDI,Independent,0,48,48
S25,238,BANDWAN,1,SOBHARAM MURMU,Independent,0,38,38
S25,238,BANDWAN,1,NOTA,None of the Above,0,95,95
S25,238,BANDWAN,2,TIKARAM HEMBRAM,Bahujan Samaj Party,82,75,157
S25,238,BANDWAN,2,RATHU SINGH,Communist Party of India (Marxist),264,308,572
S25,238,BANDWAN,2,RAJIB LOCHAN SAREN,All India Trinamool Congress,6047,5567,11614
S25,238,BANDWAN,2,LABSEN BASKEY,Bharatiya Janata Party,7279,7661,14940
S25,238,BANDWAN,2,SITEN MANDI,Indian National Congress,361,143,504
S25,238,BANDWAN,2,UMESH CHANDRA BASKEY,Ambedkarite Party of India,90,99,189
S25,238,BANDWAN,2,BIJAY KUMAR MANDI,Independent,48,60,108
S25,238,BANDWAN,2,SOBHARAM MURMU,Independent,38,50,88
S25,238,BANDWAN,2,NOTA,None of the Above,95,98,193
S25,238,BANDWAN,3,TIKARAM HEMBRAM,Bahujan Samaj Party,157,97,254
S25,238,BANDWAN,3,RATHU SINGH,Communist Party of India (Marxist),572,690,1262
S25,238,BANDWAN,3,RAJIB LOCHAN SAREN,All India Trinamool Congress,11614,6326,17940
S25,238,BANDWAN,3,LABSEN BASKEY,Bharatiya Janata Party,14940,7803,22743
S25,238,BANDWAN,3,SITEN MANDI,Indian National Congress,504,122,626
S25,238,BANDWAN,3,UMESH CHANDRA BASKEY,Ambedkarite Party of India,189,121,310
S25,238,BANDWAN,3,BIJAY KUMAR MANDI,Independent,108,80,188
S25,238,BANDWAN,3,SOBHARAM MURMU,Independent,88,63,151
S25,238,BANDWAN,3,NOTA,None of the Above,193,159,352
S25,238,BANDWAN,4,TIKARAM HEMBRAM,Bahujan Samaj Party,254,100,354
S25,238,BANDWAN,4,RATHU SINGH,Communist Party of India (Marxist),1262,415,1677
S25,238,BANDWAN,4,RAJIB LOCHAN SAREN,All India Trinamool Congress,17940,6412,24352
S25,238,BANDWAN,4,LABSEN BASKEY,Bharatiya Janata Party,22743,8642,31385
S25,238,BANDWAN,4,SITEN MANDI,Indian National Congress,626,137,763
S25,238,BANDWAN,4,UMESH CHANDRA BASKEY,Ambedkarite Party of India,310,134,444
S25,238,BANDWAN,4,BIJAY KUMAR MANDI,Independent,188,64,252
S25,238,BANDWAN,4,SOBHARAM MURMU,Independent,151,67,218
S25,238,BANDWAN,4,NOTA,None of the Above,352,126,478
S25,238,BANDWAN,5,TIKARAM HEMBRAM,Bahujan Samaj Party,354,82,436
S25,238,BANDWAN,5,RATHU SINGH,Communist Party of India (Marxist),1677,324,2001
S25,238,BANDWAN,5,RAJIB LOCHAN SAREN,All India Trinamool Congress,24352,5412,29764
S25,238,BANDWAN,5,LABSEN BASKEY,Bharatiya Janata Party,31385,8184,39569
S25,238,BANDWAN,5,SITEN MANDI,Indian National Congress,763,148,911
S25,238,BANDWAN,5,UMESH CHANDRA BASKEY,Ambedkarite Party of India,444,102,546
S25,238,BANDWAN,5,BIJAY KUMAR MANDI,Independent,252,51,303
S25,238,BANDWAN,5,SOBHARAM MURMU,Independent,218,43,261
S25,238,BANDWAN,5,NOTA,None of the Above,478,124,602
S25,238,BANDWAN,6,TIKARAM HEMBRAM,Bahujan Samaj Party,436,101,537
S25,238,BANDWAN,6,RATHU SINGH,Communist Party of India (Marxist),2001,329,2330
S25,238,BANDWAN,6,RAJIB LOCHAN SAREN,All India Trinamool Congress,29764,5319,35083
S25,238,BANDWAN,6,LABSEN BASKEY,Bharatiya Janata Party,39569,8018,47587
S25,238,BANDWAN,6,SITEN MANDI,Indian National Congress,911,137,1048
S25,238,BANDWAN,6,UMESH CHANDRA BASKEY,Ambedkarite Party of India,546,147,693
S25,238,BANDWAN,6,BIJAY KUMAR MANDI,Independent,303,96,399
S25,238,BANDWAN,6,SOBHARAM MURMU,Independent,261,52,313
