State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,243,MANBAZAR,1,MAMATA HANSDA (MANDI),Bahujan Samaj Party,0,83,83
S25,243,MANBAZAR,1,MAYNA MURMU,Bharatiya Janata Party,0,6180,6180
S25,243,MANBAZAR,1,SHANTIMANI MURMU,Communist Party of India (Marxist),0,799,799
S25,243,MANBAZAR,1,SANDHYA RANI TUDU,All India Trinamool Congress,0,6159,6159
S25,243,MANBAZAR,1,SAMBARI MAHALI,Indian National Congress,0,193,193
S25,243,MANBAZAR,1,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,0,50,50
S25,243,MANBAZAR,1,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),0,33,33
S25,243,MANBAZAR,1,AMULYA SAREN,Independent,0,79,79
S25,243,MANBAZAR,1,NOTA,None of the Above,0,104,104
S25,243,MANBAZAR,2,MAMATA HANSDA (MANDI),Bahujan Samaj Party,83,86,169
S25,243,MANBAZAR,2,MAYNA MURMU,Bharatiya Janata Party,6180,7869,14049
S25,243,MANBAZAR,2,SHANTIMANI MURMU,Communist Party of India (Marxist),799,382,1181
S25,243,MANBAZAR,2,SANDHYA RANI TUDU,All India Trinamool Congress,6159,6547,12706
S25,243,MANBAZAR,2,SAMBARI MAHALI,Indian National Congress,193,108,301
S25,243,MANBAZAR,2,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,50,87,137
S25,243,MANBAZAR,2,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),33,108,141
S25,243,MANBAZAR,2,AMULYA SAREN,Independent,79,106,185
S25,243,MANBAZAR,2,NOTA,None of the Above,104,115,219
S25,243,MANBAZAR,3,MAMATA HANSDA (MANDI),Bahujan Samaj Party,169,94,263
S25,243,MANBAZAR,3,MAYNA MURMU,Bharatiya Janata Party,14049,6814,20863
S25,243,MANBAZAR,3,SHANTIMANI MURMU,Communist Party of India (Marxist),1181,709,1890
S25,243,MANBAZAR,3,SANDHYA RANI TUDU,All India Trinamool Congress,12706,7866,20572
S25,243,MANBAZAR,3,SAMBARI MAHALI,Indian National Congress,301,84,385
S25,243,MANBAZAR,3,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,137,46,183
S25,243,MANBAZAR,3,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),141,23,164
S25,243,MANBAZAR,3,AMULYA SAREN,Independent,185,70,255
S25,243,MANBAZAR,3,NOTA,None of the Above,219,101,320
S25,243,MANBAZAR,4,MAMATA HANSDA (MANDI),Bahujan Samaj Party,263,62,325
S25,243,MANBAZAR,4,MAYNA MURMU,Bharatiya Janata Party,20863,6774,27637
S25,243,MANBAZAR,4,SHANTIMANI MURMU,Communist Party of India (Marxist),1890,518,2408
S25,243,MANBAZAR,4,SANDHYA RANI TUDU,All India Trinamool Congress,20572,6190,26762
S25,243,MANBAZAR,4,SAMBARI MAHALI,Indian National Congress,385,106,491
S25,243,MANBAZAR,4,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,183,35,218
S25,243,MANBAZAR,4,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),164,19,183
S25,243,MANBAZAR,4,AMULYA SAREN,Independent,255,64,319
S25,243,MANBAZAR,4,NOTA,None of the Above,320,66,386
S25,243,MANBAZAR,5,MAMATA HANSDA (MANDI),Bahujan Samaj Party,325,98,423
S25,243,MANBAZAR,5,MAYNA MURMU,Bharatiya Janata Party,27637,7120,34757
S25,243,MANBAZAR,5,SHANTIMANI MURMU,Communist Party of India (Marxist),2408,1342,3750
S25,243,MANBAZAR,5,SANDHYA RANI TUDU,All India Trinamool Congress,26762,6253,33015
S25,243,MANBAZAR,5,SAMBARI MAHALI,Indian National Congress,491,128,619
S25,243,MANBAZAR,5,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,218,67,285
S25,243,MANBAZAR,5,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),183,40,223
S25,243,MANBAZAR,5,AMULYA SAREN,Independent,319,86,405
S25,243,MANBAZAR,5,NOTA,None of the Above,386,135,521
S25,243,MANBAZAR,6,MAMATA HANSDA (MANDI),Bahujan Samaj Party,423,105,528
S25,243,MANBAZAR,6,MAYNA MURMU,Bharatiya Janata Party,34757,8010,42767
S25,243,MANBAZAR,6,SHANTIMANI MURMU,Communist Party of India (Marxist),3750,1094,4844
S25,243,MANBAZAR,6,SANDHYA RANI TUDU,All India Trinamool Congress,33015,5870,38885
S25,243,MANBAZAR,6,SAMBARI MAHALI,Indian National Congress,619,126,745
S25,243,MANBAZAR,6,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,285,48,333
S25,243,MANBAZAR,6,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),223,42,265
S25,243,MANBAZAR,6,AMULYA SAREN,Independent,405,92,497
S25,243,MANBAZAR,6,NOTA,None of the Above,521,107,628
S25,243,MANBAZAR,7,MAMATA HANSDA (MANDI),Bahujan Samaj Party,528,135,663
S25,243,MANBAZAR,7,MAYNA MURMU,Bharatiya Janata Party,42767,8588,51355
S25,243,MANBAZAR,7,SHANTIMANI MURMU,Communist Party of India (Marxist),4844,481,5325
S25,243,MANBAZAR,7,SANDHYA RANI TUDU,All India Trinamool Congress,38885,4959,43844
S25,243,MANBAZAR,7,SAMBARI MAHALI,Indian National Congress,745,130,875
S25,243,MANBAZAR,7,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,333,71,404
S25,243,MANBAZAR,7,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),265,86,351
S25,243,MANBAZAR,7,AMULYA SAREN,Independent,497,113,610
S25,243,MANBAZAR,7,NOTA,None of the Above,628,155,783
S25,243,MANBAZAR,8,MAMATA HANSDA (MANDI),Bahujan Samaj Party,663,154,817
S25,243,MANBAZAR,8,MAYNA MURMU,Bharatiya Janata Party,51355,7210,58565
S25,243,MANBAZAR,8,SHANTIMANI MURMU,Communist Party of India (Marxist),5325,651,5976
S25,243,MANBAZAR,8,SANDHYA RANI TUDU,All India Trinamool Congress,43844,5240,49084
S25,243,MANBAZAR,8,SAMBARI MAHALI,Indian National Congress,875,152,1027
S25,243,MANBAZAR,8,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,404,69,473
S25,243,MANBAZAR,8,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),351,54,405
S25,243,MANBAZAR,8,AMULYA SAREN,Independent,610,126,736
S25,243,MANBAZAR,8,NOTA,None of the Above,783,148,931
S25,243,MANBAZAR,9,MAMATA HANSDA (MANDI),Bahujan Samaj Party,817,86,903
S25,243,MANBAZAR,9,MAYNA MURMU,Bharatiya Janata Party,58565,6729,65294
S25,243,MANBAZAR,9,SHANTIMANI MURMU,Communist Party of India (Marxist),5976,542,6518
S25,243,MANBAZAR,9,SANDHYA RANI TUDU,All India Trinamool Congress,49084,6693,55777
