State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,247,SALTORA,1,AMARKANTA MANDAL,Indian National Congress,0,204,204
S25,247,SALTORA,1,UTTAM BAURI,All India Trinamool Congress,0,5589,5589
S25,247,SALTORA,1,CHANDANA BAURI,Bharatiya Janata Party,0,7185,7185
S25,247,SALTORA,1,NANDADULAL BAURI,Communist Party of India (Marxist),0,634,634
S25,247,SALTORA,1,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),0,115,115
S25,247,SALTORA,1,ADITYA KUMAR BAURI,Independent,0,115,115
S25,247,SALTORA,1,NOTA,None of the Above,0,188,188
S25,247,SALTORA,2,AMARKANTA MANDAL,Indian National Congress,204,243,447
S25,247,SALTORA,2,UTTAM BAURI,All India Trinamool Congress,5589,6627,12216
S25,247,SALTORA,2,CHANDANA BAURI,Bharatiya Janata Party,7185,6671,13856
S25,247,SALTORA,2,NANDADULAL BAURI,Communist Party of India (Marxist),634,560,1194
S25,247,SALTORA,2,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),115,123,238
S25,247,SALTORA,2,ADITYA KUMAR BAURI,Independent,115,164,279
S25,247,SALTORA,2,NOTA,None of the Above,188,162,350
S25,247,SALTORA,3,AMARKANTA MANDAL,Indian National Congress,447,239,686
S25,247,SALTORA,3,UTTAM BAURI,All India Trinamool Congress,12216,6485,18701
S25,247,SALTORA,3,CHANDANA BAURI,Bharatiya Janata Party,13856,7608,21464
S25,247,SALTORA,3,NANDADULAL BAURI,Communist Party of India (Marxist),1194,531,1725
S25,247,SALTORA,3,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),238,131,369
S25,247,SALTORA,3,ADITYA KUMAR BAURI,Independent,279,163,442
S25,247,SALTORA,3,NOTA,None of the Above,350,203,553
S25,247,SALTORA,4,AMARKANTA MANDAL,Indian National Congress,686,211,897
S25,247,SALTORA,4,UTTAM BAURI,All India Trinamool Congress,18701,5444,24145
S25,247,SALTORA,4,CHANDANA BAURI,Bharatiya Janata Party,21464,9448,30912
S25,247,SALTORA,4,NANDADULAL BAURI,Communist Party of India (Marxist),1725,627,2352
S25,247,SALTORA,4,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),369,133,502
S25,247,SALTORA,4,ADITYA KUMAR BAURI,Independent,442,151,593
S25,247,SALTORA,4,NOTA,None of the Above,553,179,732
S25,247,SALTORA,5,AMARKANTA MANDAL,Indian National Congress,897,212,1109
S25,247,SALTORA,5,UTTAM BAURI,All India Trinamool Congress,24145,5131,29276
S25,247,SALTORA,5,CHANDANA BAURI,Bharatiya Janata Party,30912,9232,40144
S25,247,SALTORA,5,NANDADULAL BAURI,Communist Party of India (Marxist),2352,553,2905
S25,247,SALTORA,5,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),502,172,674
S25,247,SALTORA,5,ADITYA KUMAR BAURI,Independent,593,144,737
S25,247,SALTORA,5,NOTA,None of the Above,732,161,893
S25,247,SALTORA,6,AMARKANTA MANDAL,Indian National Congress,1109,238,1347
S25,247,SALTORA,6,UTTAM BAURI,All India Trinamool Congress,29276,5191,34467
S25,247,SALTORA,6,CHANDANA BAURI,Bharatiya Janata Party,40144,8077,48221
S25,247,SALTORA,6,NANDADULAL BAURI,Communist Party of India (Marxist),2905,888,3793
S25,247,SALTORA,6,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),674,167,841
S25,247,SALTORA,6,ADITYA KUMAR BAURI,Independent,737,140,877
S25,247,SALTORA,6,NOTA,None of the Above,893,265,1158
S25,247,SALTORA,7,AMARKANTA MANDAL,Indian National Congress,1347,295,1642
S25,247,SALTORA,7,UTTAM BAURI,All India Trinamool Congress,34467,5396,39863
S25,247,SALTORA,7,CHANDANA BAURI,Bharatiya Janata Party,48221,8051,56272
S25,247,SALTORA,7,NANDADULAL BAURI,Communist Party of India (Marxist),3793,787,4580
S25,247,SALTORA,7,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),841,184,1025
S25,247,SALTORA,7,ADITYA KUMAR BAURI,Independent,877,153,1030
S25,247,SALTORA,7,NOTA,None of the Above,1158,240,1398
S25,247,SALTORA,8,AMARKANTA MANDAL,Indian National Congress,1642,234,1876
S25,247,SALTORA,8,UTTAM BAURI,All India Trinamool Congress,39863,6288,46151
S25,247,SALTORA,8,CHANDANA BAURI,Bharatiya Janata Party,56272,7874,64146
S25,247,SALTORA,8,NANDADULAL BAURI,Communist Party of India (Marxist),4580,833,5413
S25,247,SALTORA,8,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),1025,136,1161
S25,247,SALTORA,8,ADITYA KUMAR BAURI,Independent,1030,137,1167
S25,247,SALTORA,8,NOTA,None of the Above,1398,186,1584
S25,247,SALTORA,9,AMARKANTA MANDAL,Indian National Congress,1876,163,2039
S25,247,SALTORA,9,UTTAM BAURI,All India Trinamool Congress,46151,6086,52237
S25,247,SALTORA,9,CHANDANA BAURI,Bharatiya Janata Party,64146,7201,71347
S25,247,SALTORA,9,NANDADULAL BAURI,Communist Party of India (Marxist),5413,778,6191
S25,247,SALTORA,9,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),1161,103,1264
S25,247,SALTORA,9,ADITYA KUMAR BAURI,Independent,1167,110,1277
S25,247,SALTORA,9,NOTA,None of the Above,1584,161,1745
S25,247,SALTORA,10,AMARKANTA MANDAL,Indian National Congress,2039,168,2207
S25,247,SALTORA,10,UTTAM BAURI,All India Trinamool Congress,52237,5325,57562
S25,247,SALTORA,10,CHANDANA BAURI,Bharatiya Janata Party,71347,7148,78495
S25,247,SALTORA,10,NANDADULAL BAURI,Communist Party of India (Marxist),6191,693,6884
S25,247,SALTORA,10,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),1264,95,1359
S25,247,SALTORA,10,ADITYA KUMAR BAURI,Independent,1277,89,1366
S25,247,SALTORA,10,NOTA,None of the Above,1745,134,1879
S25,247,SALTORA,11,AMARKANTA MANDAL,Indian National Congress,2207,181,2388
S25,247,SALTORA,11,UTTAM BAURI,All India Trinamool Congress,57562,4841,62403
