State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,248,CHHATNA,1,PARTHA PRATIM BOSE,Indian National Congress,0,162,162
S25,248,CHHATNA,1,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,0,6371,6371
S25,248,CHHATNA,1,SWAPAN KUMAR MONDAL,All India Trinamool Congress,0,4853,4853
S25,248,CHHATNA,1,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),0,90,90
S25,248,CHHATNA,1,DHANESWAR HANSDA,Aam Janata Unnayan party,0,88,88
S25,248,CHHATNA,1,RAJIB LOCHAN KAR,Revolutionary Socialist Party,0,561,561
S25,248,CHHATNA,1,RAFIK DALAL,Rashtriya Lok Janshakti Party,0,120,120
S25,248,CHHATNA,1,MADHU SUDAN MANDAL,Independent,0,71,71
S25,248,CHHATNA,1,NOTA,None of the Above,0,154,154
S25,248,CHHATNA,2,PARTHA PRATIM BOSE,Indian National Congress,162,111,273
S25,248,CHHATNA,2,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,6371,5753,12124
S25,248,CHHATNA,2,SWAPAN KUMAR MONDAL,All India Trinamool Congress,4853,3389,8242
S25,248,CHHATNA,2,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),90,104,194
S25,248,CHHATNA,2,DHANESWAR HANSDA,Aam Janata Unnayan party,88,22,110
S25,248,CHHATNA,2,RAJIB LOCHAN KAR,Revolutionary Socialist Party,561,302,863
S25,248,CHHATNA,2,RAFIK DALAL,Rashtriya Lok Janshakti Party,120,96,216
S25,248,CHHATNA,2,MADHU SUDAN MANDAL,Independent,71,60,131
S25,248,CHHATNA,2,NOTA,None of the Above,154,125,279
S25,248,CHHATNA,3,PARTHA PRATIM BOSE,Indian National Congress,273,116,389
S25,248,CHHATNA,3,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,12124,5562,17686
S25,248,CHHATNA,3,SWAPAN KUMAR MONDAL,All India Trinamool Congress,8242,3441,11683
S25,248,CHHATNA,3,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),194,61,255
S25,248,CHHATNA,3,DHANESWAR HANSDA,Aam Janata Unnayan party,110,31,141
S25,248,CHHATNA,3,RAJIB LOCHAN KAR,Revolutionary Socialist Party,863,408,1271
S25,248,CHHATNA,3,RAFIK DALAL,Rashtriya Lok Janshakti Party,216,97,313
S25,248,CHHATNA,3,MADHU SUDAN MANDAL,Independent,131,83,214
S25,248,CHHATNA,3,NOTA,None of the Above,279,150,429
S25,248,CHHATNA,4,PARTHA PRATIM BOSE,Indian National Congress,389,82,471
S25,248,CHHATNA,4,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,17686,5002,22688
S25,248,CHHATNA,4,SWAPAN KUMAR MONDAL,All India Trinamool Congress,11683,2963,14646
S25,248,CHHATNA,4,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),255,43,298
S25,248,CHHATNA,4,DHANESWAR HANSDA,Aam Janata Unnayan party,141,54,195
S25,248,CHHATNA,4,RAJIB LOCHAN KAR,Revolutionary Socialist Party,1271,264,1535
S25,248,CHHATNA,4,RAFIK DALAL,Rashtriya Lok Janshakti Party,313,98,411
S25,248,CHHATNA,4,MADHU SUDAN MANDAL,Independent,214,85,299
S25,248,CHHATNA,4,NOTA,None of the Above,429,102,531
S25,248,CHHATNA,5,PARTHA PRATIM BOSE,Indian National Congress,471,106,577
S25,248,CHHATNA,5,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,22688,5277,27965
S25,248,CHHATNA,5,SWAPAN KUMAR MONDAL,All India Trinamool Congress,14646,4894,19540
S25,248,CHHATNA,5,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),298,66,364
S25,248,CHHATNA,5,DHANESWAR HANSDA,Aam Janata Unnayan party,195,27,222
S25,248,CHHATNA,5,RAJIB LOCHAN KAR,Revolutionary Socialist Party,1535,490,2025
S25,248,CHHATNA,5,RAFIK DALAL,Rashtriya Lok Janshakti Party,411,104,515
S25,248,CHHATNA,5,MADHU SUDAN MANDAL,Independent,299,47,346
S25,248,CHHATNA,5,NOTA,None of the Above,531,106,637
S25,248,CHHATNA,6,PARTHA PRATIM BOSE,Indian National Congress,577,85,662
S25,248,CHHATNA,6,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,27965,5208,33173
S25,248,CHHATNA,6,SWAPAN KUMAR MONDAL,All India Trinamool Congress,19540,3668,23208
S25,248,CHHATNA,6,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),364,70,434
S25,248,CHHATNA,6,DHANESWAR HANSDA,Aam Janata Unnayan party,222,29,251
S25,248,CHHATNA,6,RAJIB LOCHAN KAR,Revolutionary Socialist Party,2025,544,2569
S25,248,CHHATNA,6,RAFIK DALAL,Rashtriya Lok Janshakti Party,515,107,622
S25,248,CHHATNA,6,MADHU SUDAN MANDAL,Independent,346,86,432
S25,248,CHHATNA,6,NOTA,None of the Above,637,125,762
S25,248,CHHATNA,7,PARTHA PRATIM BOSE,Indian National Congress,662,70,732
S25,248,CHHATNA,7,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,33173,6236,39409
S25,248,CHHATNA,7,SWAPAN KUMAR MONDAL,All India Trinamool Congress,23208,3345,26553
S25,248,CHHATNA,7,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),434,52,486
S25,248,CHHATNA,7,DHANESWAR HANSDA,Aam Janata Unnayan party,251,29,280
S25,248,CHHATNA,7,RAJIB LOCHAN KAR,Revolutionary Socialist Party,2569,166,2735
S25,248,CHHATNA,7,RAFIK DALAL,Rashtriya Lok Janshakti Party,622,98,720
S25,248,CHHATNA,7,MADHU SUDAN MANDAL,Independent,432,75,507
S25,248,CHHATNA,7,NOTA,None of the Above,762,101,863
S25,248,CHHATNA,8,PARTHA PRATIM BOSE,Indian National Congress,732,108,840
S25,248,CHHATNA,8,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,39409,5373,44782
S25,248,CHHATNA,8,SWAPAN KUMAR MONDAL,All India Trinamool Congress,26553,3978,30531
S25,248,CHHATNA,8,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),486,71,557
S25,248,CHHATNA,8,DHANESWAR HANSDA,Aam Janata Unnayan party,280,28,308
