State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,249,RANIBANDH,1,KSHUDIRAM TUDU,Bharatiya Janata Party,0,6006,6006
S25,249,RANIBANDH,1,GURUPADA SARDAR,Indian National Congress,0,98,98
S25,249,RANIBANDH,1,TANUSHREE HANSDA,All India Trinamool Congress,0,4086,4086
S25,249,RANIBANDH,1,DEBLINA HEMBRAM,Communist Party of India (Marxist),0,873,873
S25,249,RANIBANDH,1,MONORANJAN BESRA,Ambedkarite Party of India,0,64,64
S25,249,RANIBANDH,1,MAHESWAR BESRA,Aam Janata Unnayan party,0,12,12
S25,249,RANIBANDH,1,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),0,79,79
S25,249,RANIBANDH,1,GOUR HEMBRAM,Independent,0,19,19
S25,249,RANIBANDH,1,GOPAL CHANDRA KISKU,Independent,0,13,13
S25,249,RANIBANDH,1,FULCHAND HANSDA,Independent,0,28,28
S25,249,RANIBANDH,1,BABURAM KISKU,Independent,0,53,53
S25,249,RANIBANDH,1,SARASWATI  SARDAR,Independent,0,119,119
S25,249,RANIBANDH,1,SURAJIT BASKEY,Independent,0,66,66
S25,249,RANIBANDH,1,NOTA,None of the Above,0,196,196
S25,249,RANIBANDH,2,KSHUDIRAM TUDU,Bharatiya Janata Party,6006,8170,14176
S25,249,RANIBANDH,2,GURUPADA SARDAR,Indian National Congress,98,161,259
S25,249,RANIBANDH,2,TANUSHREE HANSDA,All India Trinamool Congress,4086,4104,8190
S25,249,RANIBANDH,2,DEBLINA HEMBRAM,Communist Party of India (Marxist),873,668,1541
S25,249,RANIBANDH,2,MONORANJAN BESRA,Ambedkarite Party of India,64,95,159
S25,249,RANIBANDH,2,MAHESWAR BESRA,Aam Janata Unnayan party,12,32,44
S25,249,RANIBANDH,2,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),79,84,163
S25,249,RANIBANDH,2,GOUR HEMBRAM,Independent,19,19,38
S25,249,RANIBANDH,2,GOPAL CHANDRA KISKU,Independent,13,34,47
S25,249,RANIBANDH,2,FULCHAND HANSDA,Independent,28,39,67
S25,249,RANIBANDH,2,BABURAM KISKU,Independent,53,50,103
S25,249,RANIBANDH,2,SARASWATI  SARDAR,Independent,119,115,234
S25,249,RANIBANDH,2,SURAJIT BASKEY,Independent,66,75,141
S25,249,RANIBANDH,2,NOTA,None of the Above,196,242,438
S25,249,RANIBANDH,3,KSHUDIRAM TUDU,Bharatiya Janata Party,14176,7282,21458
S25,249,RANIBANDH,3,GURUPADA SARDAR,Indian National Congress,259,118,377
S25,249,RANIBANDH,3,TANUSHREE HANSDA,All India Trinamool Congress,8190,4417,12607
S25,249,RANIBANDH,3,DEBLINA HEMBRAM,Communist Party of India (Marxist),1541,1029,2570
S25,249,RANIBANDH,3,MONORANJAN BESRA,Ambedkarite Party of India,159,78,237
S25,249,RANIBANDH,3,MAHESWAR BESRA,Aam Janata Unnayan party,44,25,69
S25,249,RANIBANDH,3,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),163,57,220
S25,249,RANIBANDH,3,GOUR HEMBRAM,Independent,38,16,54
S25,249,RANIBANDH,3,GOPAL CHANDRA KISKU,Independent,47,23,70
S25,249,RANIBANDH,3,FULCHAND HANSDA,Independent,67,82,149
S25,249,RANIBANDH,3,BABURAM KISKU,Independent,103,57,160
S25,249,RANIBANDH,3,SARASWATI  SARDAR,Independent,234,131,365
S25,249,RANIBANDH,3,SURAJIT BASKEY,Independent,141,96,237
S25,249,RANIBANDH,3,NOTA,None of the Above,438,264,702
S25,249,RANIBANDH,4,KSHUDIRAM TUDU,Bharatiya Janata Party,21458,7370,28828
S25,249,RANIBANDH,4,GURUPADA SARDAR,Indian National Congress,377,131,508
S25,249,RANIBANDH,4,TANUSHREE HANSDA,All India Trinamool Congress,12607,4014,16621
S25,249,RANIBANDH,4,DEBLINA HEMBRAM,Communist Party of India (Marxist),2570,1019,3589
S25,249,RANIBANDH,4,MONORANJAN BESRA,Ambedkarite Party of India,237,78,315
S25,249,RANIBANDH,4,MAHESWAR BESRA,Aam Janata Unnayan party,69,37,106
S25,249,RANIBANDH,4,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),220,286,506
S25,249,RANIBANDH,4,GOUR HEMBRAM,Independent,54,43,97
S25,249,RANIBANDH,4,GOPAL CHANDRA KISKU,Independent,70,26,96
S25,249,RANIBANDH,4,FULCHAND HANSDA,Independent,149,34,183
S25,249,RANIBANDH,4,BABURAM KISKU,Independent,160,60,220
S25,249,RANIBANDH,4,SARASWATI  SARDAR,Independent,365,128,493
S25,249,RANIBANDH,4,SURAJIT BASKEY,Independent,237,98,335
S25,249,RANIBANDH,4,NOTA,None of the Above,702,325,1027
S25,249,RANIBANDH,5,KSHUDIRAM TUDU,Bharatiya Janata Party,28828,6581,35409
S25,249,RANIBANDH,5,GURUPADA SARDAR,Indian National Congress,508,102,610
S25,249,RANIBANDH,5,TANUSHREE HANSDA,All India Trinamool Congress,16621,4351,20972
S25,249,RANIBANDH,5,DEBLINA HEMBRAM,Communist Party of India (Marxist),3589,944,4533
S25,249,RANIBANDH,5,MONORANJAN BESRA,Ambedkarite Party of India,315,64,379
S25,249,RANIBANDH,5,MAHESWAR BESRA,Aam Janata Unnayan party,106,20,126
S25,249,RANIBANDH,5,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),506,42,548
S25,249,RANIBANDH,5,GOUR HEMBRAM,Independent,97,19,116
S25,249,RANIBANDH,5,GOPAL CHANDRA KISKU,Independent,96,22,118
