State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,252,BANKURA,1,DR. ANUP MANDAL,All India Trinamool Congress,0,3565,3565
S25,252,BANKURA,1,AVOYANANDA MUKHOPADHYAY,Communist Party of India (Marxist),0,352,352
S25,252,BANKURA,1,ARUP BANERJEE,Indian National Congress,0,107,107
S25,252,BANKURA,1,NILADRI SEKHAR DANA,Bharatiya Janata Party,0,5993,5993
S25,252,BANKURA,1,ARUN CHAND,Rashtriya Lok Janshakti Party,0,70,70
S25,252,BANKURA,1,LINA GHOSH,Socialist Unity Centre Of India (COMMUNIST),0,75,75
S25,252,BANKURA,1,ASHIK MAHAMMAD KHAN,Independent,0,27,27
S25,252,BANKURA,1,RINKU NANDI,Independent,0,61,61
S25,252,BANKURA,1,NOTA,None of the Above,0,210,210
S25,252,BANKURA,2,DR. ANUP MANDAL,All India Trinamool Congress,3565,3160,6725
S25,252,BANKURA,2,AVOYANANDA MUKHOPADHYAY,Communist Party of India (Marxist),352,402,754
S25,252,BANKURA,2,ARUP BANERJEE,Indian National Congress,107,87,194
S25,252,BANKURA,2,NILADRI SEKHAR DANA,Bharatiya Janata Party,5993,5842,11835
S25,252,BANKURA,2,ARUN CHAND,Rashtriya Lok Janshakti Party,70,70,140
S25,252,BANKURA,2,LINA GHOSH,Socialist Unity Centre Of India (COMMUNIST),75,61,136
S25,252,BANKURA,2,ASHIK MAHAMMAD KHAN,Independent,27,19,46
S25,252,BANKURA,2,RINKU NANDI,Independent,61,38,99
S25,252,BANKURA,2,NOTA,None of the Above,210,149,359
S25,252,BANKURA,3,DR. ANUP MANDAL,All India Trinamool Congress,6725,3319,10044
S25,252,BANKURA,3,AVOYANANDA MUKHOPADHYAY,Communist Party of India (Marxist),754,396,1150
S25,252,BANKURA,3,ARUP BANERJEE,Indian National Congress,194,94,288
S25,252,BANKURA,3,NILADRI SEKHAR DANA,Bharatiya Janata Party,11835,5247,17082
S25,252,BANKURA,3,ARUN CHAND,Rashtriya Lok Janshakti Party,140,47,187
S25,252,BANKURA,3,LINA GHOSH,Socialist Unity Centre Of India (COMMUNIST),136,62,198
S25,252,BANKURA,3,ASHIK MAHAMMAD KHAN,Independent,46,16,62
