State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,255,BISHNUPUR,1,UJJAL CHANDRA,Indian National Congress,0,151,151
S25,255,BISHNUPUR,1,TANMAY GHOSH (BUMBA),All India Trinamool Congress,0,5097,5097
S25,255,BISHNUPUR,1,SHUKLA CHATTERJEE,Bharatiya Janata Party,0,5561,5561
S25,255,BISHNUPUR,1,GULJAR BAYEN,Aam Janata Unnayan party,0,93,93
S25,255,BISHNUPUR,1,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),0,88,88
S25,255,BISHNUPUR,1,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),0,63,63
S25,255,BISHNUPUR,1,SUKLA BANDYOPADHYAY,Independent,0,101,101
S25,255,BISHNUPUR,1,NOTA,None of the Above,0,125,125
S25,255,BISHNUPUR,2,UJJAL CHANDRA,Indian National Congress,151,125,276
S25,255,BISHNUPUR,2,TANMAY GHOSH (BUMBA),All India Trinamool Congress,5097,4676,9773
S25,255,BISHNUPUR,2,SHUKLA CHATTERJEE,Bharatiya Janata Party,5561,5392,10953
S25,255,BISHNUPUR,2,GULJAR BAYEN,Aam Janata Unnayan party,93,74,167
S25,255,BISHNUPUR,2,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),88,226,314
S25,255,BISHNUPUR,2,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),63,61,124
S25,255,BISHNUPUR,2,SUKLA BANDYOPADHYAY,Independent,101,76,177
S25,255,BISHNUPUR,2,NOTA,None of the Above,125,105,230
S25,255,BISHNUPUR,3,UJJAL CHANDRA,Indian National Congress,276,156,432
S25,255,BISHNUPUR,3,TANMAY GHOSH (BUMBA),All India Trinamool Congress,9773,4380,14153
S25,255,BISHNUPUR,3,SHUKLA CHATTERJEE,Bharatiya Janata Party,10953,6337,17290
S25,255,BISHNUPUR,3,GULJAR BAYEN,Aam Janata Unnayan party,167,81,248
S25,255,BISHNUPUR,3,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),314,157,471
S25,255,BISHNUPUR,3,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),124,99,223
S25,255,BISHNUPUR,3,SUKLA BANDYOPADHYAY,Independent,177,144,321
S25,255,BISHNUPUR,3,NOTA,None of the Above,230,156,386
S25,255,BISHNUPUR,4,UJJAL CHANDRA,Indian National Congress,432,138,570
S25,255,BISHNUPUR,4,TANMAY GHOSH (BUMBA),All India Trinamool Congress,14153,3908,18061
S25,255,BISHNUPUR,4,SHUKLA CHATTERJEE,Bharatiya Janata Party,17290,7207,24497
S25,255,BISHNUPUR,4,GULJAR BAYEN,Aam Janata Unnayan party,248,103,351
S25,255,BISHNUPUR,4,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),471,114,585
S25,255,BISHNUPUR,4,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),223,84,307
S25,255,BISHNUPUR,4,SUKLA BANDYOPADHYAY,Independent,321,106,427
S25,255,BISHNUPUR,4,NOTA,None of the Above,386,112,498
S25,255,BISHNUPUR,5,UJJAL CHANDRA,Indian National Congress,570,253,823
S25,255,BISHNUPUR,5,TANMAY GHOSH (BUMBA),All India Trinamool Congress,18061,4884,22945
S25,255,BISHNUPUR,5,SHUKLA CHATTERJEE,Bharatiya Janata Party,24497,5083,29580
S25,255,BISHNUPUR,5,GULJAR BAYEN,Aam Janata Unnayan party,351,60,411
S25,255,BISHNUPUR,5,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),585,254,839
S25,255,BISHNUPUR,5,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),307,80,387
S25,255,BISHNUPUR,5,SUKLA BANDYOPADHYAY,Independent,427,73,500
S25,255,BISHNUPUR,5,NOTA,None of the Above,498,91,589
S25,255,BISHNUPUR,6,UJJAL CHANDRA,Indian National Congress,823,166,989
S25,255,BISHNUPUR,6,TANMAY GHOSH (BUMBA),All India Trinamool Congress,22945,4910,27855
S25,255,BISHNUPUR,6,SHUKLA CHATTERJEE,Bharatiya Janata Party,29580,5514,35094
S25,255,BISHNUPUR,6,GULJAR BAYEN,Aam Janata Unnayan party,411,64,475
S25,255,BISHNUPUR,6,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),839,203,1042
S25,255,BISHNUPUR,6,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),387,47,434
S25,255,BISHNUPUR,6,SUKLA BANDYOPADHYAY,Independent,500,95,595
S25,255,BISHNUPUR,6,NOTA,None of the Above,589,85,674
S25,255,BISHNUPUR,7,UJJAL CHANDRA,Indian National Congress,989,111,1100
S25,255,BISHNUPUR,7,TANMAY GHOSH (BUMBA),All India Trinamool Congress,27855,3471,31326
S25,255,BISHNUPUR,7,SHUKLA CHATTERJEE,Bharatiya Janata Party,35094,7049,42143
S25,255,BISHNUPUR,7,GULJAR BAYEN,Aam Janata Unnayan party,475,88,563
S25,255,BISHNUPUR,7,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),1042,163,1205
S25,255,BISHNUPUR,7,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),434,68,502
S25,255,BISHNUPUR,7,SUKLA BANDYOPADHYAY,Independent,595,64,659
S25,255,BISHNUPUR,7,NOTA,None of the Above,674,107,781
S25,255,BISHNUPUR,8,UJJAL CHANDRA,Indian National Congress,1100,156,1256
S25,255,BISHNUPUR,8,TANMAY GHOSH (BUMBA),All India Trinamool Congress,31326,3489,34815
S25,255,BISHNUPUR,8,SHUKLA CHATTERJEE,Bharatiya Janata Party,42143,7964,50107
S25,255,BISHNUPUR,8,GULJAR BAYEN,Aam Janata Unnayan party,563,65,628
S25,255,BISHNUPUR,8,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),1205,270,1475
S25,255,BISHNUPUR,8,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),502,66,568
S25,255,BISHNUPUR,8,SUKLA BANDYOPADHYAY,Independent,659,100,759
S25,255,BISHNUPUR,8,NOTA,None of the Above,781,133,914
S25,255,BISHNUPUR,9,UJJAL CHANDRA,Indian National Congress,1256,134,1390
S25,255,BISHNUPUR,9,TANMAY GHOSH (BUMBA),All India Trinamool Congress,34815,3265,38080
S25,255,BISHNUPUR,9,SHUKLA CHATTERJEE,Bharatiya Janata Party,50107,6434,56541
S25,255,BISHNUPUR,9,GULJAR BAYEN,Aam Janata Unnayan party,628,63,691
S25,255,BISHNUPUR,9,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),1475,168,1643
S25,255,BISHNUPUR,9,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),568,78,646
S25,255,BISHNUPUR,9,SUKLA BANDYOPADHYAY,Independent,759,88,847
S25,255,BISHNUPUR,9,NOTA,None of the Above,914,101,1015
S25,255,BISHNUPUR,10,UJJAL CHANDRA,Indian National Congress,1390,143,1533
S25,255,BISHNUPUR,10,TANMAY GHOSH (BUMBA),All India Trinamool Congress,38080,3405,41485
S25,255,BISHNUPUR,10,SHUKLA CHATTERJEE,Bharatiya Janata Party,56541,6907,63448
S25,255,BISHNUPUR,10,GULJAR BAYEN,Aam Janata Unnayan party,691,54,745
S25,255,BISHNUPUR,10,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),1643,212,1855
S25,255,BISHNUPUR,10,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),646,57,703
S25,255,BISHNUPUR,10,SUKLA BANDYOPADHYAY,Independent,847,112,959
S25,255,BISHNUPUR,10,NOTA,None of the Above,1015,129,1144
S25,255,BISHNUPUR,11,UJJAL CHANDRA,Indian National Congress,1533,122,1655
S25,255,BISHNUPUR,11,TANMAY GHOSH (BUMBA),All India Trinamool Congress,41485,3078,44563
