State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,260,BARDHAMAN_DAKSHIN,1,KHOKAN DAS,All India Trinamool Congress,0,6218,6218
S25,260,BARDHAMAN_DAKSHIN,1,GOURAB SAMADDAR,Indian National Congress,0,206,206
S25,260,BARDHAMAN_DAKSHIN,1,PUSPA HANSDA,Bahujan Samaj Party,0,40,40
S25,260,BARDHAMAN_DAKSHIN,1,MOUMITA BISWAS MISRA,Bharatiya Janata Party,0,7013,7013
S25,260,BARDHAMAN_DAKSHIN,1,SUDIPTA GUPTA,Communist Party of India (Marxist),0,1000,1000
S25,260,BARDHAMAN_DAKSHIN,1,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),0,24,24
S25,260,BARDHAMAN_DAKSHIN,1,MOUMITA BANERJEE,Independent,0,58,58
S25,260,BARDHAMAN_DAKSHIN,1,LUXMI NARAYAN KORA,Independent,0,26,26
S25,260,BARDHAMAN_DAKSHIN,1,SANTANU DUTTA,Independent,0,21,21
S25,260,BARDHAMAN_DAKSHIN,1,NOTA,None of the Above,0,177,177
S25,260,BARDHAMAN_DAKSHIN,2,KHOKAN DAS,All India Trinamool Congress,6218,6997,13215
S25,260,BARDHAMAN_DAKSHIN,2,GOURAB SAMADDAR,Indian National Congress,206,200,406
S25,260,BARDHAMAN_DAKSHIN,2,PUSPA HANSDA,Bahujan Samaj Party,40,41,81
S25,260,BARDHAMAN_DAKSHIN,2,MOUMITA BISWAS MISRA,Bharatiya Janata Party,7013,5036,12049
S25,260,BARDHAMAN_DAKSHIN,2,SUDIPTA GUPTA,Communist Party of India (Marxist),1000,773,1773
S25,260,BARDHAMAN_DAKSHIN,2,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),24,14,38
S25,260,BARDHAMAN_DAKSHIN,2,MOUMITA BANERJEE,Independent,58,47,105
S25,260,BARDHAMAN_DAKSHIN,2,LUXMI NARAYAN KORA,Independent,26,25,51
S25,260,BARDHAMAN_DAKSHIN,2,SANTANU DUTTA,Independent,21,37,58
S25,260,BARDHAMAN_DAKSHIN,2,NOTA,None of the Above,177,164,341
S25,260,BARDHAMAN_DAKSHIN,3,KHOKAN DAS,All India Trinamool Congress,13215,4627,17842
S25,260,BARDHAMAN_DAKSHIN,3,GOURAB SAMADDAR,Indian National Congress,406,129,535
S25,260,BARDHAMAN_DAKSHIN,3,PUSPA HANSDA,Bahujan Samaj Party,81,33,114
S25,260,BARDHAMAN_DAKSHIN,3,MOUMITA BISWAS MISRA,Bharatiya Janata Party,12049,6498,18547
S25,260,BARDHAMAN_DAKSHIN,3,SUDIPTA GUPTA,Communist Party of India (Marxist),1773,575,2348
S25,260,BARDHAMAN_DAKSHIN,3,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),38,25,63
S25,260,BARDHAMAN_DAKSHIN,3,MOUMITA BANERJEE,Independent,105,46,151
S25,260,BARDHAMAN_DAKSHIN,3,LUXMI NARAYAN KORA,Independent,51,10,61
S25,260,BARDHAMAN_DAKSHIN,3,SANTANU DUTTA,Independent,58,23,81
S25,260,BARDHAMAN_DAKSHIN,3,NOTA,None of the Above,341,145,486
S25,260,BARDHAMAN_DAKSHIN,4,KHOKAN DAS,All India Trinamool Congress,17842,4226,22068
S25,260,BARDHAMAN_DAKSHIN,4,GOURAB SAMADDAR,Indian National Congress,535,134,669
S25,260,BARDHAMAN_DAKSHIN,4,PUSPA HANSDA,Bahujan Samaj Party,114,34,148
S25,260,BARDHAMAN_DAKSHIN,4,MOUMITA BISWAS MISRA,Bharatiya Janata Party,18547,6009,24556
S25,260,BARDHAMAN_DAKSHIN,4,SUDIPTA GUPTA,Communist Party of India (Marxist),2348,768,3116
S25,260,BARDHAMAN_DAKSHIN,4,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),63,20,83
S25,260,BARDHAMAN_DAKSHIN,4,MOUMITA BANERJEE,Independent,151,46,197
S25,260,BARDHAMAN_DAKSHIN,4,LUXMI NARAYAN KORA,Independent,61,18,79
S25,260,BARDHAMAN_DAKSHIN,4,SANTANU DUTTA,Independent,81,29,110
S25,260,BARDHAMAN_DAKSHIN,4,NOTA,None of the Above,486,130,616
S25,260,BARDHAMAN_DAKSHIN,5,KHOKAN DAS,All India Trinamool Congress,22068,4978,27046
S25,260,BARDHAMAN_DAKSHIN,5,GOURAB SAMADDAR,Indian National Congress,669,142,811
S25,260,BARDHAMAN_DAKSHIN,5,PUSPA HANSDA,Bahujan Samaj Party,148,31,179
S25,260,BARDHAMAN_DAKSHIN,5,MOUMITA BISWAS MISRA,Bharatiya Janata Party,24556,6827,31383
S25,260,BARDHAMAN_DAKSHIN,5,SUDIPTA GUPTA,Communist Party of India (Marxist),3116,847,3963
S25,260,BARDHAMAN_DAKSHIN,5,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),83,26,109
S25,260,BARDHAMAN_DAKSHIN,5,MOUMITA BANERJEE,Independent,197,50,247
S25,260,BARDHAMAN_DAKSHIN,5,LUXMI NARAYAN KORA,Independent,79,13,92
S25,260,BARDHAMAN_DAKSHIN,5,SANTANU DUTTA,Independent,110,26,136
S25,260,BARDHAMAN_DAKSHIN,5,NOTA,None of the Above,616,139,755
S25,260,BARDHAMAN_DAKSHIN,6,KHOKAN DAS,All India Trinamool Congress,27046,4090,31136
S25,260,BARDHAMAN_DAKSHIN,6,GOURAB SAMADDAR,Indian National Congress,811,107,918
S25,260,BARDHAMAN_DAKSHIN,6,PUSPA HANSDA,Bahujan Samaj Party,179,18,197
S25,260,BARDHAMAN_DAKSHIN,6,MOUMITA BISWAS MISRA,Bharatiya Janata Party,31383,6291,37674
S25,260,BARDHAMAN_DAKSHIN,6,SUDIPTA GUPTA,Communist Party of India (Marxist),3963,655,4618
S25,260,BARDHAMAN_DAKSHIN,6,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),109,22,131
S25,260,BARDHAMAN_DAKSHIN,6,MOUMITA BANERJEE,Independent,247,28,275
S25,260,BARDHAMAN_DAKSHIN,6,LUXMI NARAYAN KORA,Independent,92,7,99
S25,260,BARDHAMAN_DAKSHIN,6,SANTANU DUTTA,Independent,136,14,150
S25,260,BARDHAMAN_DAKSHIN,6,NOTA,None of the Above,755,107,862
S25,260,BARDHAMAN_DAKSHIN,7,KHOKAN DAS,All India Trinamool Congress,31136,4525,35661
S25,260,BARDHAMAN_DAKSHIN,7,GOURAB SAMADDAR,Indian National Congress,918,150,1068
S25,260,BARDHAMAN_DAKSHIN,7,PUSPA HANSDA,Bahujan Samaj Party,197,36,233
S25,260,BARDHAMAN_DAKSHIN,7,MOUMITA BISWAS MISRA,Bharatiya Janata Party,37674,7442,45116
