State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,261,RAINA,1,PAMPA MALIK,Indian National Congress,0,186,186
S25,261,RAINA,1,MANDIRA DALUI,All India Trinamool Congress,0,10067,10067
S25,261,RAINA,1,SUBHASH PATRA,Bharatiya Janata Party,0,4273,4273
S25,261,RAINA,1,SOMNATH MAJI,Communist Party of India (Marxist),0,1718,1718
S25,261,RAINA,1,PARESH CHANDRA BAG,Aam Janata Unnayan party,0,42,42
S25,261,RAINA,1,JABA MALIK,Independent,0,60,60
S25,261,RAINA,1,SHIULI SINGH,Independent,0,81,81
S25,261,RAINA,1,SANJU POREL,Independent,0,112,112
S25,261,RAINA,1,NOTA,None of the Above,0,133,133
S25,261,RAINA,2,PAMPA MALIK,Indian National Congress,186,152,338
S25,261,RAINA,2,MANDIRA DALUI,All India Trinamool Congress,10067,8170,18237
S25,261,RAINA,2,SUBHASH PATRA,Bharatiya Janata Party,4273,5903,10176
S25,261,RAINA,2,SOMNATH MAJI,Communist Party of India (Marxist),1718,1261,2979
S25,261,RAINA,2,PARESH CHANDRA BAG,Aam Janata Unnayan party,42,53,95
S25,261,RAINA,2,JABA MALIK,Independent,60,65,125
S25,261,RAINA,2,SHIULI SINGH,Independent,81,98,179
S25,261,RAINA,2,SANJU POREL,Independent,112,90,202
S25,261,RAINA,2,NOTA,None of the Above,133,96,229
S25,261,RAINA,3,PAMPA MALIK,Indian National Congress,338,191,529
S25,261,RAINA,3,MANDIRA DALUI,All India Trinamool Congress,18237,7356,25593
S25,261,RAINA,3,SUBHASH PATRA,Bharatiya Janata Party,10176,6157,16333
S25,261,RAINA,3,SOMNATH MAJI,Communist Party of India (Marxist),2979,1474,4453
S25,261,RAINA,3,PARESH CHANDRA BAG,Aam Janata Unnayan party,95,33,128
S25,261,RAINA,3,JABA MALIK,Independent,125,43,168
S25,261,RAINA,3,SHIULI SINGH,Independent,179,73,252
S25,261,RAINA,3,SANJU POREL,Independent,202,112,314
S25,261,RAINA,3,NOTA,None of the Above,229,89,318
S25,261,RAINA,4,PAMPA MALIK,Indian National Congress,529,161,690
S25,261,RAINA,4,MANDIRA DALUI,All India Trinamool Congress,25593,6715,32308
S25,261,RAINA,4,SUBHASH PATRA,Bharatiya Janata Party,16333,9775,26108
S25,261,RAINA,4,SOMNATH MAJI,Communist Party of India (Marxist),4453,1144,5597
S25,261,RAINA,4,PARESH CHANDRA BAG,Aam Janata Unnayan party,128,37,165
S25,261,RAINA,4,JABA MALIK,Independent,168,56,224
S25,261,RAINA,4,SHIULI SINGH,Independent,252,111,363
S25,261,RAINA,4,SANJU POREL,Independent,314,103,417
S25,261,RAINA,4,NOTA,None of the Above,318,115,433
S25,261,RAINA,5,PAMPA MALIK,Indian National Congress,690,142,832
S25,261,RAINA,5,MANDIRA DALUI,All India Trinamool Congress,32308,8646,40954
S25,261,RAINA,5,SUBHASH PATRA,Bharatiya Janata Party,26108,7358,33466
S25,261,RAINA,5,SOMNATH MAJI,Communist Party of India (Marxist),5597,1749,7346
S25,261,RAINA,5,PARESH CHANDRA BAG,Aam Janata Unnayan party,165,59,224
S25,261,RAINA,5,JABA MALIK,Independent,224,48,272
S25,261,RAINA,5,SHIULI SINGH,Independent,363,91,454
S25,261,RAINA,5,SANJU POREL,Independent,417,106,523
S25,261,RAINA,5,NOTA,None of the Above,433,99,532
S25,261,RAINA,6,PAMPA MALIK,Indian National Congress,832,151,983
S25,261,RAINA,6,MANDIRA DALUI,All India Trinamool Congress,40954,6548,47502
S25,261,RAINA,6,SUBHASH PATRA,Bharatiya Janata Party,33466,8089,41555
S25,261,RAINA,6,SOMNATH MAJI,Communist Party of India (Marxist),7346,1462,8808
S25,261,RAINA,6,PARESH CHANDRA BAG,Aam Janata Unnayan party,224,48,272
S25,261,RAINA,6,JABA MALIK,Independent,272,35,307
S25,261,RAINA,6,SHIULI SINGH,Independent,454,78,532
S25,261,RAINA,6,SANJU POREL,Independent,523,83,606
S25,261,RAINA,6,NOTA,None of the Above,532,112,644
S25,261,RAINA,7,PAMPA MALIK,Indian National Congress,983,137,1120
S25,261,RAINA,7,MANDIRA DALUI,All India Trinamool Congress,47502,6327,53829
S25,261,RAINA,7,SUBHASH PATRA,Bharatiya Janata Party,41555,7758,49313
S25,261,RAINA,7,SOMNATH MAJI,Communist Party of India (Marxist),8808,1773,10581
S25,261,RAINA,7,PARESH CHANDRA BAG,Aam Janata Unnayan party,272,40,312
S25,261,RAINA,7,JABA MALIK,Independent,307,61,368
S25,261,RAINA,7,SHIULI SINGH,Independent,532,87,619
S25,261,RAINA,7,SANJU POREL,Independent,606,80,686
S25,261,RAINA,7,NOTA,None of the Above,644,93,737
S25,261,RAINA,8,PAMPA MALIK,Indian National Congress,1120,124,1244
S25,261,RAINA,8,MANDIRA DALUI,All India Trinamool Congress,53829,7338,61167
S25,261,RAINA,8,SUBHASH PATRA,Bharatiya Janata Party,49313,5844,55157
S25,261,RAINA,8,SOMNATH MAJI,Communist Party of India (Marxist),10581,2305,12886
S25,261,RAINA,8,PARESH CHANDRA BAG,Aam Janata Unnayan party,312,61,373
S25,261,RAINA,8,JABA MALIK,Independent,368,52,420
S25,261,RAINA,8,SHIULI SINGH,Independent,619,80,699
S25,261,RAINA,8,SANJU POREL,Independent,686,80,766
S25,261,RAINA,8,NOTA,None of the Above,737,90,827
S25,261,RAINA,9,PAMPA MALIK,Indian National Congress,1244,115,1359
S25,261,RAINA,9,MANDIRA DALUI,All India Trinamool Congress,61167,5721,66888
S25,261,RAINA,9,SUBHASH PATRA,Bharatiya Janata Party,55157,8708,63865
S25,261,RAINA,9,SOMNATH MAJI,Communist Party of India (Marxist),12886,770,13656
S25,261,RAINA,9,PARESH CHANDRA BAG,Aam Janata Unnayan party,373,31,404
S25,261,RAINA,9,JABA MALIK,Independent,420,33,453
S25,261,RAINA,9,SHIULI SINGH,Independent,699,102,801
S25,261,RAINA,9,SANJU POREL,Independent,766,94,860
S25,261,RAINA,9,NOTA,None of the Above,827,72,899
S25,261,RAINA,10,PAMPA MALIK,Indian National Congress,1359,110,1469
S25,261,RAINA,10,MANDIRA DALUI,All India Trinamool Congress,66888,5378,72266
