State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,266,BARDHAMAN_UTTAR,1,NISITH KUMAR MALIK,All India Trinamool Congress,0,7939,7939
S25,266,BARDHAMAN_UTTAR,1,MAMONI MONDAL (ROY),Communist Party of India (Marxist),0,966,966
S25,266,BARDHAMAN_UTTAR,1,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,0,63,63
S25,266,BARDHAMAN_UTTAR,1,SANJOY DAS,Bharatiya Janata Party,0,5995,5995
S25,266,BARDHAMAN_UTTAR,1,SUDIP DAS,Indian National Congress,0,147,147
S25,266,BARDHAMAN_UTTAR,1,SUCHAND DAS,Aam Janata Unnayan party,0,31,31
S25,266,BARDHAMAN_UTTAR,1,GANESH MAJHI,Independent,0,52,52
S25,266,BARDHAMAN_UTTAR,1,DIPALI BAURI,Independent,0,27,27
S25,266,BARDHAMAN_UTTAR,1,PRIYANKA DAS,Independent,0,86,86
S25,266,BARDHAMAN_UTTAR,1,NOTA,None of the Above,0,224,224
S25,266,BARDHAMAN_UTTAR,2,NISITH KUMAR MALIK,All India Trinamool Congress,7939,7780,15719
S25,266,BARDHAMAN_UTTAR,2,MAMONI MONDAL (ROY),Communist Party of India (Marxist),966,1113,2079
S25,266,BARDHAMAN_UTTAR,2,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,63,62,125
S25,266,BARDHAMAN_UTTAR,2,SANJOY DAS,Bharatiya Janata Party,5995,5449,11444
S25,266,BARDHAMAN_UTTAR,2,SUDIP DAS,Indian National Congress,147,159,306
S25,266,BARDHAMAN_UTTAR,2,SUCHAND DAS,Aam Janata Unnayan party,31,22,53
S25,266,BARDHAMAN_UTTAR,2,GANESH MAJHI,Independent,52,55,107
S25,266,BARDHAMAN_UTTAR,2,DIPALI BAURI,Independent,27,37,64
S25,266,BARDHAMAN_UTTAR,2,PRIYANKA DAS,Independent,86,91,177
S25,266,BARDHAMAN_UTTAR,2,NOTA,None of the Above,224,304,528
S25,266,BARDHAMAN_UTTAR,3,NISITH KUMAR MALIK,All India Trinamool Congress,15719,7893,23612
S25,266,BARDHAMAN_UTTAR,3,MAMONI MONDAL (ROY),Communist Party of India (Marxist),2079,1041,3120
S25,266,BARDHAMAN_UTTAR,3,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,125,57,182
S25,266,BARDHAMAN_UTTAR,3,SANJOY DAS,Bharatiya Janata Party,11444,5523,16967
S25,266,BARDHAMAN_UTTAR,3,SUDIP DAS,Indian National Congress,306,190,496
S25,266,BARDHAMAN_UTTAR,3,SUCHAND DAS,Aam Janata Unnayan party,53,25,78
S25,266,BARDHAMAN_UTTAR,3,GANESH MAJHI,Independent,107,40,147
S25,266,BARDHAMAN_UTTAR,3,DIPALI BAURI,Independent,64,18,82
S25,266,BARDHAMAN_UTTAR,3,PRIYANKA DAS,Independent,177,53,230
S25,266,BARDHAMAN_UTTAR,3,NOTA,None of the Above,528,231,759
S25,266,BARDHAMAN_UTTAR,4,NISITH KUMAR MALIK,All India Trinamool Congress,23612,8829,32441
S25,266,BARDHAMAN_UTTAR,4,MAMONI MONDAL (ROY),Communist Party of India (Marxist),3120,1021,4141
S25,266,BARDHAMAN_UTTAR,4,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,182,80,262
S25,266,BARDHAMAN_UTTAR,4,SANJOY DAS,Bharatiya Janata Party,16967,5481,22448
S25,266,BARDHAMAN_UTTAR,4,SUDIP DAS,Indian National Congress,496,134,630
S25,266,BARDHAMAN_UTTAR,4,SUCHAND DAS,Aam Janata Unnayan party,78,26,104
S25,266,BARDHAMAN_UTTAR,4,GANESH MAJHI,Independent,147,41,188
S25,266,BARDHAMAN_UTTAR,4,DIPALI BAURI,Independent,82,30,112
S25,266,BARDHAMAN_UTTAR,4,PRIYANKA DAS,Independent,230,60,290
S25,266,BARDHAMAN_UTTAR,4,NOTA,None of the Above,759,248,1007
S25,266,BARDHAMAN_UTTAR,5,NISITH KUMAR MALIK,All India Trinamool Congress,32441,7235,39676
S25,266,BARDHAMAN_UTTAR,5,MAMONI MONDAL (ROY),Communist Party of India (Marxist),4141,814,4955
S25,266,BARDHAMAN_UTTAR,5,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,262,46,308
S25,266,BARDHAMAN_UTTAR,5,SANJOY DAS,Bharatiya Janata Party,22448,6448,28896
S25,266,BARDHAMAN_UTTAR,5,SUDIP DAS,Indian National Congress,630,96,726
