State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,268,PURBASTHALI_DAKSHIN,1,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,0,4998,4998
S25,268,PURBASTHALI_DAKSHIN,1,MANOTOSH MONDAL,Bahujan Samaj Party,0,49,49
S25,268,PURBASTHALI_DAKSHIN,1,RABINDRANATH MONDAL,Indian National Congress,0,116,116
S25,268,PURBASTHALI_DAKSHIN,1,SWAPAN DEBNATH,All India Trinamool Congress,0,5697,5697
S25,268,PURBASTHALI_DAKSHIN,1,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),0,487,487
S25,268,PURBASTHALI_DAKSHIN,1,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),0,22,22
S25,268,PURBASTHALI_DAKSHIN,1,FAJAR ALI SEIKH,Aam Janata Unnayan party,0,65,65
S25,268,PURBASTHALI_DAKSHIN,1,NOTA,None of the Above,0,105,105
S25,268,PURBASTHALI_DAKSHIN,2,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,4998,4379,9377
S25,268,PURBASTHALI_DAKSHIN,2,MANOTOSH MONDAL,Bahujan Samaj Party,49,47,96
S25,268,PURBASTHALI_DAKSHIN,2,RABINDRANATH MONDAL,Indian National Congress,116,179,295
S25,268,PURBASTHALI_DAKSHIN,2,SWAPAN DEBNATH,All India Trinamool Congress,5697,6343,12040
S25,268,PURBASTHALI_DAKSHIN,2,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),487,634,1121
S25,268,PURBASTHALI_DAKSHIN,2,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),22,24,46
S25,268,PURBASTHALI_DAKSHIN,2,FAJAR ALI SEIKH,Aam Janata Unnayan party,65,61,126
S25,268,PURBASTHALI_DAKSHIN,2,NOTA,None of the Above,105,107,212
S25,268,PURBASTHALI_DAKSHIN,3,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,9377,6081,15458
S25,268,PURBASTHALI_DAKSHIN,3,MANOTOSH MONDAL,Bahujan Samaj Party,96,21,117
S25,268,PURBASTHALI_DAKSHIN,3,RABINDRANATH MONDAL,Indian National Congress,295,51,346
S25,268,PURBASTHALI_DAKSHIN,3,SWAPAN DEBNATH,All India Trinamool Congress,12040,3964,16004
S25,268,PURBASTHALI_DAKSHIN,3,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),1121,204,1325
S25,268,PURBASTHALI_DAKSHIN,3,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),46,5,51
S25,268,PURBASTHALI_DAKSHIN,3,FAJAR ALI SEIKH,Aam Janata Unnayan party,126,16,142
S25,268,PURBASTHALI_DAKSHIN,3,NOTA,None of the Above,212,85,297
S25,268,PURBASTHALI_DAKSHIN,4,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,15458,7029,22487
S25,268,PURBASTHALI_DAKSHIN,4,MANOTOSH MONDAL,Bahujan Samaj Party,117,30,147
S25,268,PURBASTHALI_DAKSHIN,4,RABINDRANATH MONDAL,Indian National Congress,346,41,387
S25,268,PURBASTHALI_DAKSHIN,4,SWAPAN DEBNATH,All India Trinamool Congress,16004,4400,20404
S25,268,PURBASTHALI_DAKSHIN,4,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),1325,159,1484
S25,268,PURBASTHALI_DAKSHIN,4,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),51,20,71
S25,268,PURBASTHALI_DAKSHIN,4,FAJAR ALI SEIKH,Aam Janata Unnayan party,142,11,153
S25,268,PURBASTHALI_DAKSHIN,4,NOTA,None of the Above,297,94,391
S25,268,PURBASTHALI_DAKSHIN,5,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,22487,6096,28583
S25,268,PURBASTHALI_DAKSHIN,5,MANOTOSH MONDAL,Bahujan Samaj Party,147,43,190
S25,268,PURBASTHALI_DAKSHIN,5,RABINDRANATH MONDAL,Indian National Congress,387,122,509
S25,268,PURBASTHALI_DAKSHIN,5,SWAPAN DEBNATH,All India Trinamool Congress,20404,5302,25706
S25,268,PURBASTHALI_DAKSHIN,5,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),1484,415,1899
S25,268,PURBASTHALI_DAKSHIN,5,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),71,16,87
S25,268,PURBASTHALI_DAKSHIN,5,FAJAR ALI SEIKH,Aam Janata Unnayan party,153,46,199
S25,268,PURBASTHALI_DAKSHIN,5,NOTA,None of the Above,391,102,493
S25,268,PURBASTHALI_DAKSHIN,6,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,28583,8742,37325
S25,268,PURBASTHALI_DAKSHIN,6,MANOTOSH MONDAL,Bahujan Samaj Party,190,38,228
S25,268,PURBASTHALI_DAKSHIN,6,RABINDRANATH MONDAL,Indian National Congress,509,43,552
S25,268,PURBASTHALI_DAKSHIN,6,SWAPAN DEBNATH,All India Trinamool Congress,25706,2767,28473
S25,268,PURBASTHALI_DAKSHIN,6,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),1899,202,2101
S25,268,PURBASTHALI_DAKSHIN,6,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),87,18,105
S25,268,PURBASTHALI_DAKSHIN,6,FAJAR ALI SEIKH,Aam Janata Unnayan party,199,20,219
S25,268,PURBASTHALI_DAKSHIN,6,NOTA,None of the Above,493,111,604
S25,268,PURBASTHALI_DAKSHIN,7,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,37325,8116,45441
S25,268,PURBASTHALI_DAKSHIN,7,MANOTOSH MONDAL,Bahujan Samaj Party,228,45,273
S25,268,PURBASTHALI_DAKSHIN,7,RABINDRANATH MONDAL,Indian National Congress,552,54,606
S25,268,PURBASTHALI_DAKSHIN,7,SWAPAN DEBNATH,All India Trinamool Congress,28473,2666,31139
S25,268,PURBASTHALI_DAKSHIN,7,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),2101,114,2215
S25,268,PURBASTHALI_DAKSHIN,7,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),105,19,124
S25,268,PURBASTHALI_DAKSHIN,7,FAJAR ALI SEIKH,Aam Janata Unnayan party,219,23,242
S25,268,PURBASTHALI_DAKSHIN,7,NOTA,None of the Above,604,81,685
S25,268,PURBASTHALI_DAKSHIN,8,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,45441,4952,50393
S25,268,PURBASTHALI_DAKSHIN,8,MANOTOSH MONDAL,Bahujan Samaj Party,273,46,319
S25,268,PURBASTHALI_DAKSHIN,8,RABINDRANATH MONDAL,Indian National Congress,606,96,702
S25,268,PURBASTHALI_DAKSHIN,8,SWAPAN DEBNATH,All India Trinamool Congress,31139,6201,37340
S25,268,PURBASTHALI_DAKSHIN,8,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),2215,307,2522
S25,268,PURBASTHALI_DAKSHIN,8,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),124,23,147
S25,268,PURBASTHALI_DAKSHIN,8,FAJAR ALI SEIKH,Aam Janata Unnayan party,242,105,347
S25,268,PURBASTHALI_DAKSHIN,8,NOTA,None of the Above,685,85,770
S25,268,PURBASTHALI_DAKSHIN,9,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,50393,5178,55571
S25,268,PURBASTHALI_DAKSHIN,9,MANOTOSH MONDAL,Bahujan Samaj Party,319,37,356
S25,268,PURBASTHALI_DAKSHIN,9,RABINDRANATH MONDAL,Indian National Congress,702,118,820
S25,268,PURBASTHALI_DAKSHIN,9,SWAPAN DEBNATH,All India Trinamool Congress,37340,4852,42192
S25,268,PURBASTHALI_DAKSHIN,9,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),2522,429,2951
S25,268,PURBASTHALI_DAKSHIN,9,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),147,32,179
S25,268,PURBASTHALI_DAKSHIN,9,FAJAR ALI SEIKH,Aam Janata Unnayan party,347,61,408
S25,268,PURBASTHALI_DAKSHIN,9,NOTA,None of the Above,770,79,849
S25,268,PURBASTHALI_DAKSHIN,10,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,55571,2896,58467
S25,268,PURBASTHALI_DAKSHIN,10,MANOTOSH MONDAL,Bahujan Samaj Party,356,44,400
S25,268,PURBASTHALI_DAKSHIN,10,RABINDRANATH MONDAL,Indian National Congress,820,184,1004
S25,268,PURBASTHALI_DAKSHIN,10,SWAPAN DEBNATH,All India Trinamool Congress,42192,5643,47835
S25,268,PURBASTHALI_DAKSHIN,10,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),2951,615,3566
S25,268,PURBASTHALI_DAKSHIN,10,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),179,19,198
S25,268,PURBASTHALI_DAKSHIN,10,FAJAR ALI SEIKH,Aam Janata Unnayan party,408,55,463
S25,268,PURBASTHALI_DAKSHIN,10,NOTA,None of the Above,849,65,914
S25,268,PURBASTHALI_DAKSHIN,11,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,58467,4984,63451
S25,268,PURBASTHALI_DAKSHIN,11,MANOTOSH MONDAL,Bahujan Samaj Party,400,40,440
S25,268,PURBASTHALI_DAKSHIN,11,RABINDRANATH MONDAL,Indian National Congress,1004,188,1192
S25,268,PURBASTHALI_DAKSHIN,11,SWAPAN DEBNATH,All India Trinamool Congress,47835,5668,53503
