State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,269,PURBASTHALI_UTTAR,1,AMITAVA BHATTACHARYA,Indian National Congress,0,124,124
S25,269,PURBASTHALI_UTTAR,1,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,0,3699,3699
S25,269,PURBASTHALI_UTTAR,1,PRADIP KUMAR SAHA,Communist Party of India (Marxist),0,2040,2040
S25,269,PURBASTHALI_UTTAR,1,VASUNDHARA GOSWAMI,All India Trinamool Congress,0,5055,5055
S25,269,PURBASTHALI_UTTAR,1,BABAN GHOSH,Aam Janata Unnayan party,0,63,63
S25,269,PURBASTHALI_UTTAR,1,ABHIJIT DAS,Independent,0,46,46
S25,269,PURBASTHALI_UTTAR,1,DIPAK GHOSH,Independent,0,16,16
S25,269,PURBASTHALI_UTTAR,1,SUKHCHAND GHOSH,Independent,0,55,55
S25,269,PURBASTHALI_UTTAR,1,NOTA,None of the Above,0,57,57
S25,269,PURBASTHALI_UTTAR,2,AMITAVA BHATTACHARYA,Indian National Congress,124,87,211
S25,269,PURBASTHALI_UTTAR,2,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,3699,5462,9161
S25,269,PURBASTHALI_UTTAR,2,PRADIP KUMAR SAHA,Communist Party of India (Marxist),2040,1113,3153
S25,269,PURBASTHALI_UTTAR,2,VASUNDHARA GOSWAMI,All India Trinamool Congress,5055,3580,8635
S25,269,PURBASTHALI_UTTAR,2,BABAN GHOSH,Aam Janata Unnayan party,63,51,114
S25,269,PURBASTHALI_UTTAR,2,ABHIJIT DAS,Independent,46,49,95
S25,269,PURBASTHALI_UTTAR,2,DIPAK GHOSH,Independent,16,26,42
S25,269,PURBASTHALI_UTTAR,2,SUKHCHAND GHOSH,Independent,55,56,111
S25,269,PURBASTHALI_UTTAR,2,NOTA,None of the Above,57,63,120
S25,269,PURBASTHALI_UTTAR,3,AMITAVA BHATTACHARYA,Indian National Congress,211,100,311
S25,269,PURBASTHALI_UTTAR,3,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,9161,7341,16502
S25,269,PURBASTHALI_UTTAR,3,PRADIP KUMAR SAHA,Communist Party of India (Marxist),3153,974,4127
S25,269,PURBASTHALI_UTTAR,3,VASUNDHARA GOSWAMI,All India Trinamool Congress,8635,2655,11290
S25,269,PURBASTHALI_UTTAR,3,BABAN GHOSH,Aam Janata Unnayan party,114,69,183
S25,269,PURBASTHALI_UTTAR,3,ABHIJIT DAS,Independent,95,68,163
S25,269,PURBASTHALI_UTTAR,3,DIPAK GHOSH,Independent,42,48,90
S25,269,PURBASTHALI_UTTAR,3,SUKHCHAND GHOSH,Independent,111,147,258
S25,269,PURBASTHALI_UTTAR,3,NOTA,None of the Above,120,114,234
S25,269,PURBASTHALI_UTTAR,4,AMITAVA BHATTACHARYA,Indian National Congress,311,59,370
S25,269,PURBASTHALI_UTTAR,4,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,16502,4306,20808
S25,269,PURBASTHALI_UTTAR,4,PRADIP KUMAR SAHA,Communist Party of India (Marxist),4127,1654,5781
S25,269,PURBASTHALI_UTTAR,4,VASUNDHARA GOSWAMI,All India Trinamool Congress,11290,4447,15737
S25,269,PURBASTHALI_UTTAR,4,BABAN GHOSH,Aam Janata Unnayan party,183,57,240
S25,269,PURBASTHALI_UTTAR,4,ABHIJIT DAS,Independent,163,32,195
S25,269,PURBASTHALI_UTTAR,4,DIPAK GHOSH,Independent,90,22,112
S25,269,PURBASTHALI_UTTAR,4,SUKHCHAND GHOSH,Independent,258,48,306
S25,269,PURBASTHALI_UTTAR,4,NOTA,None of the Above,234,37,271
S25,269,PURBASTHALI_UTTAR,5,AMITAVA BHATTACHARYA,Indian National Congress,370,65,435
S25,269,PURBASTHALI_UTTAR,5,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,20808,5876,26684
S25,269,PURBASTHALI_UTTAR,5,PRADIP KUMAR SAHA,Communist Party of India (Marxist),5781,1276,7057
S25,269,PURBASTHALI_UTTAR,5,VASUNDHARA GOSWAMI,All India Trinamool Congress,15737,3575,19312
S25,269,PURBASTHALI_UTTAR,5,BABAN GHOSH,Aam Janata Unnayan party,240,48,288
S25,269,PURBASTHALI_UTTAR,5,ABHIJIT DAS,Independent,195,39,234
S25,269,PURBASTHALI_UTTAR,5,DIPAK GHOSH,Independent,112,28,140
S25,269,PURBASTHALI_UTTAR,5,SUKHCHAND GHOSH,Independent,306,93,399
S25,269,PURBASTHALI_UTTAR,5,NOTA,None of the Above,271,53,324
S25,269,PURBASTHALI_UTTAR,6,AMITAVA BHATTACHARYA,Indian National Congress,435,82,517
S25,269,PURBASTHALI_UTTAR,6,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,26684,5312,31996
S25,269,PURBASTHALI_UTTAR,6,PRADIP KUMAR SAHA,Communist Party of India (Marxist),7057,2006,9063
S25,269,PURBASTHALI_UTTAR,6,VASUNDHARA GOSWAMI,All India Trinamool Congress,19312,3668,22980
S25,269,PURBASTHALI_UTTAR,6,BABAN GHOSH,Aam Janata Unnayan party,288,92,380
S25,269,PURBASTHALI_UTTAR,6,ABHIJIT DAS,Independent,234,25,259
S25,269,PURBASTHALI_UTTAR,6,DIPAK GHOSH,Independent,140,14,154
S25,269,PURBASTHALI_UTTAR,6,SUKHCHAND GHOSH,Independent,399,58,457
S25,269,PURBASTHALI_UTTAR,6,NOTA,None of the Above,324,41,365
S25,269,PURBASTHALI_UTTAR,7,AMITAVA BHATTACHARYA,Indian National Congress,517,73,590
S25,269,PURBASTHALI_UTTAR,7,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,31996,5784,37780
S25,269,PURBASTHALI_UTTAR,7,PRADIP KUMAR SAHA,Communist Party of India (Marxist),9063,1371,10434
S25,269,PURBASTHALI_UTTAR,7,VASUNDHARA GOSWAMI,All India Trinamool Congress,22980,4674,27654
S25,269,PURBASTHALI_UTTAR,7,BABAN GHOSH,Aam Janata Unnayan party,380,40,420
S25,269,PURBASTHALI_UTTAR,7,ABHIJIT DAS,Independent,259,40,299
S25,269,PURBASTHALI_UTTAR,7,DIPAK GHOSH,Independent,154,16,170
S25,269,PURBASTHALI_UTTAR,7,SUKHCHAND GHOSH,Independent,457,39,496
S25,269,PURBASTHALI_UTTAR,7,NOTA,None of the Above,365,62,427
S25,269,PURBASTHALI_UTTAR,8,AMITAVA BHATTACHARYA,Indian National Congress,590,58,648
S25,269,PURBASTHALI_UTTAR,8,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,37780,3984,41764
S25,269,PURBASTHALI_UTTAR,8,PRADIP KUMAR SAHA,Communist Party of India (Marxist),10434,1735,12169
S25,269,PURBASTHALI_UTTAR,8,VASUNDHARA GOSWAMI,All India Trinamool Congress,27654,5446,33100
S25,269,PURBASTHALI_UTTAR,8,BABAN GHOSH,Aam Janata Unnayan party,420,70,490
S25,269,PURBASTHALI_UTTAR,8,ABHIJIT DAS,Independent,299,52,351
S25,269,PURBASTHALI_UTTAR,8,DIPAK GHOSH,Independent,170,27,197
S25,269,PURBASTHALI_UTTAR,8,SUKHCHAND GHOSH,Independent,496,43,539
S25,269,PURBASTHALI_UTTAR,8,NOTA,None of the Above,427,64,491
S25,269,PURBASTHALI_UTTAR,9,AMITAVA BHATTACHARYA,Indian National Congress,648,71,719
S25,269,PURBASTHALI_UTTAR,9,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,41764,5463,47227
S25,269,PURBASTHALI_UTTAR,9,PRADIP KUMAR SAHA,Communist Party of India (Marxist),12169,1263,13432
