State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,270,KATWA,1,KALIPADA GAIN,Bahujan Samaj Party,0,62,62
S25,270,KATWA,1,KRISHNA GHOSH,Bharatiya Janata Party,0,9417,9417
S25,270,KATWA,1,CHATTERJEE RANAJIT,Indian National Congress,0,158,158
S25,270,KATWA,1,RABINDRANATH CHATTERJEE,All India Trinamool Congress,0,5008,5008
S25,270,KATWA,1,SANJIB KUMAR DAS,Communist Party of India (Marxist),0,879,879
S25,270,KATWA,1,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),0,32,32
S25,270,KATWA,1,RAHUL PAL,Gondvana Gantantra Party,0,50,50
S25,270,KATWA,1,SIPPY TEWARY,Aam Janata Unnayan party,0,195,195
S25,270,KATWA,1,KRISHNA GHOSH,Independent,0,49,49
S25,270,KATWA,1,SUROJIT GHOSH,Independent,0,202,202
S25,270,KATWA,1,NOTA,None of the Above,0,110,110
S25,270,KATWA,2,KALIPADA GAIN,Bahujan Samaj Party,62,40,102
S25,270,KATWA,2,KRISHNA GHOSH,Bharatiya Janata Party,9417,6936,16353
S25,270,KATWA,2,CHATTERJEE RANAJIT,Indian National Congress,158,319,477
S25,270,KATWA,2,RABINDRANATH CHATTERJEE,All India Trinamool Congress,5008,6396,11404
S25,270,KATWA,2,SANJIB KUMAR DAS,Communist Party of India (Marxist),879,1284,2163
S25,270,KATWA,2,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),32,34,66
S25,270,KATWA,2,RAHUL PAL,Gondvana Gantantra Party,50,32,82
S25,270,KATWA,2,SIPPY TEWARY,Aam Janata Unnayan party,195,191,386
S25,270,KATWA,2,KRISHNA GHOSH,Independent,49,60,109
S25,270,KATWA,2,SUROJIT GHOSH,Independent,202,128,330
S25,270,KATWA,2,NOTA,None of the Above,110,109,219
S25,270,KATWA,3,KALIPADA GAIN,Bahujan Samaj Party,102,62,164
S25,270,KATWA,3,KRISHNA GHOSH,Bharatiya Janata Party,16353,8301,24654
S25,270,KATWA,3,CHATTERJEE RANAJIT,Indian National Congress,477,287,764
S25,270,KATWA,3,RABINDRANATH CHATTERJEE,All India Trinamool Congress,11404,4730,16134
S25,270,KATWA,3,SANJIB KUMAR DAS,Communist Party of India (Marxist),2163,1291,3454
S25,270,KATWA,3,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),66,31,97
S25,270,KATWA,3,RAHUL PAL,Gondvana Gantantra Party,82,39,121
S25,270,KATWA,3,SIPPY TEWARY,Aam Janata Unnayan party,386,134,520
S25,270,KATWA,3,KRISHNA GHOSH,Independent,109,51,160
S25,270,KATWA,3,SUROJIT GHOSH,Independent,330,162,492
S25,270,KATWA,3,NOTA,None of the Above,219,96,315
S25,270,KATWA,4,KALIPADA GAIN,Bahujan Samaj Party,164,60,224
S25,270,KATWA,4,KRISHNA GHOSH,Bharatiya Janata Party,24654,6689,31343
S25,270,KATWA,4,CHATTERJEE RANAJIT,Indian National Congress,764,375,1139
S25,270,KATWA,4,RABINDRANATH CHATTERJEE,All India Trinamool Congress,16134,6787,22921
S25,270,KATWA,4,SANJIB KUMAR DAS,Communist Party of India (Marxist),3454,1568,5022
S25,270,KATWA,4,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),97,39,136
S25,270,KATWA,4,RAHUL PAL,Gondvana Gantantra Party,121,51,172
S25,270,KATWA,4,SIPPY TEWARY,Aam Janata Unnayan party,520,225,745
S25,270,KATWA,4,KRISHNA GHOSH,Independent,160,55,215
S25,270,KATWA,4,SUROJIT GHOSH,Independent,492,126,618
S25,270,KATWA,4,NOTA,None of the Above,315,107,422
S25,270,KATWA,5,KALIPADA GAIN,Bahujan Samaj Party,224,23,247
S25,270,KATWA,5,KRISHNA GHOSH,Bharatiya Janata Party,31343,8709,40052
S25,270,KATWA,5,CHATTERJEE RANAJIT,Indian National Congress,1139,307,1446
S25,270,KATWA,5,RABINDRANATH CHATTERJEE,All India Trinamool Congress,22921,5424,28345
S25,270,KATWA,5,SANJIB KUMAR DAS,Communist Party of India (Marxist),5022,764,5786
S25,270,KATWA,5,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),136,26,162
S25,270,KATWA,5,RAHUL PAL,Gondvana Gantantra Party,172,11,183
S25,270,KATWA,5,SIPPY TEWARY,Aam Janata Unnayan party,745,92,837
S25,270,KATWA,5,KRISHNA GHOSH,Independent,215,28,243
S25,270,KATWA,5,SUROJIT GHOSH,Independent,618,69,687
S25,270,KATWA,5,NOTA,None of the Above,422,67,489
S25,270,KATWA,6,KALIPADA GAIN,Bahujan Samaj Party,247,52,299
S25,270,KATWA,6,KRISHNA GHOSH,Bharatiya Janata Party,40052,8703,48755
S25,270,KATWA,6,CHATTERJEE RANAJIT,Indian National Congress,1446,262,1708
S25,270,KATWA,6,RABINDRANATH CHATTERJEE,All India Trinamool Congress,28345,6393,34738
S25,270,KATWA,6,SANJIB KUMAR DAS,Communist Party of India (Marxist),5786,748,6534
S25,270,KATWA,6,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),162,32,194
S25,270,KATWA,6,RAHUL PAL,Gondvana Gantantra Party,183,39,222
S25,270,KATWA,6,SIPPY TEWARY,Aam Janata Unnayan party,837,168,1005
S25,270,KATWA,6,KRISHNA GHOSH,Independent,243,36,279
S25,270,KATWA,6,SUROJIT GHOSH,Independent,687,107,794
S25,270,KATWA,6,NOTA,None of the Above,489,106,595
S25,270,KATWA,7,KALIPADA GAIN,Bahujan Samaj Party,299,29,328
