State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,271,KETUGRAM,1,ANADI GHOSH,Bharatiya Janata Party,0,5352,5352
S25,271,KETUGRAM,1,SUSMITA PRADHAN,Bahujan Samaj Party,0,81,81
S25,271,KETUGRAM,1,SK ABUBAKKAR,Indian National Congress,0,174,174
S25,271,KETUGRAM,1,SEKH SAHONAWEZ,All India Trinamool Congress,0,6416,6416
S25,271,KETUGRAM,1,JAKIR GAINE,All India Secular Front,0,760,760
S25,271,KETUGRAM,1,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),0,35,35
S25,271,KETUGRAM,1,SABINA YASMIN (USHA),Aam Janata Unnayan party,0,143,143
S25,271,KETUGRAM,1,MATHURA GHOSH,Independent,0,222,222
S25,271,KETUGRAM,1,MURSED SEKH,Independent,0,34,34
S25,271,KETUGRAM,1,RAJUDDIN,Independent,0,46,46
S25,271,KETUGRAM,1,NOTA,None of the Above,0,181,181
S25,271,KETUGRAM,2,ANADI GHOSH,Bharatiya Janata Party,5352,4929,10281
S25,271,KETUGRAM,2,SUSMITA PRADHAN,Bahujan Samaj Party,81,58,139
S25,271,KETUGRAM,2,SK ABUBAKKAR,Indian National Congress,174,206,380
S25,271,KETUGRAM,2,SEKH SAHONAWEZ,All India Trinamool Congress,6416,8354,14770
S25,271,KETUGRAM,2,JAKIR GAINE,All India Secular Front,760,1169,1929
S25,271,KETUGRAM,2,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),35,40,75
S25,271,KETUGRAM,2,SABINA YASMIN (USHA),Aam Janata Unnayan party,143,139,282
S25,271,KETUGRAM,2,MATHURA GHOSH,Independent,222,255,477
S25,271,KETUGRAM,2,MURSED SEKH,Independent,34,31,65
S25,271,KETUGRAM,2,RAJUDDIN,Independent,46,43,89
S25,271,KETUGRAM,2,NOTA,None of the Above,181,212,393
S25,271,KETUGRAM,3,ANADI GHOSH,Bharatiya Janata Party,10281,6090,16371
S25,271,KETUGRAM,3,SUSMITA PRADHAN,Bahujan Samaj Party,139,57,196
S25,271,KETUGRAM,3,SK ABUBAKKAR,Indian National Congress,380,163,543
S25,271,KETUGRAM,3,SEKH SAHONAWEZ,All India Trinamool Congress,14770,6817,21587
S25,271,KETUGRAM,3,JAKIR GAINE,All India Secular Front,1929,626,2555
S25,271,KETUGRAM,3,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),75,28,103
S25,271,KETUGRAM,3,SABINA YASMIN (USHA),Aam Janata Unnayan party,282,94,376
S25,271,KETUGRAM,3,MATHURA GHOSH,Independent,477,204,681
S25,271,KETUGRAM,3,MURSED SEKH,Independent,65,41,106
S25,271,KETUGRAM,3,RAJUDDIN,Independent,89,49,138
S25,271,KETUGRAM,3,NOTA,None of the Above,393,202,595
S25,271,KETUGRAM,4,ANADI GHOSH,Bharatiya Janata Party,16371,7913,24284
S25,271,KETUGRAM,4,SUSMITA PRADHAN,Bahujan Samaj Party,196,68,264
S25,271,KETUGRAM,4,SK ABUBAKKAR,Indian National Congress,543,108,651
S25,271,KETUGRAM,4,SEKH SAHONAWEZ,All India Trinamool Congress,21587,6133,27720
S25,271,KETUGRAM,4,JAKIR GAINE,All India Secular Front,2555,305,2860
S25,271,KETUGRAM,4,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),103,24,127
S25,271,KETUGRAM,4,SABINA YASMIN (USHA),Aam Janata Unnayan party,376,77,453
S25,271,KETUGRAM,4,MATHURA GHOSH,Independent,681,145,826
S25,271,KETUGRAM,4,MURSED SEKH,Independent,106,35,141
S25,271,KETUGRAM,4,RAJUDDIN,Independent,138,49,187
S25,271,KETUGRAM,4,NOTA,None of the Above,595,253,848
S25,271,KETUGRAM,5,ANADI GHOSH,Bharatiya Janata Party,24284,6546,30830
S25,271,KETUGRAM,5,SUSMITA PRADHAN,Bahujan Samaj Party,264,57,321
S25,271,KETUGRAM,5,SK ABUBAKKAR,Indian National Congress,651,152,803
S25,271,KETUGRAM,5,SEKH SAHONAWEZ,All India Trinamool Congress,27720,7538,35258
S25,271,KETUGRAM,5,JAKIR GAINE,All India Secular Front,2860,1036,3896
S25,271,KETUGRAM,5,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),127,57,184
S25,271,KETUGRAM,5,SABINA YASMIN (USHA),Aam Janata Unnayan party,453,189,642
S25,271,KETUGRAM,5,MATHURA GHOSH,Independent,826,237,1063
S25,271,KETUGRAM,5,MURSED SEKH,Independent,141,44,185
S25,271,KETUGRAM,5,RAJUDDIN,Independent,187,64,251
S25,271,KETUGRAM,5,NOTA,None of the Above,848,275,1123
S25,271,KETUGRAM,6,ANADI GHOSH,Bharatiya Janata Party,30830,5475,36305
S25,271,KETUGRAM,6,SUSMITA PRADHAN,Bahujan Samaj Party,321,66,387
S25,271,KETUGRAM,6,SK ABUBAKKAR,Indian National Congress,803,163,966
S25,271,KETUGRAM,6,SEKH SAHONAWEZ,All India Trinamool Congress,35258,9018,44276
S25,271,KETUGRAM,6,JAKIR GAINE,All India Secular Front,3896,1284,5180
S25,271,KETUGRAM,6,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),184,76,260
S25,271,KETUGRAM,6,SABINA YASMIN (USHA),Aam Janata Unnayan party,642,302,944
S25,271,KETUGRAM,6,MATHURA GHOSH,Independent,1063,248,1311
S25,271,KETUGRAM,6,MURSED SEKH,Independent,185,37,222
S25,271,KETUGRAM,6,RAJUDDIN,Independent,251,53,304
S25,271,KETUGRAM,6,NOTA,None of the Above,1123,283,1406
S25,271,KETUGRAM,7,ANADI GHOSH,Bharatiya Janata Party,36305,8686,44991
S25,271,KETUGRAM,7,SUSMITA PRADHAN,Bahujan Samaj Party,387,90,477
S25,271,KETUGRAM,7,SK ABUBAKKAR,Indian National Congress,966,115,1081
S25,271,KETUGRAM,7,SEKH SAHONAWEZ,All India Trinamool Congress,44276,4200,48476
S25,271,KETUGRAM,7,JAKIR GAINE,All India Secular Front,5180,168,5348
S25,271,KETUGRAM,7,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),260,58,318
S25,271,KETUGRAM,7,SABINA YASMIN (USHA),Aam Janata Unnayan party,944,121,1065
S25,271,KETUGRAM,7,MATHURA GHOSH,Independent,1311,161,1472
S25,271,KETUGRAM,7,MURSED SEKH,Independent,222,33,255
S25,271,KETUGRAM,7,RAJUDDIN,Independent,304,55,359
S25,271,KETUGRAM,7,NOTA,None of the Above,1406,299,1705
S25,271,KETUGRAM,8,ANADI GHOSH,Bharatiya Janata Party,44991,9405,54396
S25,271,KETUGRAM,8,SUSMITA PRADHAN,Bahujan Samaj Party,477,76,553
S25,271,KETUGRAM,8,SK ABUBAKKAR,Indian National Congress,1081,90,1171
S25,271,KETUGRAM,8,SEKH SAHONAWEZ,All India Trinamool Congress,48476,3611,52087
S25,271,KETUGRAM,8,JAKIR GAINE,All India Secular Front,5348,708,6056
S25,271,KETUGRAM,8,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),318,42,360
S25,271,KETUGRAM,8,SABINA YASMIN (USHA),Aam Janata Unnayan party,1065,66,1131
S25,271,KETUGRAM,8,MATHURA GHOSH,Independent,1472,111,1583
S25,271,KETUGRAM,8,MURSED SEKH,Independent,255,31,286
S25,271,KETUGRAM,8,RAJUDDIN,Independent,359,40,399
S25,271,KETUGRAM,8,NOTA,None of the Above,1705,307,2012
S25,271,KETUGRAM,9,ANADI GHOSH,Bharatiya Janata Party,54396,8569,62965
S25,271,KETUGRAM,9,SUSMITA PRADHAN,Bahujan Samaj Party,553,69,622
S25,271,KETUGRAM,9,SK ABUBAKKAR,Indian National Congress,1171,145,1316
S25,271,KETUGRAM,9,SEKH SAHONAWEZ,All India Trinamool Congress,52087,4175,56262
S25,271,KETUGRAM,9,JAKIR GAINE,All India Secular Front,6056,918,6974
S25,271,KETUGRAM,9,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),360,47,407
S25,271,KETUGRAM,9,SABINA YASMIN (USHA),Aam Janata Unnayan party,1131,160,1291
S25,271,KETUGRAM,9,MATHURA GHOSH,Independent,1583,148,1731
S25,271,KETUGRAM,9,MURSED SEKH,Independent,286,38,324
S25,271,KETUGRAM,9,RAJUDDIN,Independent,399,50,449
S25,271,KETUGRAM,9,NOTA,None of the Above,2012,251,2263
S25,271,KETUGRAM,10,ANADI GHOSH,Bharatiya Janata Party,62965,9654,72619
S25,271,KETUGRAM,10,SUSMITA PRADHAN,Bahujan Samaj Party,622,83,705
S25,271,KETUGRAM,10,SK ABUBAKKAR,Indian National Congress,1316,141,1457
S25,271,KETUGRAM,10,SEKH SAHONAWEZ,All India Trinamool Congress,56262,3251,59513
S25,271,KETUGRAM,10,JAKIR GAINE,All India Secular Front,6974,542,7516
S25,271,KETUGRAM,10,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),407,42,449
S25,271,KETUGRAM,10,SABINA YASMIN (USHA),Aam Janata Unnayan party,1291,114,1405
S25,271,KETUGRAM,10,MATHURA GHOSH,Independent,1731,118,1849
S25,271,KETUGRAM,10,MURSED SEKH,Independent,324,42,366
S25,271,KETUGRAM,10,RAJUDDIN,Independent,449,70,519
S25,271,KETUGRAM,10,NOTA,None of the Above,2263,421,2684
S25,271,KETUGRAM,11,ANADI GHOSH,Bharatiya Janata Party,72619,7263,79882
S25,271,KETUGRAM,11,SUSMITA PRADHAN,Bahujan Samaj Party,705,74,779
S25,271,KETUGRAM,11,SK ABUBAKKAR,Indian National Congress,1457,162,1619
S25,271,KETUGRAM,11,SEKH SAHONAWEZ,All India Trinamool Congress,59513,6184,65697
S25,271,KETUGRAM,11,JAKIR GAINE,All India Secular Front,7516,733,8249
S25,271,KETUGRAM,11,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),449,74,523
S25,271,KETUGRAM,11,SABINA YASMIN (USHA),Aam Janata Unnayan party,1405,395,1800
S25,271,KETUGRAM,11,MATHURA GHOSH,Independent,1849,151,2000
S25,271,KETUGRAM,11,MURSED SEKH,Independent,366,33,399
S25,271,KETUGRAM,11,RAJUDDIN,Independent,519,60,579
S25,271,KETUGRAM,11,NOTA,None of the Above,2684,310,2994
S25,271,KETUGRAM,12,ANADI GHOSH,Bharatiya Janata Party,79882,8632,88514
S25,271,KETUGRAM,12,SUSMITA PRADHAN,Bahujan Samaj Party,779,46,825
S25,271,KETUGRAM,12,SK ABUBAKKAR,Indian National Congress,1619,103,1722
S25,271,KETUGRAM,12,SEKH SAHONAWEZ,All India Trinamool Congress,65697,5417,71114
S25,271,KETUGRAM,12,JAKIR GAINE,All India Secular Front,8249,531,8780
S25,271,KETUGRAM,12,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),523,27,550
S25,271,KETUGRAM,12,SABINA YASMIN (USHA),Aam Janata Unnayan party,1800,98,1898
S25,271,KETUGRAM,12,MATHURA GHOSH,Independent,2000,136,2136
S25,271,KETUGRAM,12,MURSED SEKH,Independent,399,32,431
S25,271,KETUGRAM,12,RAJUDDIN,Independent,579,36,615
S25,271,KETUGRAM,12,NOTA,None of the Above,2994,232,3226
S25,271,KETUGRAM,13,ANADI GHOSH,Bharatiya Janata Party,88514,9753,98267
S25,271,KETUGRAM,13,SUSMITA PRADHAN,Bahujan Samaj Party,825,75,900
S25,271,KETUGRAM,13,SK ABUBAKKAR,Indian National Congress,1722,128,1850
S25,271,KETUGRAM,13,SEKH SAHONAWEZ,All India Trinamool Congress,71114,3807,74921
S25,271,KETUGRAM,13,JAKIR GAINE,All India Secular Front,8780,393,9173
S25,271,KETUGRAM,13,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),550,34,584
S25,271,KETUGRAM,13,SABINA YASMIN (USHA),Aam Janata Unnayan party,1898,77,1975
S25,271,KETUGRAM,13,MATHURA GHOSH,Independent,2136,155,2291
S25,271,KETUGRAM,13,MURSED SEKH,Independent,431,55,486
