State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,272,MANGALKOT,1,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,0,5870,5870
S25,272,MANGALKOT,1,JAGADISH DUTTA,Indian National Congress,0,122,122
S25,272,MANGALKOT,1,MIRAJ ALAM SEKH,Communist Party of India (Marxist),0,653,653
S25,272,MANGALKOT,1,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,0,59,59
S25,272,MANGALKOT,1,SHISHIR GHOSH,Bharatiya Janata Party,0,5893,5893
S25,272,MANGALKOT,1,MANDAL AZIZUL,Aam Janata Unnayan party,0,101,101
S25,272,MANGALKOT,1,SK MOZAMMEL SAMAD,Rashtriya Secular Majlis Party,0,44,44
S25,272,MANGALKOT,1,SEKH MOJAMMEL HAQUE (MONI),Socialist Unity Centre Of India (COMMUNIST),0,24,24
S25,272,MANGALKOT,1,UDAY DAS,Independent,0,37,37
S25,272,MANGALKOT,1,NOTA,None of the Above,0,186,186
S25,272,MANGALKOT,2,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,5870,5004,10874
S25,272,MANGALKOT,2,JAGADISH DUTTA,Indian National Congress,122,147,269
S25,272,MANGALKOT,2,MIRAJ ALAM SEKH,Communist Party of India (Marxist),653,499,1152
S25,272,MANGALKOT,2,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,59,69,128
S25,272,MANGALKOT,2,SHISHIR GHOSH,Bharatiya Janata Party,5893,9759,15652
S25,272,MANGALKOT,2,MANDAL AZIZUL,Aam Janata Unnayan party,101,122,223
S25,272,MANGALKOT,2,SK MOZAMMEL SAMAD,Rashtriya Secular Majlis Party,44,44,88
S25,272,MANGALKOT,2,SEKH MOJAMMEL HAQUE (MONI),Socialist Unity Centre Of India (COMMUNIST),24,38,62
S25,272,MANGALKOT,2,UDAY DAS,Independent,37,53,90
S25,272,MANGALKOT,2,NOTA,None of the Above,186,195,381
S25,272,MANGALKOT,3,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,10874,6543,17417
S25,272,MANGALKOT,3,JAGADISH DUTTA,Indian National Congress,269,138,407
S25,272,MANGALKOT,3,MIRAJ ALAM SEKH,Communist Party of India (Marxist),1152,473,1625
S25,272,MANGALKOT,3,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,128,60,188
S25,272,MANGALKOT,3,SHISHIR GHOSH,Bharatiya Janata Party,15652,7808,23460
S25,272,MANGALKOT,3,MANDAL AZIZUL,Aam Janata Unnayan party,223,116,339
S25,272,MANGALKOT,3,SK MOZAMMEL SAMAD,Rashtriya Secular Majlis Party,88,34,122
S25,272,MANGALKOT,3,SEKH MOJAMMEL HAQUE (MONI),Socialist Unity Centre Of India (COMMUNIST),62,31,93
S25,272,MANGALKOT,3,UDAY DAS,Independent,90,61,151
S25,272,MANGALKOT,3,NOTA,None of the Above,381,252,633
S25,272,MANGALKOT,4,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,17417,7905,25322
S25,272,MANGALKOT,4,JAGADISH DUTTA,Indian National Congress,407,238,645
S25,272,MANGALKOT,4,MIRAJ ALAM SEKH,Communist Party of India (Marxist),1625,1274,2899
S25,272,MANGALKOT,4,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,188,59,247
S25,272,MANGALKOT,4,SHISHIR GHOSH,Bharatiya Janata Party,23460,3667,27127
S25,272,MANGALKOT,4,MANDAL AZIZUL,Aam Janata Unnayan party,339,52,391
S25,272,MANGALKOT,4,SK MOZAMMEL SAMAD,Rashtriya Secular Majlis Party,122,68,190
S25,272,MANGALKOT,4,SEKH MOJAMMEL HAQUE (MONI),Socialist Unity Centre Of India (COMMUNIST),93,35,128
S25,272,MANGALKOT,4,UDAY DAS,Independent,151,65,216
S25,272,MANGALKOT,4,NOTA,None of the Above,633,252,885
S25,272,MANGALKOT,5,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,25322,6195,31517
S25,272,MANGALKOT,5,JAGADISH DUTTA,Indian National Congress,645,190,835
S25,272,MANGALKOT,5,MIRAJ ALAM SEKH,Communist Party of India (Marxist),2899,943,3842
