State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,273,AUSGRAM,1,KALITA MAJI,Bharatiya Janata Party,0,5261,5261
S25,273,AUSGRAM,1,CHANCHAL KUMAR MAJHI,Communist Party of India (Marxist),0,1680,1680
S25,273,AUSGRAM,1,TAPAS BARAL,Indian National Congress,0,125,125
S25,273,AUSGRAM,1,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,0,6993,6993
S25,273,AUSGRAM,1,MANASA METE,Socialist Unity Centre Of India (COMMUNIST),0,62,62
S25,273,AUSGRAM,1,NIHAR KUMAR HAZRA,Independent,0,48,48
S25,273,AUSGRAM,1,NOTA,None of the Above,0,127,127
S25,273,AUSGRAM,2,KALITA MAJI,Bharatiya Janata Party,5261,9113,14374
S25,273,AUSGRAM,2,CHANCHAL KUMAR MAJHI,Communist Party of India (Marxist),1680,786,2466
S25,273,AUSGRAM,2,TAPAS BARAL,Indian National Congress,125,110,235
S25,273,AUSGRAM,2,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,6993,6620,13613
S25,273,AUSGRAM,2,MANASA METE,Socialist Unity Centre Of India (COMMUNIST),62,55,117
S25,273,AUSGRAM,2,NIHAR KUMAR HAZRA,Independent,48,59,107
S25,273,AUSGRAM,2,NOTA,None of the Above,127,151,278
S25,273,AUSGRAM,3,KALITA MAJI,Bharatiya Janata Party,14374,8361,22735
S25,273,AUSGRAM,3,CHANCHAL KUMAR MAJHI,Communist Party of India (Marxist),2466,971,3437
S25,273,AUSGRAM,3,TAPAS BARAL,Indian National Congress,235,130,365
S25,273,AUSGRAM,3,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,13613,7030,20643
S25,273,AUSGRAM,3,MANASA METE,Socialist Unity Centre Of India (COMMUNIST),117,76,193
S25,273,AUSGRAM,3,NIHAR KUMAR HAZRA,Independent,107,57,164
S25,273,AUSGRAM,3,NOTA,None of the Above,278,173,451
S25,273,AUSGRAM,4,KALITA MAJI,Bharatiya Janata Party,22735,7576,30311
S25,273,AUSGRAM,4,CHANCHAL KUMAR MAJHI,Communist Party of India (Marxist),3437,968,4405
S25,273,AUSGRAM,4,TAPAS BARAL,Indian National Congress,365,183,548
S25,273,AUSGRAM,4,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,20643,8425,29068
S25,273,AUSGRAM,4,MANASA METE,Socialist Unity Centre Of India (COMMUNIST),193,80,273
