State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,275,PANDABESWAR,1,UTTAM KUMAR ROY,Indian National Congress,0,95,95
S25,275,PANDABESWAR,1,JITENDRA KUMAR TEWARI,Bharatiya Janata Party,0,7480,7480
S25,275,PANDABESWAR,1,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,0,5438,5438
S25,275,PANDABESWAR,1,PRABIR KUMAR MONDAL,Communist Party of India (Marxist),0,212,212
S25,275,PANDABESWAR,1,JUBED SEKH,Aam Janata Unnayan party,0,17,17
S25,275,PANDABESWAR,1,DANA GOSWAMI,Socialist Unity Centre Of India (COMMUNIST),0,9,9
S25,275,PANDABESWAR,1,PANKAJ MITRA,Independent,0,7,7
S25,275,PANDABESWAR,1,RAJIA BIBI,Independent,0,30,30
S25,275,PANDABESWAR,1,LAKSHMINARAYAN BAURI,Independent,0,44,44
S25,275,PANDABESWAR,1,SAWANA KHATUN,Independent,0,154,154
S25,275,PANDABESWAR,1,SUMAN BHATTACHARJEE,Independent,0,77,77
S25,275,PANDABESWAR,1,NOTA,None of the Above,0,91,91
S25,275,PANDABESWAR,2,UTTAM KUMAR ROY,Indian National Congress,95,109,204
S25,275,PANDABESWAR,2,JITENDRA KUMAR TEWARI,Bharatiya Janata Party,7480,7266,14746
S25,275,PANDABESWAR,2,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,5438,6953,12391
S25,275,PANDABESWAR,2,PRABIR KUMAR MONDAL,Communist Party of India (Marxist),212,393,605
S25,275,PANDABESWAR,2,JUBED SEKH,Aam Janata Unnayan party,17,17,34
S25,275,PANDABESWAR,2,DANA GOSWAMI,Socialist Unity Centre Of India (COMMUNIST),9,13,22
S25,275,PANDABESWAR,2,PANKAJ MITRA,Independent,7,8,15
S25,275,PANDABESWAR,2,RAJIA BIBI,Independent,30,14,44
S25,275,PANDABESWAR,2,LAKSHMINARAYAN BAURI,Independent,44,43,87
S25,275,PANDABESWAR,2,SAWANA KHATUN,Independent,154,156,310
S25,275,PANDABESWAR,2,SUMAN BHATTACHARJEE,Independent,77,86,163
S25,275,PANDABESWAR,2,NOTA,None of the Above,91,86,177
S25,275,PANDABESWAR,3,UTTAM KUMAR ROY,Indian National Congress,204,103,307
