State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,280,ASANSOL_DAKSHIN,1,AGNIMITRA PAUL,Bharatiya Janata Party,0,10055,10055
S25,280,ASANSOL_DAKSHIN,1,TAPAS BANERJEE,All India Trinamool Congress,0,3784,3784
S25,280,ASANSOL_DAKSHIN,1,SILPI CHAKRABORTY,Communist Party of India (Marxist),0,538,538
S25,280,ASANSOL_DAKSHIN,1,SOUVIK MUKHERJEE,Indian National Congress,0,86,86
S25,280,ASANSOL_DAKSHIN,1,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),0,40,40
S25,280,ASANSOL_DAKSHIN,1,BIBEKANANDA SADHU,Amra Bangalee,0,28,28
S25,280,ASANSOL_DAKSHIN,1,ASGAR ALI,Independent,0,47,47
S25,280,ASANSOL_DAKSHIN,1,DIPIKA BAURI,Independent,0,66,66
S25,280,ASANSOL_DAKSHIN,1,NOTA,None of the Above,0,225,225
S25,280,ASANSOL_DAKSHIN,2,AGNIMITRA PAUL,Bharatiya Janata Party,10055,8217,18272
S25,280,ASANSOL_DAKSHIN,2,TAPAS BANERJEE,All India Trinamool Congress,3784,4899,8683
S25,280,ASANSOL_DAKSHIN,2,SILPI CHAKRABORTY,Communist Party of India (Marxist),538,530,1068
S25,280,ASANSOL_DAKSHIN,2,SOUVIK MUKHERJEE,Indian National Congress,86,113,199
S25,280,ASANSOL_DAKSHIN,2,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),40,33,73
S25,280,ASANSOL_DAKSHIN,2,BIBEKANANDA SADHU,Amra Bangalee,28,44,72
S25,280,ASANSOL_DAKSHIN,2,ASGAR ALI,Independent,47,54,101
S25,280,ASANSOL_DAKSHIN,2,DIPIKA BAURI,Independent,66,86,152
S25,280,ASANSOL_DAKSHIN,2,NOTA,None of the Above,225,209,434
S25,280,ASANSOL_DAKSHIN,3,AGNIMITRA PAUL,Bharatiya Janata Party,18272,7272,25544
S25,280,ASANSOL_DAKSHIN,3,TAPAS BANERJEE,All India Trinamool Congress,8683,6352,15035
S25,280,ASANSOL_DAKSHIN,3,SILPI CHAKRABORTY,Communist Party of India (Marxist),1068,476,1544
S25,280,ASANSOL_DAKSHIN,3,SOUVIK MUKHERJEE,Indian National Congress,199,111,310
S25,280,ASANSOL_DAKSHIN,3,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),73,27,100
S25,280,ASANSOL_DAKSHIN,3,BIBEKANANDA SADHU,Amra Bangalee,72,29,101
S25,280,ASANSOL_DAKSHIN,3,ASGAR ALI,Independent,101,46,147
S25,280,ASANSOL_DAKSHIN,3,DIPIKA BAURI,Independent,152,109,261
S25,280,ASANSOL_DAKSHIN,3,NOTA,None of the Above,434,177,611
S25,280,ASANSOL_DAKSHIN,4,AGNIMITRA PAUL,Bharatiya Janata Party,25544,7510,33054
S25,280,ASANSOL_DAKSHIN,4,TAPAS BANERJEE,All India Trinamool Congress,15035,2600,17635
S25,280,ASANSOL_DAKSHIN,4,SILPI CHAKRABORTY,Communist Party of India (Marxist),1544,273,1817
S25,280,ASANSOL_DAKSHIN,4,SOUVIK MUKHERJEE,Indian National Congress,310,93,403
S25,280,ASANSOL_DAKSHIN,4,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),100,15,115
S25,280,ASANSOL_DAKSHIN,4,BIBEKANANDA SADHU,Amra Bangalee,101,7,108
S25,280,ASANSOL_DAKSHIN,4,ASGAR ALI,Independent,147,26,173
S25,280,ASANSOL_DAKSHIN,4,DIPIKA BAURI,Independent,261,33,294
S25,280,ASANSOL_DAKSHIN,4,NOTA,None of the Above,611,105,716
S25,280,ASANSOL_DAKSHIN,5,AGNIMITRA PAUL,Bharatiya Janata Party,33054,9129,42183
S25,280,ASANSOL_DAKSHIN,5,TAPAS BANERJEE,All India Trinamool Congress,17635,4404,22039
S25,280,ASANSOL_DAKSHIN,5,SILPI CHAKRABORTY,Communist Party of India (Marxist),1817,591,2408
S25,280,ASANSOL_DAKSHIN,5,SOUVIK MUKHERJEE,Indian National Congress,403,101,504
S25,280,ASANSOL_DAKSHIN,5,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),115,18,133
S25,280,ASANSOL_DAKSHIN,5,BIBEKANANDA SADHU,Amra Bangalee,108,9,117
S25,280,ASANSOL_DAKSHIN,5,ASGAR ALI,Independent,173,33,206
S25,280,ASANSOL_DAKSHIN,5,DIPIKA BAURI,Independent,294,36,330
S25,280,ASANSOL_DAKSHIN,5,NOTA,None of the Above,716,164,880
S25,280,ASANSOL_DAKSHIN,6,AGNIMITRA PAUL,Bharatiya Janata Party,42183,6202,48385
S25,280,ASANSOL_DAKSHIN,6,TAPAS BANERJEE,All India Trinamool Congress,22039,7534,29573
S25,280,ASANSOL_DAKSHIN,6,SILPI CHAKRABORTY,Communist Party of India (Marxist),2408,444,2852
S25,280,ASANSOL_DAKSHIN,6,SOUVIK MUKHERJEE,Indian National Congress,504,122,626
S25,280,ASANSOL_DAKSHIN,6,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),133,23,156
S25,280,ASANSOL_DAKSHIN,6,BIBEKANANDA SADHU,Amra Bangalee,117,12,129
S25,280,ASANSOL_DAKSHIN,6,ASGAR ALI,Independent,206,26,232
S25,280,ASANSOL_DAKSHIN,6,DIPIKA BAURI,Independent,330,45,375
S25,280,ASANSOL_DAKSHIN,6,NOTA,None of the Above,880,102,982
S25,280,ASANSOL_DAKSHIN,7,AGNIMITRA PAUL,Bharatiya Janata Party,48385,5086,53471
S25,280,ASANSOL_DAKSHIN,7,TAPAS BANERJEE,All India Trinamool Congress,29573,9530,39103
S25,280,ASANSOL_DAKSHIN,7,SILPI CHAKRABORTY,Communist Party of India (Marxist),2852,614,3466
S25,280,ASANSOL_DAKSHIN,7,SOUVIK MUKHERJEE,Indian National Congress,626,91,717
S25,280,ASANSOL_DAKSHIN,7,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),156,16,172
S25,280,ASANSOL_DAKSHIN,7,BIBEKANANDA SADHU,Amra Bangalee,129,16,145
S25,280,ASANSOL_DAKSHIN,7,ASGAR ALI,Independent,232,45,277
S25,280,ASANSOL_DAKSHIN,7,DIPIKA BAURI,Independent,375,45,420
S25,280,ASANSOL_DAKSHIN,7,NOTA,None of the Above,982,106,1088
S25,280,ASANSOL_DAKSHIN,8,AGNIMITRA PAUL,Bharatiya Janata Party,53471,9903,63374
S25,280,ASANSOL_DAKSHIN,8,TAPAS BANERJEE,All India Trinamool Congress,39103,4325,43428
S25,280,ASANSOL_DAKSHIN,8,SILPI CHAKRABORTY,Communist Party of India (Marxist),3466,711,4177
S25,280,ASANSOL_DAKSHIN,8,SOUVIK MUKHERJEE,Indian National Congress,717,96,813
S25,280,ASANSOL_DAKSHIN,8,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),172,32,204
S25,280,ASANSOL_DAKSHIN,8,BIBEKANANDA SADHU,Amra Bangalee,145,25,170
S25,280,ASANSOL_DAKSHIN,8,ASGAR ALI,Independent,277,80,357
S25,280,ASANSOL_DAKSHIN,8,DIPIKA BAURI,Independent,420,127,547
S25,280,ASANSOL_DAKSHIN,8,NOTA,None of the Above,1088,308,1396
S25,280,ASANSOL_DAKSHIN,9,AGNIMITRA PAUL,Bharatiya Janata Party,63374,10346,73720
S25,280,ASANSOL_DAKSHIN,9,TAPAS BANERJEE,All India Trinamool Congress,43428,5404,48832
S25,280,ASANSOL_DAKSHIN,9,SILPI CHAKRABORTY,Communist Party of India (Marxist),4177,942,5119
S25,280,ASANSOL_DAKSHIN,9,SOUVIK MUKHERJEE,Indian National Congress,813,112,925
S25,280,ASANSOL_DAKSHIN,9,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),204,35,239
S25,280,ASANSOL_DAKSHIN,9,BIBEKANANDA SADHU,Amra Bangalee,170,23,193
S25,280,ASANSOL_DAKSHIN,9,ASGAR ALI,Independent,357,38,395
S25,280,ASANSOL_DAKSHIN,9,DIPIKA BAURI,Independent,547,69,616
S25,280,ASANSOL_DAKSHIN,9,NOTA,None of the Above,1396,178,1574
S25,280,ASANSOL_DAKSHIN,10,AGNIMITRA PAUL,Bharatiya Janata Party,73720,9978,83698
S25,280,ASANSOL_DAKSHIN,10,TAPAS BANERJEE,All India Trinamool Congress,48832,4542,53374
S25,280,ASANSOL_DAKSHIN,10,SILPI CHAKRABORTY,Communist Party of India (Marxist),5119,653,5772
S25,280,ASANSOL_DAKSHIN,10,SOUVIK MUKHERJEE,Indian National Congress,925,78,1003
S25,280,ASANSOL_DAKSHIN,10,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),239,22,261
S25,280,ASANSOL_DAKSHIN,10,BIBEKANANDA SADHU,Amra Bangalee,193,31,224
S25,280,ASANSOL_DAKSHIN,10,ASGAR ALI,Independent,395,66,461
S25,280,ASANSOL_DAKSHIN,10,DIPIKA BAURI,Independent,616,107,723
S25,280,ASANSOL_DAKSHIN,10,NOTA,None of the Above,1574,270,1844
S25,280,ASANSOL_DAKSHIN,11,AGNIMITRA PAUL,Bharatiya Janata Party,83698,9105,92803
S25,280,ASANSOL_DAKSHIN,11,TAPAS BANERJEE,All India Trinamool Congress,53374,4904,58278
S25,280,ASANSOL_DAKSHIN,11,SILPI CHAKRABORTY,Communist Party of India (Marxist),5772,975,6747
S25,280,ASANSOL_DAKSHIN,11,SOUVIK MUKHERJEE,Indian National Congress,1003,108,1111
S25,280,ASANSOL_DAKSHIN,11,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),261,35,296
S25,280,ASANSOL_DAKSHIN,11,BIBEKANANDA SADHU,Amra Bangalee,224,48,272
S25,280,ASANSOL_DAKSHIN,11,ASGAR ALI,Independent,461,80,541
S25,280,ASANSOL_DAKSHIN,11,DIPIKA BAURI,Independent,723,110,833
S25,280,ASANSOL_DAKSHIN,11,NOTA,None of the Above,1844,246,2090
S25,280,ASANSOL_DAKSHIN,12,AGNIMITRA PAUL,Bharatiya Janata Party,92803,7539,100342
S25,280,ASANSOL_DAKSHIN,12,TAPAS BANERJEE,All India Trinamool Congress,58278,7215,65493
S25,280,ASANSOL_DAKSHIN,12,SILPI CHAKRABORTY,Communist Party of India (Marxist),6747,751,7498
S25,280,ASANSOL_DAKSHIN,12,SOUVIK MUKHERJEE,Indian National Congress,1111,83,1194
S25,280,ASANSOL_DAKSHIN,12,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),296,19,315
S25,280,ASANSOL_DAKSHIN,12,BIBEKANANDA SADHU,Amra Bangalee,272,32,304
S25,280,ASANSOL_DAKSHIN,12,ASGAR ALI,Independent,541,58,599
S25,280,ASANSOL_DAKSHIN,12,DIPIKA BAURI,Independent,833,186,1019
S25,280,ASANSOL_DAKSHIN,12,NOTA,None of the Above,2090,201,2291
S25,280,ASANSOL_DAKSHIN,13,AGNIMITRA PAUL,Bharatiya Janata Party,100342,8245,108587
S25,280,ASANSOL_DAKSHIN,13,TAPAS BANERJEE,All India Trinamool Congress,65493,6149,71642
S25,280,ASANSOL_DAKSHIN,13,SILPI CHAKRABORTY,Communist Party of India (Marxist),7498,667,8165
S25,280,ASANSOL_DAKSHIN,13,SOUVIK MUKHERJEE,Indian National Congress,1194,56,1250
S25,280,ASANSOL_DAKSHIN,13,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),315,29,344
S25,280,ASANSOL_DAKSHIN,13,BIBEKANANDA SADHU,Amra Bangalee,304,22,326
S25,280,ASANSOL_DAKSHIN,13,ASGAR ALI,Independent,599,68,667
S25,280,ASANSOL_DAKSHIN,13,DIPIKA BAURI,Independent,1019,144,1163
S25,280,ASANSOL_DAKSHIN,13,NOTA,None of the Above,2291,230,2521
S25,280,ASANSOL_DAKSHIN,14,AGNIMITRA PAUL,Bharatiya Janata Party,108587,7331,115918
S25,280,ASANSOL_DAKSHIN,14,TAPAS BANERJEE,All India Trinamool Congress,71642,5116,76758
S25,280,ASANSOL_DAKSHIN,14,SILPI CHAKRABORTY,Communist Party of India (Marxist),8165,1530,9695
