State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,282,KULTI,1,AJAY KUMAR PODDAR,Bharatiya Janata Party,0,9574,9574
S25,282,KULTI,1,ABHIJIT GHATAK,All India Trinamool Congress,0,5053,5053
S25,282,KULTI,1,BHABANI CHARAN ACHARYA,All India Forward Bloc,0,320,320
S25,282,KULTI,1,RAVI YADAV,Indian National Congress,0,138,138
S25,282,KULTI,1,SHEKHAWAT KHAN,Gondvana Gantantra Party,0,57,57
S25,282,KULTI,1,AKHTAR HUSSAIN MD,Independent,0,92,92
S25,282,KULTI,1,NOTA,None of the Above,0,304,304
S25,282,KULTI,2,AJAY KUMAR PODDAR,Bharatiya Janata Party,9574,8442,18016
S25,282,KULTI,2,ABHIJIT GHATAK,All India Trinamool Congress,5053,5364,10417
S25,282,KULTI,2,BHABANI CHARAN ACHARYA,All India Forward Bloc,320,183,503
S25,282,KULTI,2,RAVI YADAV,Indian National Congress,138,107,245
S25,282,KULTI,2,SHEKHAWAT KHAN,Gondvana Gantantra Party,57,39,96
S25,282,KULTI,2,AKHTAR HUSSAIN MD,Independent,92,81,173
S25,282,KULTI,2,NOTA,None of the Above,304,193,497
S25,282,KULTI,3,AJAY KUMAR PODDAR,Bharatiya Janata Party,18016,4577,22593
S25,282,KULTI,3,ABHIJIT GHATAK,All India Trinamool Congress,10417,8675,19092
S25,282,KULTI,3,BHABANI CHARAN ACHARYA,All India Forward Bloc,503,164,667
S25,282,KULTI,3,RAVI YADAV,Indian National Congress,245,65,310
S25,282,KULTI,3,SHEKHAWAT KHAN,Gondvana Gantantra Party,96,20,116
S25,282,KULTI,3,AKHTAR HUSSAIN MD,Independent,173,62,235
S25,282,KULTI,3,NOTA,None of the Above,497,127,624
S25,282,KULTI,4,AJAY KUMAR PODDAR,Bharatiya Janata Party,22593,8126,30719
S25,282,KULTI,4,ABHIJIT GHATAK,All India Trinamool Congress,19092,6203,25295
S25,282,KULTI,4,BHABANI CHARAN ACHARYA,All India Forward Bloc,667,113,780
S25,282,KULTI,4,RAVI YADAV,Indian National Congress,310,184,494
S25,282,KULTI,4,SHEKHAWAT KHAN,Gondvana Gantantra Party,116,44,160
S25,282,KULTI,4,AKHTAR HUSSAIN MD,Independent,235,87,322
S25,282,KULTI,4,NOTA,None of the Above,624,209,833
S25,282,KULTI,5,AJAY KUMAR PODDAR,Bharatiya Janata Party,30719,6979,37698
S25,282,KULTI,5,ABHIJIT GHATAK,All India Trinamool Congress,25295,6713,32008
S25,282,KULTI,5,BHABANI CHARAN ACHARYA,All India Forward Bloc,780,217,997
S25,282,KULTI,5,RAVI YADAV,Indian National Congress,494,101,595
S25,282,KULTI,5,SHEKHAWAT KHAN,Gondvana Gantantra Party,160,25,185
S25,282,KULTI,5,AKHTAR HUSSAIN MD,Independent,322,36,358
S25,282,KULTI,5,NOTA,None of the Above,833,131,964
S25,282,KULTI,6,AJAY KUMAR PODDAR,Bharatiya Janata Party,37698,5244,42942
S25,282,KULTI,6,ABHIJIT GHATAK,All India Trinamool Congress,32008,6868,38876
S25,282,KULTI,6,BHABANI CHARAN ACHARYA,All India Forward Bloc,997,244,1241
S25,282,KULTI,6,RAVI YADAV,Indian National Congress,595,107,702
S25,282,KULTI,6,SHEKHAWAT KHAN,Gondvana Gantantra Party,185,36,221
S25,282,KULTI,6,AKHTAR HUSSAIN MD,Independent,358,74,432
S25,282,KULTI,6,NOTA,None of the Above,964,145,1109
S25,282,KULTI,7,AJAY KUMAR PODDAR,Bharatiya Janata Party,42942,7502,50444
S25,282,KULTI,7,ABHIJIT GHATAK,All India Trinamool Congress,38876,6861,45737
S25,282,KULTI,7,BHABANI CHARAN ACHARYA,All India Forward Bloc,1241,411,1652
S25,282,KULTI,7,RAVI YADAV,Indian National Congress,702,114,816
S25,282,KULTI,7,SHEKHAWAT KHAN,Gondvana Gantantra Party,221,39,260
S25,282,KULTI,7,AKHTAR HUSSAIN MD,Independent,432,93,525
S25,282,KULTI,7,NOTA,None of the Above,1109,206,1315
S25,282,KULTI,8,AJAY KUMAR PODDAR,Bharatiya Janata Party,50444,8158,58602
S25,282,KULTI,8,ABHIJIT GHATAK,All India Trinamool Congress,45737,4538,50275
S25,282,KULTI,8,BHABANI CHARAN ACHARYA,All India Forward Bloc,1652,456,2108
S25,282,KULTI,8,RAVI YADAV,Indian National Congress,816,132,948
S25,282,KULTI,8,SHEKHAWAT KHAN,Gondvana Gantantra Party,260,33,293
S25,282,KULTI,8,AKHTAR HUSSAIN MD,Independent,525,88,613
S25,282,KULTI,8,NOTA,None of the Above,1315,165,1480
S25,282,KULTI,9,AJAY KUMAR PODDAR,Bharatiya Janata Party,58602,7563,66165
S25,282,KULTI,9,ABHIJIT GHATAK,All India Trinamool Congress,50275,4450,54725
S25,282,KULTI,9,BHABANI CHARAN ACHARYA,All India Forward Bloc,2108,233,2341
S25,282,KULTI,9,RAVI YADAV,Indian National Congress,948,71,1019
S25,282,KULTI,9,SHEKHAWAT KHAN,Gondvana Gantantra Party,293,26,319
S25,282,KULTI,9,AKHTAR HUSSAIN MD,Independent,613,62,675
S25,282,KULTI,9,NOTA,None of the Above,1480,165,1645
S25,282,KULTI,10,AJAY KUMAR PODDAR,Bharatiya Janata Party,66165,9168,75333
S25,282,KULTI,10,ABHIJIT GHATAK,All India Trinamool Congress,54725,3170,57895
S25,282,KULTI,10,BHABANI CHARAN ACHARYA,All India Forward Bloc,2341,126,2467
S25,282,KULTI,10,RAVI YADAV,Indian National Congress,1019,87,1106
S25,282,KULTI,10,SHEKHAWAT KHAN,Gondvana Gantantra Party,319,27,346
S25,282,KULTI,10,AKHTAR HUSSAIN MD,Independent,675,61,736
S25,282,KULTI,10,NOTA,None of the Above,1645,161,1806
S25,282,KULTI,11,AJAY KUMAR PODDAR,Bharatiya Janata Party,75333,6893,82226
S25,282,KULTI,11,ABHIJIT GHATAK,All India Trinamool Congress,57895,4840,62735
S25,282,KULTI,11,BHABANI CHARAN ACHARYA,All India Forward Bloc,2467,151,2618
S25,282,KULTI,11,RAVI YADAV,Indian National Congress,1106,85,1191
S25,282,KULTI,11,SHEKHAWAT KHAN,Gondvana Gantantra Party,346,41,387
S25,282,KULTI,11,AKHTAR HUSSAIN MD,Independent,736,68,804
S25,282,KULTI,11,NOTA,None of the Above,1806,209,2015
S25,282,KULTI,12,AJAY KUMAR PODDAR,Bharatiya Janata Party,82226,7922,90148
S25,282,KULTI,12,ABHIJIT GHATAK,All India Trinamool Congress,62735,5447,68182
S25,282,KULTI,12,BHABANI CHARAN ACHARYA,All India Forward Bloc,2618,488,3106
S25,282,KULTI,12,RAVI YADAV,Indian National Congress,1191,115,1306
S25,282,KULTI,12,SHEKHAWAT KHAN,Gondvana Gantantra Party,387,53,440
S25,282,KULTI,12,AKHTAR HUSSAIN MD,Independent,804,71,875
S25,282,KULTI,12,NOTA,None of the Above,2015,175,2190
S25,282,KULTI,13,AJAY KUMAR PODDAR,Bharatiya Janata Party,90148,5850,95998
S25,282,KULTI,13,ABHIJIT GHATAK,All India Trinamool Congress,68182,4620,72802
S25,282,KULTI,13,BHABANI CHARAN ACHARYA,All India Forward Bloc,3106,268,3374
S25,282,KULTI,13,RAVI YADAV,Indian National Congress,1306,106,1412
S25,282,KULTI,13,SHEKHAWAT KHAN,Gondvana Gantantra Party,440,47,487
S25,282,KULTI,13,AKHTAR HUSSAIN MD,Independent,875,55,930
S25,282,KULTI,13,NOTA,None of the Above,2190,151,2341
S25,282,KULTI,14,AJAY KUMAR PODDAR,Bharatiya Janata Party,95998,6073,102071
S25,282,KULTI,14,ABHIJIT GHATAK,All India Trinamool Congress,72802,3558,76360
S25,282,KULTI,14,BHABANI CHARAN ACHARYA,All India Forward Bloc,3374,494,3868
S25,282,KULTI,14,RAVI YADAV,Indian National Congress,1412,116,1528
S25,282,KULTI,14,SHEKHAWAT KHAN,Gondvana Gantantra Party,487,36,523
S25,282,KULTI,14,AKHTAR HUSSAIN MD,Independent,930,89,1019
S25,282,KULTI,14,NOTA,None of the Above,2341,157,2498
S25,282,KULTI,15,AJAY KUMAR PODDAR,Bharatiya Janata Party,102071,356,102427
S25,282,KULTI,15,ABHIJIT GHATAK,All India Trinamool Congress,76360,230,76590
S25,282,KULTI,15,BHABANI CHARAN ACHARYA,All India Forward Bloc,3868,6,3874
S25,282,KULTI,15,RAVI YADAV,Indian National Congress,1528,5,1533
S25,282,KULTI,15,SHEKHAWAT KHAN,Gondvana Gantantra Party,523,5,528
S25,282,KULTI,15,AKHTAR HUSSAIN MD,Independent,1019,6,1025
S25,282,KULTI,15,NOTA,None of the Above,2498,7,2505
S25,282,KULTI,16,AJAY KUMAR PODDAR,Bharatiya Janata Party,102427,536,102963
S25,282,KULTI,16,ABHIJIT GHATAK,All India Trinamool Congress,76590,113,76703
S25,282,KULTI,16,BHABANI CHARAN ACHARYA,All India Forward Bloc,3874,16,3890
S25,282,KULTI,16,RAVI YADAV,Indian National Congress,1533,3,1536
S25,282,KULTI,16,SHEKHAWAT KHAN,Gondvana Gantantra Party,528,2,530
S25,282,KULTI,16,AKHTAR HUSSAIN MD,Independent,1025,6,1031
S25,282,KULTI,16,NOTA,None of the Above,2505,24,2529
S25,282,KULTI,Postal Ballot,AJAY KUMAR PODDAR,Bharatiya Janata Party,102963,607,103570
S25,282,KULTI,Postal Ballot,ABHIJIT GHATAK,All India Trinamool Congress,76703,369,77072
S25,282,KULTI,Postal Ballot,BHABANI CHARAN ACHARYA,All India Forward Bloc,3890,47,3937
S25,282,KULTI,Postal Ballot,RAVI YADAV,Indian National Congress,1536,19,1555
S25,282,KULTI,Postal Ballot,SHEKHAWAT KHAN,Gondvana Gantantra Party,530,3,533
S25,282,KULTI,Postal Ballot,AKHTAR HUSSAIN MD,Independent,1031,2,1033
S25,282,KULTI,Postal Ballot,NOTA,None of the Above,2529,10,2539
