State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,283,BARABANI,1,ARIJIT ROY,Bharatiya Janata Party,0,2429,2429
S25,283,BARABANI,1,JAYDEV ROY,Indian National Congress,0,362,362
S25,283,BARABANI,1,BIDHAN UPADHYAY,All India Trinamool Congress,0,2350,2350
S25,283,BARABANI,1,ADWAITYA DAS,Aam Janata Unnayan party,0,21,21
S25,283,BARABANI,1,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),0,43,43
S25,283,BARABANI,1,BISWAJIT BAURI (BAPI),All India Secular Front,0,280,280
S25,283,BARABANI,1,SWAPAN KABI,Independent,0,13,13
S25,283,BARABANI,1,NOTA,None of the Above,0,117,117
S25,283,BARABANI,2,ARIJIT ROY,Bharatiya Janata Party,2429,5867,8296
S25,283,BARABANI,2,JAYDEV ROY,Indian National Congress,362,282,644
S25,283,BARABANI,2,BIDHAN UPADHYAY,All India Trinamool Congress,2350,5738,8088
S25,283,BARABANI,2,ADWAITYA DAS,Aam Janata Unnayan party,21,66,87
S25,283,BARABANI,2,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),43,66,109
S25,283,BARABANI,2,BISWAJIT BAURI (BAPI),All India Secular Front,280,300,580
S25,283,BARABANI,2,SWAPAN KABI,Independent,13,24,37
S25,283,BARABANI,2,NOTA,None of the Above,117,152,269
S25,283,BARABANI,3,ARIJIT ROY,Bharatiya Janata Party,8296,8988,17284
S25,283,BARABANI,3,JAYDEV ROY,Indian National Congress,644,199,843
S25,283,BARABANI,3,BIDHAN UPADHYAY,All India Trinamool Congress,8088,6627,14715
S25,283,BARABANI,3,ADWAITYA DAS,Aam Janata Unnayan party,87,84,171
S25,283,BARABANI,3,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),109,178,287
S25,283,BARABANI,3,BISWAJIT BAURI (BAPI),All India Secular Front,580,289,869
S25,283,BARABANI,3,SWAPAN KABI,Independent,37,49,86
S25,283,BARABANI,3,NOTA,None of the Above,269,243,512
S25,283,BARABANI,4,ARIJIT ROY,Bharatiya Janata Party,17284,7060,24344
S25,283,BARABANI,4,JAYDEV ROY,Indian National Congress,843,307,1150
S25,283,BARABANI,4,BIDHAN UPADHYAY,All India Trinamool Congress,14715,5670,20385
S25,283,BARABANI,4,ADWAITYA DAS,Aam Janata Unnayan party,171,50,221
S25,283,BARABANI,4,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),287,100,387
S25,283,BARABANI,4,BISWAJIT BAURI (BAPI),All India Secular Front,869,543,1412
S25,283,BARABANI,4,SWAPAN KABI,Independent,86,28,114
S25,283,BARABANI,4,NOTA,None of the Above,512,184,696
S25,283,BARABANI,5,ARIJIT ROY,Bharatiya Janata Party,24344,7714,32058
S25,283,BARABANI,5,JAYDEV ROY,Indian National Congress,1150,263,1413
S25,283,BARABANI,5,BIDHAN UPADHYAY,All India Trinamool Congress,20385,7725,28110
S25,283,BARABANI,5,ADWAITYA DAS,Aam Janata Unnayan party,221,82,303
S25,283,BARABANI,5,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),387,92,479
S25,283,BARABANI,5,BISWAJIT BAURI (BAPI),All India Secular Front,1412,571,1983
S25,283,BARABANI,5,SWAPAN KABI,Independent,114,55,169
S25,283,BARABANI,5,NOTA,None of the Above,696,223,919
S25,283,BARABANI,6,ARIJIT ROY,Bharatiya Janata Party,32058,8612,40670
S25,283,BARABANI,6,JAYDEV ROY,Indian National Congress,1413,165,1578
S25,283,BARABANI,6,BIDHAN UPADHYAY,All India Trinamool Congress,28110,6587,34697
S25,283,BARABANI,6,ADWAITYA DAS,Aam Janata Unnayan party,303,78,381
S25,283,BARABANI,6,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),479,56,535
S25,283,BARABANI,6,BISWAJIT BAURI (BAPI),All India Secular Front,1983,194,2177
S25,283,BARABANI,6,SWAPAN KABI,Independent,169,58,227
S25,283,BARABANI,6,NOTA,None of the Above,919,243,1162
S25,283,BARABANI,7,ARIJIT ROY,Bharatiya Janata Party,40670,8832,49502
S25,283,BARABANI,7,JAYDEV ROY,Indian National Congress,1578,205,1783
S25,283,BARABANI,7,BIDHAN UPADHYAY,All India Trinamool Congress,34697,6604,41301
S25,283,BARABANI,7,ADWAITYA DAS,Aam Janata Unnayan party,381,108,489
S25,283,BARABANI,7,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),535,62,597
S25,283,BARABANI,7,BISWAJIT BAURI (BAPI),All India Secular Front,2177,281,2458
S25,283,BARABANI,7,SWAPAN KABI,Independent,227,64,291
S25,283,BARABANI,7,NOTA,None of the Above,1162,260,1422
S25,283,BARABANI,8,ARIJIT ROY,Bharatiya Janata Party,49502,7319,56821
S25,283,BARABANI,8,JAYDEV ROY,Indian National Congress,1783,138,1921
S25,283,BARABANI,8,BIDHAN UPADHYAY,All India Trinamool Congress,41301,8554,49855
S25,283,BARABANI,8,ADWAITYA DAS,Aam Janata Unnayan party,489,104,593
S25,283,BARABANI,8,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),597,49,646
S25,283,BARABANI,8,BISWAJIT BAURI (BAPI),All India Secular Front,2458,323,2781
S25,283,BARABANI,8,SWAPAN KABI,Independent,291,66,357
S25,283,BARABANI,8,NOTA,None of the Above,1422,231,1653
S25,283,BARABANI,9,ARIJIT ROY,Bharatiya Janata Party,56821,7335,64156
S25,283,BARABANI,9,JAYDEV ROY,Indian National Congress,1921,156,2077
S25,283,BARABANI,9,BIDHAN UPADHYAY,All India Trinamool Congress,49855,7961,57816
S25,283,BARABANI,9,ADWAITYA DAS,Aam Janata Unnayan party,593,114,707
S25,283,BARABANI,9,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),646,84,730
S25,283,BARABANI,9,BISWAJIT BAURI (BAPI),All India Secular Front,2781,1682,4463
S25,283,BARABANI,9,SWAPAN KABI,Independent,357,69,426
S25,283,BARABANI,9,NOTA,None of the Above,1653,286,1939
S25,283,BARABANI,10,ARIJIT ROY,Bharatiya Janata Party,64156,9261,73417
S25,283,BARABANI,10,JAYDEV ROY,Indian National Congress,2077,164,2241
S25,283,BARABANI,10,BIDHAN UPADHYAY,All India Trinamool Congress,57816,6762,64578
S25,283,BARABANI,10,ADWAITYA DAS,Aam Janata Unnayan party,707,90,797
S25,283,BARABANI,10,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),730,59,789
S25,283,BARABANI,10,BISWAJIT BAURI (BAPI),All India Secular Front,4463,501,4964
S25,283,BARABANI,10,SWAPAN KABI,Independent,426,56,482
S25,283,BARABANI,10,NOTA,None of the Above,1939,282,2221
S25,283,BARABANI,11,ARIJIT ROY,Bharatiya Janata Party,73417,9785,83202
S25,283,BARABANI,11,JAYDEV ROY,Indian National Congress,2241,196,2437
S25,283,BARABANI,11,BIDHAN UPADHYAY,All India Trinamool Congress,64578,6513,71091
S25,283,BARABANI,11,ADWAITYA DAS,Aam Janata Unnayan party,797,95,892
S25,283,BARABANI,11,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),789,53,842
S25,283,BARABANI,11,BISWAJIT BAURI (BAPI),All India Secular Front,4964,376,5340
S25,283,BARABANI,11,SWAPAN KABI,Independent,482,70,552
S25,283,BARABANI,11,NOTA,None of the Above,2221,303,2524
S25,283,BARABANI,12,ARIJIT ROY,Bharatiya Janata Party,83202,7899,91101
S25,283,BARABANI,12,JAYDEV ROY,Indian National Congress,2437,140,2577
S25,283,BARABANI,12,BIDHAN UPADHYAY,All India Trinamool Congress,71091,8266,79357
S25,283,BARABANI,12,ADWAITYA DAS,Aam Janata Unnayan party,892,79,971
S25,283,BARABANI,12,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),842,45,887
S25,283,BARABANI,12,BISWAJIT BAURI (BAPI),All India Secular Front,5340,198,5538
S25,283,BARABANI,12,SWAPAN KABI,Independent,552,39,591
S25,283,BARABANI,12,NOTA,None of the Above,2524,227,2751
S25,283,BARABANI,Postal Ballot,ARIJIT ROY,Bharatiya Janata Party,91101,676,91777
S25,283,BARABANI,Postal Ballot,JAYDEV ROY,Indian National Congress,2577,44,2621
S25,283,BARABANI,Postal Ballot,BIDHAN UPADHYAY,All India Trinamool Congress,79357,698,80055
S25,283,BARABANI,Postal Ballot,ADWAITYA DAS,Aam Janata Unnayan party,971,17,988
S25,283,BARABANI,Postal Ballot,DEBSHWAR BESRA,Socialist Unity Centre Of India (COMMUNIST),887,9,896
S25,283,BARABANI,Postal Ballot,BISWAJIT BAURI (BAPI),All India Secular Front,5538,38,5576
S25,283,BARABANI,Postal Ballot,SWAPAN KABI,Independent,591,5,596
S25,283,BARABANI,Postal Ballot,NOTA,None of the Above,2751,14,2765
