State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,284,DUBRAJPUR,1,ANUP KUMAR SAHA,Bharatiya Janata Party,0,5745,5745
S25,284,DUBRAJPUR,1,NARESH CHANDRA BAURI,All India Trinamool Congress,0,3747,3747
S25,284,DUBRAJPUR,1,BYAPARI SANJOY,Indian National Congress,0,88,88
S25,284,DUBRAJPUR,1,BIJOY BAGDI,All India Forward Bloc,0,96,96
S25,284,DUBRAJPUR,1,BIPAD TARAN DOM,Bahujan Samaj Party,0,30,30
S25,284,DUBRAJPUR,1,SUBHASIS DAS,Aam Janata Unnayan party,0,38,38
S25,284,DUBRAJPUR,1,SUDHAN BAURI,Independent,0,58,58
S25,284,DUBRAJPUR,1,NOTA,None of the Above,0,126,126
S25,284,DUBRAJPUR,2,ANUP KUMAR SAHA,Bharatiya Janata Party,5745,6765,12510
S25,284,DUBRAJPUR,2,NARESH CHANDRA BAURI,All India Trinamool Congress,3747,3210,6957
S25,284,DUBRAJPUR,2,BYAPARI SANJOY,Indian National Congress,88,82,170
S25,284,DUBRAJPUR,2,BIJOY BAGDI,All India Forward Bloc,96,219,315
S25,284,DUBRAJPUR,2,BIPAD TARAN DOM,Bahujan Samaj Party,30,42,72
S25,284,DUBRAJPUR,2,SUBHASIS DAS,Aam Janata Unnayan party,38,33,71
S25,284,DUBRAJPUR,2,SUDHAN BAURI,Independent,58,60,118
S25,284,DUBRAJPUR,2,NOTA,None of the Above,126,163,289
S25,284,DUBRAJPUR,3,ANUP KUMAR SAHA,Bharatiya Janata Party,12510,2851,15361
S25,284,DUBRAJPUR,3,NARESH CHANDRA BAURI,All India Trinamool Congress,6957,7425,14382
S25,284,DUBRAJPUR,3,BYAPARI SANJOY,Indian National Congress,170,137,307
S25,284,DUBRAJPUR,3,BIJOY BAGDI,All India Forward Bloc,315,142,457
S25,284,DUBRAJPUR,3,BIPAD TARAN DOM,Bahujan Samaj Party,72,31,103
S25,284,DUBRAJPUR,3,SUBHASIS DAS,Aam Janata Unnayan party,71,34,105
S25,284,DUBRAJPUR,3,SUDHAN BAURI,Independent,118,92,210
S25,284,DUBRAJPUR,3,NOTA,None of the Above,289,113,402
S25,284,DUBRAJPUR,4,ANUP KUMAR SAHA,Bharatiya Janata Party,15361,6276,21637
S25,284,DUBRAJPUR,4,NARESH CHANDRA BAURI,All India Trinamool Congress,14382,2862,17244
S25,284,DUBRAJPUR,4,BYAPARI SANJOY,Indian National Congress,307,72,379
S25,284,DUBRAJPUR,4,BIJOY BAGDI,All India Forward Bloc,457,99,556
S25,284,DUBRAJPUR,4,BIPAD TARAN DOM,Bahujan Samaj Party,103,24,127
S25,284,DUBRAJPUR,4,SUBHASIS DAS,Aam Janata Unnayan party,105,28,133
S25,284,DUBRAJPUR,4,SUDHAN BAURI,Independent,210,30,240
S25,284,DUBRAJPUR,4,NOTA,None of the Above,402,110,512
S25,284,DUBRAJPUR,5,ANUP KUMAR SAHA,Bharatiya Janata Party,21637,6221,27858
S25,284,DUBRAJPUR,5,NARESH CHANDRA BAURI,All India Trinamool Congress,17244,4631,21875
S25,284,DUBRAJPUR,5,BYAPARI SANJOY,Indian National Congress,379,145,524
S25,284,DUBRAJPUR,5,BIJOY BAGDI,All India Forward Bloc,556,205,761
S25,284,DUBRAJPUR,5,BIPAD TARAN DOM,Bahujan Samaj Party,127,34,161
S25,284,DUBRAJPUR,5,SUBHASIS DAS,Aam Janata Unnayan party,133,33,166
S25,284,DUBRAJPUR,5,SUDHAN BAURI,Independent,240,49,289
S25,284,DUBRAJPUR,5,NOTA,None of the Above,512,126,638
