State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,287,NANOOR,1,ABHAY DAS,Indian National Congress,0,138,138
S25,287,NANOOR,1,KHOKAN DAS,Bharatiya Janata Party,0,5419,5419
S25,287,NANOOR,1,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,0,4050,4050
S25,287,NANOOR,1,RAM PRASAD THANDAR,Bahujan Samaj Party,0,70,70
S25,287,NANOOR,1,SHYAMALI PRADHAN,Communist Party of India (Marxist),0,563,563
S25,287,NANOOR,1,CHIRAN DAS,Aam Janata Unnayan party,0,93,93
S25,287,NANOOR,1,JOYSHRI HAZRA,Independent,0,58,58
S25,287,NANOOR,1,NOTA,None of the Above,0,91,91
S25,287,NANOOR,2,ABHAY DAS,Indian National Congress,138,87,225
S25,287,NANOOR,2,KHOKAN DAS,Bharatiya Janata Party,5419,6178,11597
S25,287,NANOOR,2,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,4050,4170,8220
S25,287,NANOOR,2,RAM PRASAD THANDAR,Bahujan Samaj Party,70,65,135
S25,287,NANOOR,2,SHYAMALI PRADHAN,Communist Party of India (Marxist),563,232,795
S25,287,NANOOR,2,CHIRAN DAS,Aam Janata Unnayan party,93,98,191
S25,287,NANOOR,2,JOYSHRI HAZRA,Independent,58,36,94
S25,287,NANOOR,2,NOTA,None of the Above,91,76,167
S25,287,NANOOR,3,ABHAY DAS,Indian National Congress,225,87,312
S25,287,NANOOR,3,KHOKAN DAS,Bharatiya Janata Party,11597,4518,16115
S25,287,NANOOR,3,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,8220,4287,12507
S25,287,NANOOR,3,RAM PRASAD THANDAR,Bahujan Samaj Party,135,81,216
S25,287,NANOOR,3,SHYAMALI PRADHAN,Communist Party of India (Marxist),795,163,958
S25,287,NANOOR,3,CHIRAN DAS,Aam Janata Unnayan party,191,117,308
S25,287,NANOOR,3,JOYSHRI HAZRA,Independent,94,44,138
S25,287,NANOOR,3,NOTA,None of the Above,167,74,241
S25,287,NANOOR,4,ABHAY DAS,Indian National Congress,312,105,417
S25,287,NANOOR,4,KHOKAN DAS,Bharatiya Janata Party,16115,5413,21528
S25,287,NANOOR,4,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,12507,4184,16691
S25,287,NANOOR,4,RAM PRASAD THANDAR,Bahujan Samaj Party,216,54,270
S25,287,NANOOR,4,SHYAMALI PRADHAN,Communist Party of India (Marxist),958,428,1386
S25,287,NANOOR,4,CHIRAN DAS,Aam Janata Unnayan party,308,124,432
S25,287,NANOOR,4,JOYSHRI HAZRA,Independent,138,45,183
S25,287,NANOOR,4,NOTA,None of the Above,241,79,320
S25,287,NANOOR,5,ABHAY DAS,Indian National Congress,417,125,542
S25,287,NANOOR,5,KHOKAN DAS,Bharatiya Janata Party,21528,4971,26499
S25,287,NANOOR,5,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,16691,5297,21988
S25,287,NANOOR,5,RAM PRASAD THANDAR,Bahujan Samaj Party,270,68,338
S25,287,NANOOR,5,SHYAMALI PRADHAN,Communist Party of India (Marxist),1386,790,2176
S25,287,NANOOR,5,CHIRAN DAS,Aam Janata Unnayan party,432,113,545
S25,287,NANOOR,5,JOYSHRI HAZRA,Independent,183,44,227
S25,287,NANOOR,5,NOTA,None of the Above,320,103,423
S25,287,NANOOR,6,ABHAY DAS,Indian National Congress,542,92,634
S25,287,NANOOR,6,KHOKAN DAS,Bharatiya Janata Party,26499,4645,31144
S25,287,NANOOR,6,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,21988,4701,26689
S25,287,NANOOR,6,RAM PRASAD THANDAR,Bahujan Samaj Party,338,69,407
S25,287,NANOOR,6,SHYAMALI PRADHAN,Communist Party of India (Marxist),2176,401,2577
S25,287,NANOOR,6,CHIRAN DAS,Aam Janata Unnayan party,545,91,636
S25,287,NANOOR,6,JOYSHRI HAZRA,Independent,227,44,271
S25,287,NANOOR,6,NOTA,None of the Above,423,69,492
S25,287,NANOOR,7,ABHAY DAS,Indian National Congress,634,111,745
S25,287,NANOOR,7,KHOKAN DAS,Bharatiya Janata Party,31144,5868,37012
S25,287,NANOOR,7,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,26689,4820,31509
S25,287,NANOOR,7,RAM PRASAD THANDAR,Bahujan Samaj Party,407,97,504
