State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,292,HANSAN,1,KAMAL HASAN,Communist Party of India (Marxist),0,1910,1910
S25,292,HANSAN,1,NIKHIL BANERJEE,Bharatiya Janata Party,0,934,934
S25,292,HANSAN,1,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,0,5461,5461
S25,292,HANSAN,1,MILTON RASHID,Indian National Congress,0,2473,2473
S25,292,HANSAN,1,SHYAMOLI FULMALI,Bahujan Samaj Party,0,31,31
S25,292,HANSAN,1,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,0,11,11
S25,292,HANSAN,1,JAHANGIR ALAM,Socialist Party (India),0,5,5
S25,292,HANSAN,1,SUBARNA MAL,Socialist Unity Centre Of India (COMMUNIST),0,19,19
S25,292,HANSAN,1,SYED UJ JAMAN,Aam Janata Unnayan party,0,99,99
S25,292,HANSAN,1,ASHIM SEKH,Independent,0,21,21
S25,292,HANSAN,1,KHANDEKAR ARAF AHAMED,Independent,0,80,80
S25,292,HANSAN,1,BAPTU,Independent,0,20,20
S25,292,HANSAN,1,NOTA,None of the Above,0,44,44
S25,292,HANSAN,2,KAMAL HASAN,Communist Party of India (Marxist),1910,1777,3687
S25,292,HANSAN,2,NIKHIL BANERJEE,Bharatiya Janata Party,934,2463,3397
S25,292,HANSAN,2,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,5461,5738,11199
S25,292,HANSAN,2,MILTON RASHID,Indian National Congress,2473,1474,3947
S25,292,HANSAN,2,SHYAMOLI FULMALI,Bahujan Samaj Party,31,34,65
S25,292,HANSAN,2,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,11,16,27
S25,292,HANSAN,2,JAHANGIR ALAM,Socialist Party (India),5,13,18
S25,292,HANSAN,2,SUBARNA MAL,Socialist Unity Centre Of India (COMMUNIST),19,19,38
S25,292,HANSAN,2,SYED UJ JAMAN,Aam Janata Unnayan party,99,52,151
S25,292,HANSAN,2,ASHIM SEKH,Independent,21,27,48
S25,292,HANSAN,2,KHANDEKAR ARAF AHAMED,Independent,80,80,160
S25,292,HANSAN,2,BAPTU,Independent,20,48,68
S25,292,HANSAN,2,NOTA,None of the Above,44,73,117
S25,292,HANSAN,3,KAMAL HASAN,Communist Party of India (Marxist),3687,2694,6381
S25,292,HANSAN,3,NIKHIL BANERJEE,Bharatiya Janata Party,3397,775,4172
S25,292,HANSAN,3,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,11199,6971,18170
S25,292,HANSAN,3,MILTON RASHID,Indian National Congress,3947,1367,5314
S25,292,HANSAN,3,SHYAMOLI FULMALI,Bahujan Samaj Party,65,34,99
S25,292,HANSAN,3,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,27,3,30
S25,292,HANSAN,3,JAHANGIR ALAM,Socialist Party (India),18,15,33
S25,292,HANSAN,3,SUBARNA MAL,Socialist Unity Centre Of India (COMMUNIST),38,10,48
S25,292,HANSAN,3,SYED UJ JAMAN,Aam Janata Unnayan party,151,35,186
S25,292,HANSAN,3,ASHIM SEKH,Independent,48,18,66
S25,292,HANSAN,3,KHANDEKAR ARAF AHAMED,Independent,160,75,235
S25,292,HANSAN,3,BAPTU,Independent,68,13,81
S25,292,HANSAN,3,NOTA,None of the Above,117,82,199
S25,292,HANSAN,4,KAMAL HASAN,Communist Party of India (Marxist),6381,1778,8159
S25,292,HANSAN,4,NIKHIL BANERJEE,Bharatiya Janata Party,4172,2897,7069
S25,292,HANSAN,4,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,18170,5780,23950
S25,292,HANSAN,4,MILTON RASHID,Indian National Congress,5314,1058,6372
S25,292,HANSAN,4,SHYAMOLI FULMALI,Bahujan Samaj Party,99,29,128
S25,292,HANSAN,4,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,30,5,35
S25,292,HANSAN,4,JAHANGIR ALAM,Socialist Party (India),33,27,60
S25,292,HANSAN,4,SUBARNA MAL,Socialist Unity Centre Of India (COMMUNIST),48,24,72
S25,292,HANSAN,4,SYED UJ JAMAN,Aam Janata Unnayan party,186,43,229
S25,292,HANSAN,4,ASHIM SEKH,Independent,66,20,86
S25,292,HANSAN,4,KHANDEKAR ARAF AHAMED,Independent,235,77,312
S25,292,HANSAN,4,BAPTU,Independent,81,44,125
S25,292,HANSAN,4,NOTA,None of the Above,199,67,266
S25,292,HANSAN,5,KAMAL HASAN,Communist Party of India (Marxist),8159,858,9017
S25,292,HANSAN,5,NIKHIL BANERJEE,Bharatiya Janata Party,7069,4536,11605
S25,292,HANSAN,5,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,23950,4355,28305
S25,292,HANSAN,5,MILTON RASHID,Indian National Congress,6372,1263,7635
S25,292,HANSAN,5,SHYAMOLI FULMALI,Bahujan Samaj Party,128,33,161
S25,292,HANSAN,5,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,35,18,53
S25,292,HANSAN,5,JAHANGIR ALAM,Socialist Party (India),60,7,67
S25,292,HANSAN,5,SUBARNA MAL,Socialist Unity Centre Of India (COMMUNIST),72,14,86
S25,292,HANSAN,5,SYED UJ JAMAN,Aam Janata Unnayan party,229,34,263
S25,292,HANSAN,5,ASHIM SEKH,Independent,86,23,109
S25,292,HANSAN,5,KHANDEKAR ARAF AHAMED,Independent,312,68,380
S25,292,HANSAN,5,BAPTU,Independent,125,37,162
S25,292,HANSAN,5,NOTA,None of the Above,266,47,313
S25,292,HANSAN,6,KAMAL HASAN,Communist Party of India (Marxist),9017,1223,10240
S25,292,HANSAN,6,NIKHIL BANERJEE,Bharatiya Janata Party,11605,1950,13555
S25,292,HANSAN,6,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,28305,5354,33659
S25,292,HANSAN,6,MILTON RASHID,Indian National Congress,7635,1842,9477
S25,292,HANSAN,6,SHYAMOLI FULMALI,Bahujan Samaj Party,161,47,208
S25,292,HANSAN,6,ASGAR ALI,Bharatiya Nyay-Adhikar Raksha Party,53,13,66
