State_Code,AC_Number,AC_Name,Round,Candidate,Party,Votes_Brought_From_Previous_Rounds,Current_Round_Votes,Total_Votes
S25,294,MURARAI,1,DIPAK RABIDAS,Bahujan Samaj Party,0,34,34
S25,294,MURARAI,1,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),0,223,223
S25,294,MURARAI,1,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,0,4574,4574
S25,294,MURARAI,1,RINKI GHOSH,Bharatiya Janata Party,0,1902,1902
S25,294,MURARAI,1,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,0,4445,4445
S25,294,MURARAI,1,ALI  HAZRAT (SOWDAGAR),All India Secular Front,0,122,122
S25,294,MURARAI,1,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,0,431,431
S25,294,MURARAI,1,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),0,41,41
S25,294,MURARAI,1,MOSARRAF,Independent,0,55,55
S25,294,MURARAI,1,SAJIDA KHATUN,Independent,0,44,44
S25,294,MURARAI,1,SK AMIRUL ISLAM,Independent,0,23,23
S25,294,MURARAI,1,NOTA,None of the Above,0,48,48
S25,294,MURARAI,2,DIPAK RABIDAS,Bahujan Samaj Party,34,42,76
S25,294,MURARAI,2,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),223,144,367
S25,294,MURARAI,2,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,4574,4884,9458
S25,294,MURARAI,2,RINKI GHOSH,Bharatiya Janata Party,1902,2320,4222
S25,294,MURARAI,2,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,4445,2524,6969
S25,294,MURARAI,2,ALI  HAZRAT (SOWDAGAR),All India Secular Front,122,39,161
S25,294,MURARAI,2,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,431,161,592
S25,294,MURARAI,2,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),41,16,57
S25,294,MURARAI,2,MOSARRAF,Independent,55,39,94
S25,294,MURARAI,2,SAJIDA KHATUN,Independent,44,58,102
S25,294,MURARAI,2,SK AMIRUL ISLAM,Independent,23,15,38
S25,294,MURARAI,2,NOTA,None of the Above,48,55,103
S25,294,MURARAI,3,DIPAK RABIDAS,Bahujan Samaj Party,76,26,102
S25,294,MURARAI,3,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),367,107,474
S25,294,MURARAI,3,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,9458,3445,12903
S25,294,MURARAI,3,RINKI GHOSH,Bharatiya Janata Party,4222,3610,7832
S25,294,MURARAI,3,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,6969,2905,9874
S25,294,MURARAI,3,ALI  HAZRAT (SOWDAGAR),All India Secular Front,161,54,215
S25,294,MURARAI,3,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,592,164,756
S25,294,MURARAI,3,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),57,28,85
S25,294,MURARAI,3,MOSARRAF,Independent,94,55,149
S25,294,MURARAI,3,SAJIDA KHATUN,Independent,102,44,146
S25,294,MURARAI,3,SK AMIRUL ISLAM,Independent,38,14,52
S25,294,MURARAI,3,NOTA,None of the Above,103,45,148
S25,294,MURARAI,4,DIPAK RABIDAS,Bahujan Samaj Party,102,26,128
S25,294,MURARAI,4,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),474,389,863
S25,294,MURARAI,4,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,12903,3229,16132
S25,294,MURARAI,4,RINKI GHOSH,Bharatiya Janata Party,7832,3694,11526
S25,294,MURARAI,4,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,9874,2920,12794
S25,294,MURARAI,4,ALI  HAZRAT (SOWDAGAR),All India Secular Front,215,70,285
S25,294,MURARAI,4,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,756,216,972
S25,294,MURARAI,4,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),85,67,152
S25,294,MURARAI,4,MOSARRAF,Independent,149,54,203
S25,294,MURARAI,4,SAJIDA KHATUN,Independent,146,42,188
S25,294,MURARAI,4,SK AMIRUL ISLAM,Independent,52,29,81
S25,294,MURARAI,4,NOTA,None of the Above,148,72,220
S25,294,MURARAI,5,DIPAK RABIDAS,Bahujan Samaj Party,128,19,147
S25,294,MURARAI,5,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),863,179,1042
S25,294,MURARAI,5,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,16132,2028,18160
S25,294,MURARAI,5,RINKI GHOSH,Bharatiya Janata Party,11526,4169,15695
S25,294,MURARAI,5,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,12794,2812,15606
S25,294,MURARAI,5,ALI  HAZRAT (SOWDAGAR),All India Secular Front,285,90,375
S25,294,MURARAI,5,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,972,134,1106
S25,294,MURARAI,5,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),152,42,194
S25,294,MURARAI,5,MOSARRAF,Independent,203,53,256
S25,294,MURARAI,5,SAJIDA KHATUN,Independent,188,28,216
S25,294,MURARAI,5,SK AMIRUL ISLAM,Independent,81,22,103
S25,294,MURARAI,5,NOTA,None of the Above,220,45,265
S25,294,MURARAI,6,DIPAK RABIDAS,Bahujan Samaj Party,147,25,172
S25,294,MURARAI,6,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),1042,104,1146
S25,294,MURARAI,6,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,18160,4752,22912
S25,294,MURARAI,6,RINKI GHOSH,Bharatiya Janata Party,15695,4069,19764
S25,294,MURARAI,6,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,15606,2642,18248
S25,294,MURARAI,6,ALI  HAZRAT (SOWDAGAR),All India Secular Front,375,150,525
S25,294,MURARAI,6,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,1106,289,1395
S25,294,MURARAI,6,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),194,30,224
S25,294,MURARAI,6,MOSARRAF,Independent,256,65,321
S25,294,MURARAI,6,SAJIDA KHATUN,Independent,216,43,259
S25,294,MURARAI,6,SK AMIRUL ISLAM,Independent,103,19,122
S25,294,MURARAI,6,NOTA,None of the Above,265,63,328
S25,294,MURARAI,7,DIPAK RABIDAS,Bahujan Samaj Party,172,31,203
S25,294,MURARAI,7,MD. ALI REZA MANDAL (MANIK MASTER),Communist Party of India (Marxist),1146,190,1336
S25,294,MURARAI,7,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,22912,5837,28749
S25,294,MURARAI,7,RINKI GHOSH,Bharatiya Janata Party,19764,2390,22154
S25,294,MURARAI,7,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,18248,3175,21423
S25,294,MURARAI,7,ALI  HAZRAT (SOWDAGAR),All India Secular Front,525,201,726
S25,294,MURARAI,7,TASIR SEKH,All India Majlis-E-Ittehadul Muslimeen,1395,485,1880
S25,294,MURARAI,7,BANCHHARAM MAL,Socialist Unity Centre Of India (COMMUNIST),224,22,246
S25,294,MURARAI,7,MOSARRAF,Independent,321,43,364
S25,294,MURARAI,7,SAJIDA KHATUN,Independent,259,84,343
