AC_No,AC_Name,Party_2021,Party_2026
17,JALPAIGURI,TMC,BJP
18,RAJGANJ,TMC,BJP
20,MAL,TMC,BJP
22,KALIMPONG,IND,BJP
32,KARANDIGHI,TMC,BJP
33,HEMTABAD,TMC,BJP
37,KUSHMANDI,TMC,BJP
49,MANIKCHAK,TMC,BJP
54,BAISNABNAGAR,TMC,BJP
55,FARAKKA,TMC,INC
58,JANGIPUR,TMC,BJP
63,RANINAGAR,TMC,INC
65,NABAGRAM,TMC,BJP
66,KHARGRAM,TMC,BJP
67,BURWAN,TMC,BJP
68,KANDI,TMC,BJP
70,REJINAGAR,TMC,Aam Jana
71,BELDANGA,TMC,BJP
74,NOWDA,TMC,Aam Jana
75,DOMKAL,TMC,CPIM
77,KARIMPUR,TMC,BJP
78,TEHATTA,TMC,BJP
81,NAKASHIPARA,TMC,BJP
84,NABADWIP,TMC,BJP
85,KRISHNANAGAR DAKSHIN,TMC,BJP
100,HABRA,TMC,BJP
101,ASHOKNAGAR,TMC,BJP
103,BIJPUR,TMC,BJP
104,NAIHATI,TMC,BJP
106,JAGATDAL,TMC,BJP
107,NOAPARA,TMC,BJP
108,BARRACKPUR,TMC,BJP
109,KHARDAHA,TMC,BJP
110,DUM DUM UTTAR,TMC,BJP
111,PANIHATI,TMC,BJP
113,BARANAGAR,TMC,BJP
114,DUM DUM,TMC,BJP
115,RAJARHAT NEW TOWN,TMC,BJP
116,BIDHANNAGAR,TMC,BJP
117,RAJARHAT  GOPALPUR,TMC,BJP
119,BARASAT,TMC,BJP
123,SANDESHKHALI,TMC,BJP
126,HINGALGANJ,TMC,BJP
127,GOSABA,TMC,BJP
131,KAKDWIP,TMC,BJP
132,SAGAR,TMC,BJP
144,FALTA,TMC,BJP
145,SATGACHHIA,TMC,BJP
147,SONARPUR DAKSHIN,TMC,BJP
150,JADAVPUR,TMC,BJP
151,SONARPUR UTTAR,TMC,BJP
152,TOLLYGANJ,TMC,BJP
153,BEHALA PURBA,TMC,BJP
154,BEHALA PASCHIM,TMC,BJP
159,BHABANIPUR,TMC,BJP
160,RASHBEHARI,TMC,BJP
165,JORASANKO,TMC,BJP
166,SHYAMPUKUR,TMC,BJP
167,MANIKTALA,TMC,BJP
168,KASHIPUR-BELGACHHIA,TMC,BJP
169,BALLY,TMC,BJP
170,HOWRAH UTTAR,TMC,BJP
172,SHIBPUR,TMC,BJP
177,ULUBERIA UTTAR,TMC,BJP
179,SHYAMPUR,TMC,BJP
181,AMTA,TMC,BJP
183,JAGATBALLAVPUR,TMC,BJP
185,UTTARPARA,TMC,BJP
186,SREERAMPUR,TMC,BJP
187,CHAMPDANI,TMC,BJP
188,SINGUR,TMC,BJP
189,CHANDANNAGAR,TMC,BJP
190,CHUNCHURA,TMC,BJP
191,BALAGARH,TMC,BJP
192,PANDUA,TMC,BJP
193,SAPTAGRAM,TMC,BJP
195,JANGIPARA,TMC,BJP
196,HARIPAL,TMC,BJP
198,TARAKESWAR,TMC,BJP
203,TAMLUK,TMC,BJP
204,PANSKURA PURBA,TMC,BJP
205,PANSKURA PASCHIM,TMC,BJP
207,NANDAKUMAR,TMC,BJP
208,MAHISADAL,TMC,BJP
211,CHANDIPUR,TMC,BJP
212,PATASHPUR,TMC,BJP
217,RAMNAGAR,TMC,BJP
218,EGRA,TMC,BJP
219,DANTAN,TMC,BJP
220,NAYAGRAM,TMC,BJP
221,GOPIBALLAVPUR,TMC,BJP
222,JHARGRAM,TMC,BJP
223,KESHIARY,TMC,BJP
225,NARAYANGARH,TMC,BJP
226,SABANG,TMC,BJP
227,PINGLA,TMC,BJP
229,DEBRA,TMC,BJP
230,DASPUR,TMC,BJP
232,CHANDRAKONA,TMC,BJP
233,GARBETA,TMC,BJP
234,SALBONI,TMC,BJP
236,MEDINIPUR,TMC,BJP
237,BINPUR,TMC,BJP
238,BANDWAN,TMC,BJP
240,BAGHMUNDI,TMC,BJP
243,MANBAZAR,TMC,BJP
249,RANIBANDH,TMC,BJP
250,RAIPUR,TMC,BJP
251,TALDANGRA,TMC,BJP
253,BARJORA,TMC,BJP
256,KATULPUR,TMC,BJP
260,BARDHAMAN DAKSHIN,TMC,BJP
261,RAINA,TMC,BJP
262,JAMALPUR,TMC,BJP
263,MONTESWAR,TMC,BJP
264,KALNA,TMC,BJP
265,MEMARI,TMC,BJP
267,BHATAR,TMC,BJP
268,PURBASTHALI DAKSHIN,TMC,BJP
269,PURBASTHALI UTTAR,TMC,BJP
270,KATWA,TMC,BJP
271,KETUGRAM,TMC,BJP
272,MANGALKOT,TMC,BJP
273,AUSGRAM,TMC,BJP
274,GALSI,TMC,BJP
275,PANDABESWAR,TMC,BJP
278,RANIGANJ,TMC,BJP
279,JAMURIA,TMC,BJP
281,ASANSOL UTTAR,TMC,BJP
283,BARABANI,TMC,BJP
284,DUBRAJPUR,TMC,BJP
285,SURI,TMC,BJP
288,LABPUR,TMC,BJP
289,SAINTHIA,TMC,BJP
290,MAYURESWAR,TMC,BJP
291,RAMPURHAT,TMC,BJP
